feedback_mode,stage,calls,total_ms,p50_ms,p95_ms,max_ms
trust_weighted,bm25_route,596,4.3953,0.0071,0.0081,0.0686
trust_weighted,cluster_route,596,3190.3266,4.789,8.6815,21.4688
trust_weighted,dense_route,596,5.4824,0.0088,0.0109,0.0421
trust_weighted,feedback_memory_append,596,0.8551,0.0014,0.0018,0.0129
trust_weighted,feedback_observation,1788,21.3374,0.0067,0.0225,0.5297
trust_weighted,feedback_reward_measurement,1788,45.3221,0.0157,0.0501,0.9057
trust_weighted,feedback_state_update,1788,266.64,0.1325,0.2119,3.1697
trust_weighted,feedback_trust_weighting,1788,4.3071,0.0017,0.0041,0.0761
trust_weighted,final_context_budget,596,4.6967,0.0077,0.0086,0.0552
trust_weighted,fusion_and_dense_floor,596,152.3694,0.2387,0.2992,2.6828
trust_weighted,linucb_update,7152,171.2528,0.0226,0.0424,0.9296
trust_weighted,routing_and_gating,596,2639.9535,4.2167,5.6812,37.442
