feedback_mode,stage,calls,total_ms,p50_ms,p95_ms,max_ms
none,bm25_route,596,12.6863,0.0088,0.0432,4.0282
none,cluster_route,596,13347.7259,21.3346,39.4198,76.3072
none,dense_route,596,16.3182,0.0114,0.0222,4.1315
none,feedback_memory_append,596,0.3356,0.0004,0.0006,0.0852
none,feedback_observation_and_trust,1788,96.5755,0.0153,0.0902,8.1825
none,feedback_state_update,1788,5.093,0.0013,0.0067,0.1251
none,final_context_budget,596,5.7933,0.0079,0.0117,0.7737
none,fusion_and_dense_floor,596,210.4693,0.2603,0.4626,11.8132
none,routing_and_gating,596,6176.3575,8.6392,18.925,44.8748
