bm25_queried,condition,confidence,dataset,dense_queried,event_index,evidence_recall_at_10,final_context_k,final_context_tokens,final_true_reward,hit_at_10,method,mrr_at_10,ndcg_at_10,observed_reward,occurrence,phase,query_id,query_index,region,route,route_reason,route_true_reward,seed,selected_cluster_hit,semantic_drift
0,repeated,0.0,lotte_technology_search_100k,0,18,0.6666666666666666,10,1857.0,1.0,1.0,cluster_static_nearest,1.0,0.735916889650613,0.0,1,A_recurrent_warmup_1,lotte_technology_search_100k_q378,378,A,static_nearest_ensemble,static_nearest_ensemble,1.0,13,1.0,0.45640110969543457
0,repeated,0.0,lotte_technology_search_100k,0,19,1.0,10,2475.0,1.0,1.0,cluster_static_nearest,0.3333333333333333,0.4911492931622974,0.0,1,A_recurrent_warmup_1,lotte_technology_search_100k_q514,514,A,static_nearest_ensemble,static_nearest_ensemble,1.0,13,1.0,0.3703666925430298
0,repeated,0.0,lotte_technology_search_100k,0,20,1.0,10,1646.0,1.0,1.0,cluster_static_nearest,1.0,1.0,0.0,2,A_recurrent_warmup_2,lotte_technology_search_100k_q487,487,A,static_nearest_ensemble,static_nearest_ensemble,1.0,13,1.0,0.5896874666213989
0,repeated,0.0,lotte_technology_search_100k,0,21,0.6666666666666666,10,802.0,1.0,1.0,cluster_static_nearest,1.0,0.6508205185601091,0.0,2,A_recurrent_warmup_2,lotte_technology_search_100k_q272,272,A,static_nearest_ensemble,static_nearest_ensemble,1.0,13,1.0,0.5172296762466431
0,repeated,0.0,lotte_technology_search_100k,0,22,0.8,10,1510.0,1.0,1.0,cluster_static_nearest,1.0,0.8687949224876582,0.0,2,A_recurrent_warmup_2,lotte_technology_search_100k_q348,348,A,static_nearest_ensemble,static_nearest_ensemble,1.0,13,1.0,0.5971055030822754
0,repeated,0.0,lotte_technology_search_100k,0,23,1.0,10,2966.0,1.0,1.0,cluster_static_nearest,1.0,1.0,0.0,2,A_recurrent_warmup_2,lotte_technology_search_100k_q455,455,A,static_nearest_ensemble,static_nearest_ensemble,1.0,13,1.0,0.7247181236743927
0,repeated,0.0,lotte_technology_search_100k,0,24,0.5555555555555556,10,1047.0,1.0,1.0,cluster_static_nearest,1.0,0.6930221935231563,0.0,2,A_recurrent_warmup_2,lotte_technology_search_100k_q441,441,A,static_nearest_ensemble,static_nearest_ensemble,1.0,13,1.0,0.6585819721221924
0,repeated,0.0,lotte_technology_search_100k,0,25,1.0,10,4198.0,1.0,1.0,cluster_static_nearest,0.25,0.43067655807339306,0.0,2,A_recurrent_warmup_2,lotte_technology_search_100k_q379,379,A,static_nearest_ensemble,static_nearest_ensemble,1.0,13,1.0,0.5457339882850647
0,repeated,0.0,lotte_technology_search_100k,0,26,0.9,10,3619.0,1.0,1.0,cluster_static_nearest,1.0,0.933745776545611,0.0,2,A_recurrent_warmup_2,lotte_technology_search_100k_q291,291,A,static_nearest_ensemble,static_nearest_ensemble,1.0,13,1.0,0.6049463748931885
0,repeated,0.0,lotte_technology_search_100k,0,27,1.0,10,793.0,1.0,1.0,cluster_static_nearest,1.0,1.0,0.0,2,A_recurrent_warmup_2,lotte_technology_search_100k_q451,451,A,static_nearest_ensemble,static_nearest_ensemble,1.0,13,1.0,0.6858634948730469
