condition,dataset,dense_queried,event_count,evidence_recall_at_10,final_context_tokens,hit_at_10,method,mrr_at_10,ndcg_at_10,phase,route_true_reward,seed,selected_cluster_hit,unique_query_count
repeated,lotte_science_search_100k,0.0,20,0.0975,2236.7,0.15,cluster_equal_noisy,0.085,0.07163557678489758,B_recurrent_shift_2,0.15,13,0.15,20
unseen,lotte_science_search_100k,0.0,64,0.078125,2042.046875,0.140625,cluster_equal_noisy,0.10611979166666667,0.07532911270014395,unseen_tail,0.140625,13,0.15625,64
nearby,lotte_science_search_100k,0.0,24,0.3715277777777778,1722.25,0.5,cluster_equal_noisy,0.4097222222222222,0.34399449938895005,A_nearby,0.5833333333333334,17,0.5833333333333334,24
nearby,lotte_science_search_100k,0.0,24,0.5430555555555555,2057.9166666666665,0.625,cluster_equal_noisy,0.55,0.49582362622396964,B_nearby,0.6666666666666666,17,0.6666666666666666,24
repeated,lotte_science_search_100k,0.0,20,0.4625,1786.85,0.7,cluster_equal_noisy,0.6238095238095238,0.4945933025769211,A_recurrent_return,0.7,17,0.7,20
repeated,lotte_science_search_100k,0.0,20,0.4375,1715.85,0.65,cluster_equal_noisy,0.5696428571428571,0.4625828185024015,A_recurrent_warmup_1,0.65,17,0.65,20
repeated,lotte_science_search_100k,0.0,20,0.4625,1915.15,0.7,cluster_equal_noisy,0.6238095238095238,0.4945933025769211,A_recurrent_warmup_2,0.7,17,0.7,20
repeated,lotte_science_search_100k,0.0,20,0.5625,2038.45,0.65,cluster_equal_noisy,0.5154761904761904,0.49884328602354555,B_recurrent_shift_1,0.7,17,0.7,20
repeated,lotte_science_search_100k,0.0,20,0.6291666666666667,1928.75,0.75,cluster_equal_noisy,0.5904761904761905,0.5629439494936652,B_recurrent_shift_2,0.75,17,0.75,20
unseen,lotte_science_search_100k,0.0,64,0.1765625,1848.09375,0.296875,cluster_equal_noisy,0.28348214285714285,0.19742755155135364,unseen_tail,0.3125,17,0.328125,64
nearby,lotte_science_search_100k,0.0,24,0.041666666666666664,1607.4166666666667,0.041666666666666664,cluster_equal_noisy,0.005952380952380952,0.013888888888888888,A_nearby,0.041666666666666664,19,0.041666666666666664,24
nearby,lotte_science_search_100k,0.0,24,0.125,1871.9583333333333,0.16666666666666666,cluster_equal_noisy,0.125,0.12033100156009023,B_nearby,0.16666666666666666,19,0.16666666666666666,24
