feedback_mode,stage,calls,total_ms,p50_ms,p95_ms,max_ms
trust_weighted,bm25_route,596,5.2606,0.0083,0.0101,0.1729
trust_weighted,cluster_route,596,14910.0092,22.7413,34.7681,57.2862
trust_weighted,dense_route,596,18.8425,0.0108,0.0139,12.0376
trust_weighted,feedback_memory_append,596,0.9083,0.0014,0.0021,0.0211
trust_weighted,feedback_observation_and_trust,1788,104.9709,0.0408,0.1043,8.1554
trust_weighted,feedback_state_update,1788,290.3614,0.1476,0.2292,0.9918
trust_weighted,final_context_budget,596,5.2172,0.008,0.0119,0.0543
trust_weighted,fusion_and_dense_floor,596,161.0211,0.2507,0.3445,2.644
trust_weighted,linucb_update,7152,186.9818,0.0239,0.0427,0.8221
trust_weighted,routing_and_gating,596,7753.3307,12.4651,16.7235,35.0707
