bm25_queried,condition,confidence,dataset,dense_queried,event_index,evidence_recall_at_10,final_context_k,final_context_tokens,final_true_reward,hit_at_10,method,mrr_at_10,ndcg_at_10,observed_reward,occurrence,phase,query_id,query_index,region,route,route_reason,route_true_reward,seed,selected_cluster_hit,semantic_drift
0,repeated,nan,lotte_technology_search_100k,1,23,1.0,10,2844.0,nan,1.0,dense,1.0,1.0,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q455,455,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,24,1.0,10,1669.0,nan,1.0,dense,1.0,1.0,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q441,441,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,25,1.0,10,4174.0,nan,1.0,dense,0.2,0.38685280723454163,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q379,379,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,26,0.9,10,3619.0,nan,1.0,dense,1.0,0.933745776545611,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q291,291,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,27,1.0,10,801.0,nan,1.0,dense,1.0,1.0,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q451,451,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,28,1.0,10,1656.0,nan,1.0,dense,1.0,0.9197207891481876,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q484,484,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,29,1.0,10,2497.0,nan,1.0,dense,1.0,0.9197207891481876,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q468,468,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,30,0.25,10,784.0,nan,1.0,dense,1.0,0.42838543210841196,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q390,390,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,31,0.0,10,1609.0,nan,0.0,dense,0.0,0.0,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q282,282,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,32,1.0,10,1818.0,nan,1.0,dense,1.0,0.9740298100854945,nan,2,A_recurrent_warmup_2,lotte_technology_search_100k_q496,496,A,dense,dense_only,nan,13,nan,nan
