blocks,ci_high,ci_low,comparison,condition,dataset,delta,metric,seed
64,0.078125,0.0,learned_feedback_minus_dense,unseen,lotte_science_search_100k,0.03125,hit_at_10,13
64,0.07924107142857142,-0.013397507440476188,learned_feedback_minus_dense,unseen,lotte_science_search_100k,0.02938988095238096,evidence_recall_at_10,13
64,0.009635416666666667,0.0,learned_feedback_minus_dense,unseen,lotte_science_search_100k,0.004166666666666667,mrr_at_10,13
64,0.028283586885268733,-0.006542551965229402,learned_feedback_minus_dense,unseen,lotte_science_search_100k,0.010696279999965566,ndcg_at_10,13
0,nan,nan,learned_feedback_minus_dense,unseen,lotte_science_search_100k,nan,selected_cluster_hit,13
0,nan,nan,learned_feedback_minus_dense,unseen,lotte_science_search_100k,nan,route_true_reward,13
64,422.91367187499986,101.714453125,learned_feedback_minus_dense,unseen,lotte_science_search_100k,243.5,final_context_tokens,13
64,0.0,0.0,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,0.0,hit_at_10,13
64,0.036979166666666674,-0.017857142857142856,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,0.009077380952380953,evidence_recall_at_10,13
64,0.0,-0.0031249999999999993,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,-0.0010416666666666664,mrr_at_10,13
64,0.016232403131478487,-0.007320873119282616,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,0.004122165855238169,ndcg_at_10,13
64,-0.25,-0.578125,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,-0.421875,selected_cluster_hit,13
64,-0.234375,-0.578125,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,-0.40625,route_true_reward,13
64,236.07382812499984,-101.644921875,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,54.609375,final_context_tokens,13
64,0.0,0.0,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,0.0,hit_at_10,13
64,0.03229166666666667,-0.0125,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,0.008705357142857143,evidence_recall_at_10,13
64,0.0011718749999999997,-0.0031249999999999993,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,-0.0006510416666666665,mrr_at_10,13
