feedback_mode,stage,calls,total_ms,p50_ms,p95_ms,max_ms
none,bm25_route,596,4.5015,0.0073,0.0087,0.031
none,cluster_route,596,3395.8689,4.6442,11.2849,27.1036
none,dense_route,596,8.8704,0.0092,0.0124,1.6377
none,feedback_memory_append,596,0.2214,0.0004,0.0005,0.0009
none,feedback_observation,1788,8.4746,0.0018,0.0075,1.9515
none,feedback_reward_measurement,1788,45.5127,0.0118,0.053,0.6107
none,feedback_state_update,1788,5.6292,0.0013,0.0057,0.8083
none,feedback_trust_weighting,1788,3.1057,0.001,0.0037,0.0202
none,final_context_budget,596,4.2144,0.0071,0.0084,0.0434
none,fusion_and_dense_floor,596,158.6007,0.24,0.3093,2.9127
none,routing_and_gating,596,2612.9556,3.8734,7.5794,12.1941
