method_label,shared_judgments,majority_is_correct_rate,unanimous_is_correct_rate,majority_is_faithful_rate,unanimous_is_faithful_rate
bge_dense_top10,293,0.9146757679180887,0.89419795221843,0.9726962457337884,0.9044368600682594
bge_intentweight_positive_seed19,292,0.8801369863013698,0.8664383561643836,0.9315068493150684,0.8972602739726028
dense_sent_mmr_r0.85_l0.70,300,0.8733333333333333,0.86,0.93,0.8933333333333333
e5_dense_top10,292,0.9041095890410958,0.8664383561643836,0.9554794520547946,0.9041095890410958
e5_intentweight_full_seed19,296,0.8851351351351351,0.8581081081081081,0.9459459459459459,0.8716216216216216
intentweight_sent_mmr_r0.85_l0.70_seed19,300,0.8766666666666667,0.8633333333333333,0.9666666666666667,0.8833333333333333
minilm_dense_top10,299,0.8896321070234113,0.8494983277591973,0.9698996655518395,0.8896321070234113
