judge_model,scope,n,correctness_score_mean,correctness_score_score1_percent,correctness_score_score2_percent,correctness_score_score3_percent,correctness_score_score4_percent,correctness_score_score5_percent,faithfulness_score_mean,faithfulness_score_score1_percent,faithfulness_score_score2_percent,faithfulness_score_score3_percent,faithfulness_score_score4_percent,faithfulness_score_score5_percent,relevance_score_mean,relevance_score_score1_percent,relevance_score_score2_percent,relevance_score_score3_percent,relevance_score_score4_percent,relevance_score_score5_percent,citation_support_score_mean,citation_support_score_score1_percent,citation_support_score_score2_percent,citation_support_score_score3_percent,citation_support_score_score4_percent,citation_support_score_score5_percent,is_correct_rate,is_faithful_rate,citations_supported_rate,unsupported_claims_rate,insufficient_context_appropriate_rate
deepseek-v4-flash,all_available,2100,4.671904761904762,3.5238095238095237,2.0952380952380953,3.0952380952380953,6.238095238095238,85.04761904761905,4.782380952380953,2.1904761904761907,2.619047619047619,1.4285714285714286,2.2857142857142856,91.47619047619048,4.875238095238095,1.2857142857142858,1.1428571428571428,1.0,1.9047619047619047,94.66666666666667,4.66952380952381,3.619047619047619,2.3333333333333335,3.4285714285714284,4.714285714285714,85.9047619047619,0.9133333333333333,0.930952380952381,0.8957142857142857,0.07380952380952381,0.6190476190476191
deepseek-v4-flash,shared_only,2072,4.67519305019305,3.523166023166023,1.9787644787644787,3.088803088803089,6.274131274131274,85.13513513513513,4.782818532818533,2.22007722007722,2.606177606177606,1.3513513513513513,2.3166023166023164,91.5057915057915,4.876930501930502,1.2548262548262548,1.1583011583011582,0.9652509652509652,1.8822393822393821,94.73938223938224,4.6698841698841695,3.6196911196911197,2.3166023166023164,3.4266409266409266,4.72972972972973,85.9073359073359,0.9145752895752896,0.9314671814671814,0.8957528957528957,0.07335907335907337,0.6192084942084942
glm-5.2,all_available,2100,4.55047619047619,2.4285714285714284,3.9523809523809526,5.238095238095238,12.904761904761905,75.47619047619048,4.734285714285714,0.7142857142857143,2.4761904761904763,3.9047619047619047,8.476190476190476,84.42857142857143,4.800952380952381,1.0476190476190477,1.4285714285714286,2.4761904761904763,6.476190476190476,88.57142857142857,4.66047619047619,1.1428571428571428,2.1904761904761907,4.523809523809524,13.761904761904763,78.38095238095238,0.8823809523809524,0.9280952380952381,0.9214285714285714,0.08190476190476191,0.7823809523809524
glm-5.2,shared_only,2072,4.552606177606178,2.413127413127413,3.9092664092664093,5.260617760617761,12.837837837837839,75.57915057915058,4.736486486486487,0.6756756756756757,2.4613899613899615,3.9092664092664093,8.445945945945946,84.50772200772201,4.804054054054054,1.0135135135135136,1.3996138996138996,2.4613899613899615,6.418918918918919,88.70656370656371,4.662644787644788,1.11003861003861,2.171814671814672,4.584942084942085,13.61003861003861,78.52316602316603,0.8827220077220077,0.9285714285714286,0.9213320463320464,0.08204633204633205,0.7833011583011583
minimax-m3,all_available,2072,4.291988416988417,1.9787644787644787,4.391891891891892,10.038610038610038,29.633204633204635,53.95752895752896,4.631756756756757,0.33783783783783783,2.027027027027027,4.488416988416988,20.415057915057915,72.73166023166023,4.69980694980695,1.4961389961389961,2.8957528957528957,3.7162162162162162,7.915057915057915,83.97683397683397,4.411196911196911,1.6891891891891893,2.3166023166023164,7.480694980694981,30.212355212355213,58.3011583011583,0.8566602316602316,0.9541505791505791,0.9444980694980695,0.06563706563706563,0.16554054054054054
minimax-m3,shared_only,2072,4.291988416988417,1.9787644787644787,4.391891891891892,10.038610038610038,29.633204633204635,53.95752895752896,4.631756756756757,0.33783783783783783,2.027027027027027,4.488416988416988,20.415057915057915,72.73166023166023,4.69980694980695,1.4961389961389961,2.8957528957528957,3.7162162162162162,7.915057915057915,83.97683397683397,4.411196911196911,1.6891891891891893,2.3166023166023164,7.480694980694981,30.212355212355213,58.3011583011583,0.8566602316602316,0.9541505791505791,0.9444980694980695,0.06563706563706563,0.16554054054054054
