setting,control_role,route_mode,feedback_mode,num_queries,num_seeds,seeds,selected_policy,calibration_eligible,calibration_hit_delta_pp,calibration_token_saving_pct,test_baseline_hit@10,test_method_hit@10_mean,method_hit@10,test_hit_delta_pp_mean,test_hit_delta_pp_min,test_hit_delta_pp_max,test_hit_delta_ci_low_pp_min,test_hit_delta_ci_high_pp_max,test_token_saving_pct_mean,test_token_saving_pct_min,test_token_saving_pct_max,noninferior_seeds,full_top10_hit@10_mean,full_top10_evidence_recall@10_mean,last_route_true_reward_mean,selected_cluster_hit_rate_mean,avg_confidence_mean,dense_query_rate_mean,dense_saved_rate_mean,linucb_primary_rate_mean,hybrid_lite_rate_mean,full_dense_fallback_rate_mean,avg_source_candidate_cost_mean,total_feedback_updates_mean,total_update_weight_mean
learned_full_multi_route,feedback-updated LinUCB route selection under the full rescue surface,full_multi_route,trust_weighted,417,3,13|17|19,token_budget_r0.85_m4,1,1.1173184357541888,17.79772794962345,0.8848920863309353,0.8681055155875299,0.8681055155875299,-1.6786570743405276,-2.3980815347721824,-0.7194244604316548,-4.556354916067146,1.1990407673860912,17.859862253167684,17.362562801893333,18.604061323726594,0,0.87751677852349,0.7169214241716269,0.6789709172259508,0.5766219239373602,0.5122618598365326,1.0,0.0,0.0,0.0,0.0,300.0,21456.0,4898.839838079558
learned_gated_cost_aware,feedback-updated LinUCB confidence with retrieval-stage dense saving,gated_cost_aware,trust_weighted,417,3,13|17|19,token_budget_r0.92_m4,0,-1.489757914338922,13.257237309485966,0.8848920863309353,0.832933653077538,0.832933653077538,-5.1958433253397285,-5.515587529976019,-5.0359712230215825,-8.399280575539558,-2.158273381294964,11.832495974755386,10.768485161790597,12.421124052923204,0,0.8383668903803132,0.61786176877157,0.6789709172259508,0.5766219239373602,0.5122618598365326,0.7376957494407158,0.26230425055928414,0.26230425055928414,0.4668158090976882,0.2708799403430276,178.0947054436987,21456.0,4898.839838079558
static_nearest_gated,nearest-centroid confidence without LinUCB policy update,static_nearest_gated,trust_weighted,417,3,13|17|19,token_budget_r0.85_m8,1,0.18621973929236296,15.04076204327236,0.8848920863309353,0.8609112709832134,0.8609112709832134,-2.3980815347721824,-2.6378896882494005,-2.158273381294964,-4.796163069544365,-0.2398081534772182,12.011814564115811,11.84165037721523,12.130821796093748,0,0.8674496644295302,0.6908283513438573,0.8562639821029082,0.8870246085011185,0.416863794623972,0.9586129753914988,0.04138702460850111,0.04138702460850112,0.6297539149888143,0.3288590604026846,191.78970917225948,0.0,0.0
no_feedback_gated,no feedback update; dense/full fallback control,gated_cost_aware,none,417,3,13|17|19,token_budget_r0.85_m4,1,1.489757914338922,16.974235397415423,0.8848920863309353,0.8689048760991207,0.8689048760991207,-1.5987210231814548,-1.9184652278177456,-1.1990407673860912,-3.8369304556354913,0.7194244604316548,16.558267771656883,16.39521170901923,16.88017964168591,0,0.8808724832214766,0.7205252017925591,0.15044742729306487,0.156972408650261,0.0,1.0,0.0,0.0,0.0,1.0,300.0,0.0,0.0
static_nearest_ensemble,nearest-centroid arms under the full rescue surface,static_nearest_ensemble,trust_weighted,417,3,13|17|19,token_budget_r0.85_m4,1,0.9310986964618221,18.76987979613177,0.8848920863309353,0.86810551558753,0.86810551558753,-1.6786570743405276,-2.158273381294964,-1.4388489208633095,-4.316546762589928,0.7194244604316548,18.14321793401291,18.09857675966463,18.21925332385582,0,0.8763982102908278,0.7114546668317502,0.8562639821029082,0.8870246085011185,0.0,1.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0
uniform_random_ensemble,random cluster arms under the full rescue surface,uniform_random_ensemble,trust_weighted,417,3,13|17|19,token_budget_r0.85_m4,1,2.607076350093111,17.468176209613475,0.8848920863309353,0.8705035971223022,0.8705035971223022,-1.4388489208633093,-1.9184652278177456,-0.9592326139088728,-3.8369304556354913,0.9592326139088728,18.38537880378884,18.072244390236015,18.997431382368614,0,0.884228187919463,0.721289820781403,0.14988814317673377,0.15771812080536912,0.0,1.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0
