hit@10,hit_delta_vs_dense_pp,method,policy,seed_rows,split,token_saving_vs_dense_pct,tokens
0.8379888268156425,-2.2346368715083775,dense,token_budget_r0.80_m4,1,calibration,27.923690846606664,1065.0502793296089
0.8379888268156425,-2.2346368715083775,dense,token_budget_r0.80_m5,1,calibration,27.913861090422422,1065.195530726257
0.8379888268156425,-2.2346368715083775,dense,token_budget_r0.80_m6,1,calibration,27.07606340948874,1077.5754189944134
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.80_m7,1,calibration,24.89612594186078,1109.7877094972066
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.80_m8,1,calibration,18.805457783087544,1199.7877094972066
0.8379888268156425,-2.2346368715083775,dense,token_budget_r0.81_m4,1,calibration,27.440898590942254,1072.1843575418995
0.8379888268156425,-2.2346368715083775,dense,token_budget_r0.81_m5,1,calibration,27.435983712850142,1072.2569832402235
0.8379888268156425,-2.2346368715083775,dense,token_budget_r0.81_m6,1,calibration,26.677580216481477,1083.463687150838
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.81_m7,1,calibration,24.650003969709232,1113.4245810055866
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.81_m8,1,calibration,18.706404086154038,1201.2513966480446
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.82_m4,1,calibration,26.55054952117746,1085.340782122905
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.82_m5,1,calibration,26.545634643085336,1085.4134078212292
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.82_m6,1,calibration,26.06586692778533,1092.5027932960893
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.82_m7,1,calibration,24.24509362842766,1119.4078212290503
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.82_m8,1,calibration,18.611887199767118,1202.6480446927374
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.83_m4,1,calibration,25.944885313210065,1094.2905027932961
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.83_m5,1,calibration,25.939970435117942,1094.36312849162
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.83_m6,1,calibration,25.511619906012406,1100.6927374301677
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.83_m7,1,calibration,23.898783756705978,1124.5251396648046
0.8435754189944135,-1.6759776536312776,dense,token_budget_r0.83_m8,1,calibration,18.473136410551106,1204.6983240223465
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.84_m4,1,calibration,25.068902810176063,1107.2346368715084
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.84_m5,1,calibration,25.063987932083954,1107.3072625698323
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.84_m6,1,calibration,24.690835264628387,1112.8212290502793
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.84_m7,1,calibration,23.36419624730155,1132.4245810055866
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.84_m8,1,calibration,18.41226753571794,1205.5977653631285
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.85_m4,1,calibration,23.97893407636209,1123.340782122905
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.85_m5,1,calibration,23.974019198269957,1123.4134078212292
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.85_m6,1,calibration,23.609940151907548,1128.7932960893854
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.85_m7,1,calibration,22.580084157835635,1144.0111731843576
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.85_m8,1,calibration,18.00886946461856,1211.558659217877
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.86_m4,1,calibration,23.30899838565158,1133.2402234636872
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.86_m5,1,calibration,23.30408350755947,1133.3128491620112
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.86_m6,1,calibration,22.96042010865662,1138.391061452514
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.86_m7,1,calibration,22.06893683625517,1151.5642458100558
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.86_m8,1,calibration,17.77862632938002,1214.9608938547485
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.87_m4,1,calibration,22.350597157688203,1147.4022346368715
0.8491620111731844,-1.1173184357541888,dense,token_budget_r0.87_m5,1,calibration,22.34568227959608,1147.4748603351954
