selector,split,budget_ratio,min_keep,target_coverage,final_hit@10,hit_delta_vs_dense_pp,token_saving_vs_dense_pct,actual_coverage,source_selective_risk,dense_selective_risk,hit_delta_vs_source_pp,num_seeds,token_saving_vs_source_pct
dense_budget_only,calibration,0.75,4,1.0,0.8324022346368715,-2.7932960893854775,31.941036585596382,1.0,0.032467532467532464,0.032467532467532464,-2.7932960893854775,3,31.941036585596382
dense_budget_only,calibration,0.75,5,1.0,0.8324022346368715,-2.7932960893854775,31.488867801121355,1.0,0.032467532467532464,0.032467532467532464,-2.7932960893854775,3,31.488867801121355
dense_budget_only,calibration,0.75,6,1.0,0.8379888268156425,-2.2346368715083775,30.068846100044233,1.0,0.025974025974025976,0.025974025974025976,-2.2346368715083775,3,30.068846100044233
dense_budget_only,calibration,0.75,7,1.0,0.8435754189944135,-1.6759776536312776,26.611418396010635,1.0,0.01948051948051948,0.01948051948051948,-1.6759776536312776,3,26.611418396010635
dense_budget_only,calibration,0.75,8,1.0,0.8435754189944135,-1.6759776536312776,19.49127231071104,1.0,0.01948051948051948,0.01948051948051948,-1.6759776536312776,3,19.49127231071104
dense_budget_only,calibration,0.8,4,1.0,0.8379888268156425,-2.2346368715083775,27.923690846606664,1.0,0.025974025974025976,0.025974025974025976,-2.2346368715083775,3,27.923690846606664
dense_budget_only,calibration,0.8,5,1.0,0.8379888268156425,-2.2346368715083775,27.913861090422422,1.0,0.025974025974025976,0.025974025974025976,-2.2346368715083775,3,27.913861090422422
dense_budget_only,calibration,0.8,6,1.0,0.8379888268156425,-2.2346368715083775,27.07606340948874,1.0,0.025974025974025976,0.025974025974025976,-2.2346368715083775,3,27.07606340948874
dense_budget_only,calibration,0.8,7,1.0,0.8435754189944135,-1.6759776536312776,24.89612594186078,1.0,0.01948051948051948,0.01948051948051948,-1.6759776536312776,3,24.89612594186078
dense_budget_only,calibration,0.8,8,1.0,0.8435754189944135,-1.6759776536312776,18.805457783087544,1.0,0.01948051948051948,0.01948051948051948,-1.6759776536312776,3,18.805457783087544
dense_budget_only,calibration,0.85,4,1.0,0.8491620111731844,-1.1173184357541888,23.97893407636209,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,23.97893407636209
dense_budget_only,calibration,0.85,5,1.0,0.8491620111731844,-1.1173184357541888,23.974019198269957,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,23.974019198269957
dense_budget_only,calibration,0.85,6,1.0,0.8491620111731844,-1.1173184357541888,23.609940151907548,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,23.609940151907548
dense_budget_only,calibration,0.85,7,1.0,0.8491620111731844,-1.1173184357541888,22.580084157835635,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,22.580084157835635
dense_budget_only,calibration,0.85,8,1.0,0.8491620111731844,-1.1173184357541888,18.00886946461856,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,18.00886946461856
dense_budget_only,calibration,0.88,4,1.0,0.8491620111731844,-1.1173184357541888,21.658733549335928,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,21.658733549335928
dense_budget_only,calibration,0.88,5,1.0,0.8491620111731844,-1.1173184357541888,21.65381867124381,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,21.65381867124381
dense_budget_only,calibration,0.88,6,1.0,0.8491620111731844,-1.1173184357541888,21.310155272340957,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,21.310155272340957
dense_budget_only,calibration,0.88,7,1.0,0.8491620111731844,-1.1173184357541888,20.510164345962057,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,20.510164345962057
dense_budget_only,calibration,0.88,8,1.0,0.8491620111731844,-1.1173184357541888,16.974098592454535,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,16.974098592454535
dense_budget_only,calibration,0.9,4,1.0,0.8491620111731844,-1.1173184357541888,19.419817544602523,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,19.419817544602523
dense_budget_only,calibration,0.9,5,1.0,0.8491620111731844,-1.1173184357541888,19.414902666510404,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,19.414902666510404
dense_budget_only,calibration,0.9,6,1.0,0.8491620111731844,-1.1173184357541888,19.40129223487068,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,19.40129223487068
dense_budget_only,calibration,0.9,7,1.0,0.8491620111731844,-1.1173184357541888,19.26443178338242,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,19.26443178338242
dense_budget_only,calibration,0.9,8,1.0,0.8491620111731844,-1.1173184357541888,16.43724267777681,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,16.43724267777681
dense_budget_only,calibration,0.92,4,1.0,0.8491620111731844,-1.1173184357541888,17.84403201475977,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,17.84403201475977
dense_budget_only,calibration,0.92,5,1.0,0.8491620111731844,-1.1173184357541888,17.84403201475977,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,17.84403201475977
dense_budget_only,calibration,0.92,6,1.0,0.8491620111731844,-1.1173184357541888,17.83042158312005,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,17.83042158312005
dense_budget_only,calibration,0.92,7,1.0,0.8491620111731844,-1.1173184357541888,17.76841850565023,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,17.76841850565023
dense_budget_only,calibration,0.92,8,1.0,0.8491620111731844,-1.1173184357541888,15.891691209551517,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,15.891691209551517
dense_budget_only,calibration,0.95,4,1.0,0.8491620111731844,-1.1173184357541888,15.932900572016194,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,15.932900572016194
dense_budget_only,calibration,0.95,5,1.0,0.8491620111731844,-1.1173184357541888,15.932900572016194,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,15.932900572016194
dense_budget_only,calibration,0.95,6,1.0,0.8491620111731844,-1.1173184357541888,15.932900572016194,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,15.932900572016194
dense_budget_only,calibration,0.95,7,1.0,0.8491620111731844,-1.1173184357541888,15.932900572016194,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,15.932900572016194
dense_budget_only,calibration,0.95,8,1.0,0.8491620111731844,-1.1173184357541888,14.452009996105907,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,14.452009996105907
dense_budget_only,calibration,0.98,4,1.0,0.8491620111731844,-1.1173184357541888,10.6267225702544,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,10.6267225702544
dense_budget_only,calibration,0.98,5,1.0,0.8491620111731844,-1.1173184357541888,10.6267225702544,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,10.6267225702544
dense_budget_only,calibration,0.98,6,1.0,0.8491620111731844,-1.1173184357541888,10.6267225702544,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,10.6267225702544
