setting,backbone,route_mode,role,source,selected_policy,num_queries,num_seeds,seeds,baseline_hit@10,method_hit@10,baseline_hit@10_mean,method_hit@10_mean,hit_delta_pp_mean,hit_delta_pp_sd,hit_delta_pp_seed_ci_low,hit_delta_pp_seed_ci_high,token_saving_percent_mean,token_saving_percent_sd,noninferior_seed_count,paired_hit_delta_ci_low_min_pp,paired_hit_delta_ci_high_max_pp,mcnemar_p_min,mcnemar_p_max
MiniLM gated,MiniLM,gated_cost_aware,matched_backbone,paper/experiments/results/task38_100k_calibrated_context_budget.json,token_budget_r0.95_m4,417,3,"13,17,19",0.8705035971223022,0.8705035971223022,0.8705035971223022,0.8705035971223022,4.625929269271486e-17,0.6344727364663287,-1.5761176517927102,1.5761176517927102,6.181271477663219,1.0990014973341578,0,-2.3980815347721824,3.117505995203837,0.6900379657745361,1.0
BGE full,BGE-base,full_multi_route,matched_backbone,paper/experiments/results/task53_bge_base_100k_full_context_budget.json,token_budget_r0.92_m4,417,3,"13,17,19",0.8992805755395683,0.8984812150279776,0.8992805755395683,0.8984812150279776,-0.07993605115907274,0.3663130051923133,-0.9899080016961147,0.8300358993779692,11.985246939666611,0.46333377497903233,0,-2.158273381294964,1.6786570743405276,0.79052734375,1.0
BGE gated,BGE-base,gated_cost_aware,cost_aggressive_boundary,paper/experiments/results/task53_bge_base_100k_matched_context_budget.json,token_budget_r0.88_m4,417,3,"13,17,19",0.8992805755395683,0.8745003996802558,0.8992805755395683,0.8745003996802558,-2.478017585931255,0.49920047948828145,-3.7181003227985787,-1.2379348490639313,16.211658961136326,0.8380462456372807,0,-5.0359712230215825,0.2398081534772182,0.012725830078125,0.09625244140625
E5 full,E5-base,full_multi_route,matched_backbone,paper/experiments/results/task53_e5_base_100k_full_context_budget.json,token_budget_r0.88_m7,417,3,"13,17,19",0.8752997601918465,0.8689048760991207,0.8752997601918465,0.8689048760991207,-0.639488409272582,0.1384533019639391,-0.9834254780104938,-0.29555134053467014,12.199922898674606,0.5954454809975203,0,-2.3980815347721824,0.9592326139088728,0.5078125,0.7744140625
E5 gated,E5-base,gated_cost_aware,cost_aggressive_boundary,paper/experiments/results/task53_e5_base_100k_gated_context_budget.json,token_budget_r0.95_m4,417,3,"13,17,19",0.8752997601918465,0.8409272581934453,0.8752997601918465,0.8409272581934453,-3.437250199840128,0.9078990161151517,-5.692596384317616,-1.1819040153626408,6.831324089554858,1.4402951201999588,0,-6.474820143884892,-0.2398081534772182,0.0009105205535888672,0.04138946533203125
BGE positive,BGE-base,full_multi_route,quality_first_tuning,paper/experiments/results/task54_bge_base_100k_positive_hit_context_budget.json,token_budget_r0.97_m4,417,3,"13,17,19",0.8992805755395683,0.9080735411670664,0.8992805755395683,0.9080735411670664,0.8792965627498002,0.13845330196393893,0.5353594940118889,1.2232336314877115,7.225835920173233,0.8130826907653628,3,-0.7194244604316548,2.3980815347721824,0.2890625,0.548828125
