run_id,source_label,method,seed,policy,num_queries,num_skipped_no_gt,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,context_token_delta_vs_baseline@1,context_token_delta_vs_baseline@10,context_token_delta_vs_baseline@5,context_token_ratio_vs_baseline@1,context_token_ratio_vs_baseline@10,context_token_ratio_vs_baseline@5,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@10,hit@5,hit_delta_vs_baseline@1,hit_delta_vs_baseline@10,hit_delta_vs_baseline@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,recall@1,recall@10,recall@5
dense:token_budget_r0.95_m5,dense,dense,,token_budget_r0.95_m5,596,0,1.0,8.907718120805368,5.0,150.01677852348993,1253.5536912751677,742.2986577181208,0.0,0.0,0.0,0.0,-190.57046979865777,0.0,1.0,0.8680373371379972,1.0,0.25038210025336854,0.602041388068205,0.5219177404854909,0.5503355704697986,0.785234899328859,0.7298657718120806,0.0,-0.011744966442953086,0.0,1520.0,4659.0,4371.0,100.5,1091.0,615.0,0.5503355704697986,0.6266099392777245,0.6188199105145413,0.5503355704697986,0.5559061695135925,0.5381092479044733,441.25,2542.0,1736.0,0.5503355704697986,0.785234899328859,0.7298657718120806
dense,dense,dense,,,596,0,1.0,10.0,5.0,150.01677852348993,1444.1241610738255,742.2986577181208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25038210025336854,0.6202145339649683,0.5219177404854909,0.5503355704697986,0.7969798657718121,0.7298657718120806,0.0,0.0,0.0,1520.0,5025.0,4371.0,100.5,1266.0,615.0,0.5503355704697986,0.6278636678385,0.6188199105145413,0.5503355704697986,0.5643164326791772,0.5381092479044733,441.25,2827.75,1736.0,0.5503355704697986,0.7969798657718121,0.7298657718120806
gated_fixed:gated_cost_aware:seed13:token_budget_r0.95_m5,gated_fixed,gated_cost_aware,13,token_budget_r0.95_m5,596,0,1.0,8.901006711409396,5.0,165.71979865771812,1356.0587248322147,797.0704697986578,0.0,0.0,0.0,15.703020134228183,-88.06543624161077,54.77181208053696,1.104675092271558,0.9390180992636209,1.0737867588888137,0.24582526633411847,0.6141748572276808,0.5176202412844682,0.5486577181208053,0.8288590604026845,0.7483221476510067,-0.001677852348993314,0.03187919463087241,0.01845637583892612,1520.0,8536.0,4776.0,111.0,1178.0,674.5,0.5486577181208053,0.6359446575050601,0.6242729306487694,0.5486577181208053,0.5515609696287191,0.5275719360450846,469.25,2707.25,1791.0,0.5486577181208053,0.8288590604026845,0.7483221476510067
gated_fixed:gated_cost_aware:seed13,gated_fixed,gated_cost_aware,13,,596,0,1.0,10.0,5.0,165.71979865771812,1564.498322147651,797.0704697986578,0.0,0.0,0.0,15.703020134228183,120.37416107382546,54.77181208053696,1.104675092271558,1.083354440233392,1.0737867588888137,0.24582526633411847,0.6314554788887989,0.5176202412844682,0.5486577181208053,0.8439597315436241,0.7483221476510067,-0.001677852348993314,0.04697986577181201,0.01845637583892612,1520.0,9311.0,4776.0,111.0,1347.0,674.5,0.5486577181208053,0.6375339565356343,0.6242729306487694,0.5486577181208053,0.5590504646238171,0.5275719360450846,469.25,3062.25,1791.0,0.5486577181208053,0.8439597315436241,0.7483221476510067
gated_fixed:gated_cost_aware:seed17:token_budget_r0.95_m5,gated_fixed,gated_cost_aware,17,token_budget_r0.95_m5,596,0,1.0,8.921140939597315,5.0,159.9228187919463,1328.1140939597315,781.1812080536913,0.0,0.0,0.0,9.906040268456366,-116.010067114094,38.8825503355705,1.0660328822279386,0.9196675256594067,1.0523812752876291,0.25133021999343463,0.6018906144962033,0.5182709538269594,0.5503355704697986,0.8104026845637584,0.75,0.0,0.01342281879194629,0.020134228187919434,1520.0,4885.0,4371.0,110.0,1186.5,669.5,0.5503355704697986,0.6344678811121764,0.6256991051454139,0.5503355704697986,0.5472433902426523,0.527968671889018,442.75,2606.0,1712.75,0.5503355704697986,0.8104026845637584,0.75
gated_fixed:gated_cost_aware:seed17,gated_fixed,gated_cost_aware,17,,596,0,1.0,10.0,5.0,159.9228187919463,1535.8338926174497,781.1812080536913,0.0,0.0,0.0,9.906040268456366,91.70973154362423,38.8825503355705,1.0660328822279386,1.063505433961738,1.0523812752876291,0.25133021999343463,0.6196138075969132,0.5182709538269594,0.5503355704697986,0.825503355704698,0.75,0.0,0.028523489932885893,0.020134228187919434,1520.0,9311.0,4371.0,110.0,1359.0,669.5,0.5503355704697986,0.6360571801427507,0.6256991051454139,0.5503355704697986,0.5545867063133125,0.527968671889018,442.75,2964.25,1712.75,0.5503355704697986,0.825503355704698,0.75
gated_fixed:gated_cost_aware:seed19:token_budget_r0.95_m5,gated_fixed,gated_cost_aware,19,token_budget_r0.95_m5,596,0,1.0,8.901006711409396,5.0,169.64429530201343,1343.1375838926174,789.9010067114094,0.0,0.0,0.0,19.6275167785235,-100.98657718120808,47.602348993288615,1.1308354770159939,0.9300707100516092,1.0641282972808028,0.2540147837518238,0.6135522602124662,0.5272168969591439,0.5503355704697986,0.8187919463087249,0.7600671140939598,0.0,0.021812080536912748,0.030201342281879207,1520.0,5556.0,4776.0,111.0,1178.0,663.0,0.5503355704697986,0.6396192873122402,0.6311800894854585,0.5503355704697986,0.5590919730444903,0.5374270312671768,512.0,2708.75,1731.25,0.5503355704697986,0.8187919463087249,0.7600671140939598
gated_fixed:gated_cost_aware:seed19,gated_fixed,gated_cost_aware,19,,596,0,1.0,10.0,5.0,169.64429530201343,1542.0805369127518,789.9010067114094,0.0,0.0,0.0,19.6275167785235,97.9563758389263,47.602348993288615,1.1308354770159939,1.0678309929847636,1.0641282972808028,0.2540147837518238,0.6365892410066214,0.5272168969591439,0.5503355704697986,0.8338926174496645,0.7600671140939598,0.0,0.03691275167785235,0.030201342281879207,1520.0,8671.0,4776.0,111.0,1334.5,663.0,0.5503355704697986,0.6411713007350589,0.6311800894854585,0.5503355704697986,0.5686382985898952,0.5374270312671768,512.0,3131.0,1731.25,0.5503355704697986,0.8338926174496645,0.7600671140939598
task29_C:gated_cost_aware:seed13:token_budget_r0.95_m5,task29_C,gated_cost_aware,13,token_budget_r0.95_m5,596,0,1.0,7.843959731543624,5.0,165.71979865771812,1187.2919463087248,797.0704697986578,0.0,0.0,0.0,15.703020134228183,-256.8322147651006,54.77181208053696,1.104675092271558,0.8221536473885149,1.0737867588888137,0.24582526633411847,0.594013394307742,0.5176202412844682,0.5486577181208053,0.8120805369127517,0.7483221476510067,-0.001677852348993314,0.015100671140939603,0.01845637583892612,1520.0,4902.0,4776.0,111.0,1046.5,674.5,0.5486577181208053,0.6338573292851815,0.6242729306487694,0.5486577181208053,0.5407113316354086,0.5275719360450846,469.25,2377.75,1791.0,0.5486577181208053,0.8120805369127517,0.7483221476510067
task29_C:gated_cost_aware:seed13,task29_C,gated_cost_aware,13,,596,0,1.0,8.90268456375839,5.0,165.71979865771812,1376.8708053691275,797.0704697986578,0.0,0.0,0.0,15.703020134228183,-67.25335570469792,54.77181208053696,1.104675092271558,0.9534296582541147,1.0737867588888137,0.24582526633411847,0.612873055404443,0.5176202412844682,0.5486577181208053,0.8338926174496645,0.7483221476510067,-0.001677852348993314,0.03691275167785235,0.01845637583892612,1520.0,5426.0,4776.0,111.0,1239.5,674.5,0.5486577181208053,0.6364713167146052,0.6242729306487694,0.5486577181208053,0.5498322795734049,0.5275719360450846,469.25,2696.75,1791.0,0.5486577181208053,0.8338926174496645,0.7483221476510067
