scale,split,method_label,run_id,budget_target_run_id,seed,num_queries,hit@10,hit_delta_vs_dense@10,evidence_recall@10,mrr@10,ndcg@10,avg_context_tokens@10,avg_budget_tokens@10,budget_fill_ratio@10,context_token_saving_percent_vs_dense@10,avg_context_chunks@10,context_token_ratio_vs_dense@10,evidence_recall@1,evidence_recall@5,hit@1,hit@5,mrr@1,mrr@5,ndcg@1,ndcg@5,num_skipped_no_gt,recall@1,recall@10,recall@5
100k,test,dense_top10,dense50,,,417,0.8705035971223022,0.0,0.7081237279172036,0.6989018309162194,0.6474609527788745,1470.1199040767385,1470.1199040767385,1.0,0.0,10.0,1.0,0.27574778809584055,0.6149272625488204,0.6139088729016786,0.8105515587529976,0.6139088729016786,0.690767386091127,0.6139088729016786,0.623847826353136,0,0.6139088729016786,0.8705035971223022,0.8105515587529976
100k,test,intentweight_target,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,,13,417,0.86810551558753,-0.0023980815347721673,0.6824474843173677,0.7081810741882681,0.6296322387912997,1375.6450839328538,1375.6450839328538,1.0,6.426334333811812,8.908872901678658,0.9357366566618819,0.28339785851569516,0.6016340875649978,0.6282973621103117,0.8201438848920863,0.6282973621103117,0.7016386890487608,0.6282973621103117,0.6135239876852729,0,0.6282973621103117,0.86810551558753,0.8201438848920863
100k,test,intentweight_target,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,,17,417,0.8657074340527577,-0.004796163069544446,0.6766259510677767,0.7078917818126449,0.6280985518662682,1365.1966426858514,1365.1966426858514,1.0,7.1370546783244055,8.88968824940048,0.9286294532167559,0.28581592406325707,0.604265791725479,0.6282973621103117,0.8249400479616307,0.6282973621103117,0.7017585931254995,0.6282973621103117,0.6140147122186009,0,0.6282973621103117,0.8657074340527577,0.8249400479616307
100k,test,intentweight_target,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,,19,417,0.8776978417266187,0.007194244604316502,0.6870552266948943,0.7244423508811995,0.636580608976689,1396.9016786570744,1396.9016786570744,1.0,4.98042542085344,8.90167865707434,0.9501957457914656,0.2889733980840405,0.600219029135551,0.6498800959232613,0.8225419664268585,0.6498800959232613,0.7165867306155075,0.6498800959232613,0.617866746635495,0,0.6498800959232613,0.8776978417266187,0.8225419664268585
100k,test,reranker_same_budget,cross_encoder:cross-encoder/ms-marco-MiniLM-L-6-v2:same_budget:task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,13,417,0.8633093525179856,-0.007194244604316613,0.703124968304204,0.747227931940162,0.6724663157611642,1369.5203836930455,1375.6450839328538,0.9955477613293261,6.842946626647528,8.743405275779377,0.9315705337335247,0.31000267855576696,0.649899198420037,0.6714628297362111,0.8489208633093526,0.6714628297362111,0.7450439648281375,0.6714628297362111,0.6677097434651081,0,0.6714628297362111,0.8633093525179856,0.8489208633093526
100k,test,reranker_same_budget,cross_encoder:cross-encoder/ms-marco-MiniLM-L-6-v2:same_budget:task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,17,417,0.8633093525179856,-0.007194244604316613,0.6975093622668664,0.747227931940162,0.6686247470301921,1359.9544364508392,1365.1966426858514,0.9961601090486871,7.4936382617773685,8.652278177458033,0.9250636173822263,0.31000267855576696,0.6481006372689578,0.6714628297362111,0.8489208633093526,0.6714628297362111,0.7450439648281375,0.6714628297362111,0.6659437369985471,0,0.6714628297362111,0.8633093525179856,0.8489208633093526
100k,test,reranker_same_budget,cross_encoder:cross-encoder/ms-marco-MiniLM-L-6-v2:same_budget:task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,19,417,0.8729016786570744,0.0023980815347721673,0.7044366775574912,0.7487733622625707,0.6722463696070828,1390.3381294964029,1396.9016786570744,0.9953013520844348,5.426888946887631,8.678657074340528,0.9457311105311237,0.31000267855576696,0.6500990385479348,0.6714628297362111,0.8513189448441247,0.6714628297362111,0.7455235811350919,0.6714628297362111,0.6669920179310939,0,0.6714628297362111,0.8729016786570744,0.8513189448441247
100k,test,reranker_top10,cross_encoder:cross-encoder/ms-marco-MiniLM-L-6-v2:top10,,,417,0.8776978417266187,0.007194244604316502,0.7332345916072038,0.7492453656122721,0.6868824795197801,1792.2470023980816,1792.2470023980816,1.0,-21.911620775153338,10.0,1.2191162077515334,0.31000267855576696,0.6508983990595253,0.6714628297362111,0.8489208633093526,0.6714628297362111,0.7450439648281375,0.6714628297362111,0.6684275674789774,0,0.6714628297362111,0.8776978417266187,0.8489208633093526
