calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,dataset,fold,hit@10,hit_delta_pp,method,saving_pct,seed,selected_policy,test_queries
False,-0.721695985566077,739,3.98854185856233,lotte_recreation_search_100k,0,0.8108108108108109,0.0,intentroute,0.0,13,dense_top10_fallback,185
False,-0.721695985566077,739,3.98854185856233,lotte_recreation_search_100k,0,0.8108108108108109,0.0,intentroute,0.0,17,dense_top10_fallback,185
False,-0.721695985566077,739,3.98854185856233,lotte_recreation_search_100k,0,0.8108108108108109,0.0,intentroute,0.0,19,dense_top10_fallback,185
False,-0.4059539918809252,739,10.535183497886447,lotte_recreation_search_100k,0,0.8108108108108109,0.0,dense,0.0,,dense_top10_fallback,185
True,0.04510599909787934,739,6.546368392864495,lotte_recreation_search_100k,1,0.8594594594594595,-1.0810810810810811,intentroute,7.065862755264163,13,token_budget_r0.95_m4,185
True,0.04510599909787934,739,6.546368392864495,lotte_recreation_search_100k,1,0.8648648648648649,-0.540540540540535,intentroute,7.254018163268727,17,token_budget_r0.95_m4,185
True,0.04510599909787934,739,6.546368392864495,lotte_recreation_search_100k,1,0.8648648648648649,-0.540540540540535,intentroute,6.973875666906393,19,token_budget_r0.95_m4,185
False,-0.5412719891745632,739,10.8525522185144,lotte_recreation_search_100k,1,0.8702702702702703,0.0,dense,0.0,,dense_top10_fallback,185
True,0.09021199819575129,739,6.506377299875299,lotte_recreation_search_100k,2,0.8486486486486486,-0.5405405405405461,intentroute,5.952453856234774,13,token_budget_r0.95_m4,185
True,0.09021199819575129,739,6.506377299875299,lotte_recreation_search_100k,2,0.8486486486486486,-0.5405405405405461,intentroute,8.62860852205224,17,token_budget_r0.95_m4,185
True,0.09021199819575129,739,6.506377299875299,lotte_recreation_search_100k,2,0.8378378378378378,-1.6216216216216273,intentroute,7.166215537619259,19,token_budget_r0.95_m4,185
False,-0.6765899864682012,739,10.755192432761406,lotte_recreation_search_100k,2,0.8540540540540541,0.0,dense,0.0,,dense_top10_fallback,185
True,0.0902119981957624,739,6.638139237247524,lotte_recreation_search_100k,3,0.8216216216216217,-1.0810810810810811,intentroute,4.4611490077102856,13,token_budget_r0.95_m4,185
True,0.0902119981957624,739,6.638139237247524,lotte_recreation_search_100k,3,0.8324324324324325,0.0,intentroute,6.784285686679937,17,token_budget_r0.95_m4,185
True,0.0902119981957624,739,6.638139237247524,lotte_recreation_search_100k,3,0.8162162162162162,-1.6216216216216273,intentroute,8.867804208776986,19,token_budget_r0.95_m4,185
False,-0.5412719891745521,739,10.578809712500792,lotte_recreation_search_100k,3,0.8324324324324325,0.0,dense,0.0,,dense_top10_fallback,185
True,0.18018018018018572,740,6.82569818922701,lotte_recreation_search_100k,4,0.8586956521739131,-2.1739130434782594,intentroute,6.891367140425042,13,token_budget_r0.95_m4,184
True,0.18018018018018572,740,6.82569818922701,lotte_recreation_search_100k,4,0.875,-0.5434782608695676,intentroute,3.865179715744982,17,token_budget_r0.95_m4,184
True,0.18018018018018572,740,6.82569818922701,lotte_recreation_search_100k,4,0.8695652173913043,-1.0869565217391353,intentroute,7.225357231669749,19,token_budget_r0.95_m4,184
False,-0.540540540540535,740,10.85210189717677,lotte_recreation_search_100k,4,0.8804347826086957,0.0,dense,0.0,,dense_top10_fallback,184
