dataset,method,protocol,task_type,scope,query_split,corpus_scope,corpus_sampling,num_corpus_chunks,num_queries,num_skipped_no_gt,num_queries_with_gt_in_corpus,gt_query_coverage,num_seeds,n_effective_arms_mean,candidate_arms,recall@1_mean,recall@1_std,recall@5_mean,recall@5_std,recall@10_mean,recall@10_std,mrr@10_mean,mrr@10_std,ndcg@10_mean,ndcg@10_std,avg_feedback_reward_mean,elapsed_sec,notes
emanual,Global LinUCB,prequential,evidence_retrieval,heldout_test,test,full,,18812,130,2,,,3,32.0000,3,0.0000,0.0000,0.0205,0.0096,0.1154,0.0326,0.0182,0.0042,0.0138,0.0021,0.1136,46.952,
pubmedqa,Global LinUCB,prequential,evidence_retrieval,full,train,full,,4348,1000,0,,,3,32.0000,3,0.3927,0.0217,0.5387,0.0168,0.5480,0.0159,0.4637,0.0186,0.3440,0.0111,0.5480,64.951,"GT is abstract context section-level, not strict answer-supporting sentence evidence."
