scale,split,method_label,run_id,budget_target_run_id,num_queries,hit@10,hit_delta_vs_dense@10,evidence_recall@10,mrr@10,ndcg@10,avg_context_tokens@10,avg_budget_tokens@10,budget_fill_ratio@10,context_token_ratio_vs_dense@10,context_token_saving_percent_vs_dense@10,avg_selected_sentences@10,avg_supported_chunks@10,evidence_recall@1,evidence_recall@5,hit@1,hit@5,max_context_tokens@10,median_context_tokens@10,mrr@1,mrr@5,ndcg@1,ndcg@5,num_skipped_no_gt,p95_context_tokens@10,recall@1,recall@10,recall@5
100k,test,budget_target,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,-0.0023980815347721673,0.6824474843173677,0.7081810741882681,0.6296322387912997,1375.6450839328538,1375.6450839328538,1.0,0.9357366566618819,6.426334333811812,0.0,8.908872901678658,0.28339785851569516,0.6016340875649978,0.6282973621103117,0.8201438848920863,12046.0,1254.0,0.6282973621103117,0.7016386890487608,0.6282973621103117,0.6135239876852729,0,2486.3999999999996,0.6282973621103117,0.86810551558753,0.8201438848920863
100k,test,budget_target,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,417,0.8657074340527577,-0.004796163069544446,0.6766259510677767,0.7078917818126449,0.6280985518662682,1365.1966426858514,1365.1966426858514,1.0,0.9286294532167559,7.1370546783244055,0.0,8.88968824940048,0.28581592406325707,0.604265791725479,0.6282973621103117,0.8249400479616307,12779.0,1216.0,0.6282973621103117,0.7017585931254995,0.6282973621103117,0.6140147122186009,0,2555.3999999999996,0.6282973621103117,0.8657074340527577,0.8249400479616307
100k,test,budget_target,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,417,0.8776978417266187,0.007194244604316502,0.6870552266948943,0.7244423508811995,0.636580608976689,1396.9016786570744,1396.9016786570744,1.0,0.9501957457914656,4.98042542085344,0.0,8.90167865707434,0.2889733980840405,0.600219029135551,0.6498800959232613,0.8225419664268585,13322.0,1291.0,0.6498800959232613,0.7165867306155075,0.6498800959232613,0.617866746635495,0,2588.7999999999993,0.6498800959232613,0.8776978417266187,0.8225419664268585
100k,test,dense_sent_mmr,dense_sent_mmr:task38-task37_source-gated_cost_aware-seed13-token_budg-c687ad1e:lambda0.70,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.8705035971223022,0.0,0.7081237279172036,0.7052700696585588,0.6446122260699481,1287.7553956834533,1375.6450839328538,0.9361102007516857,0.8759526295184655,12.404737048153446,51.99760191846523,9.995203836930456,0.281038706875968,0.6070463378513489,0.6139088729016786,0.8225419664268585,7492.0,1189.0,0.6139088729016786,0.6984812150279776,0.6139088729016786,0.6152025353186956,0,2393.7999999999997,0.6139088729016786,0.8705035971223022,0.8225419664268585
100k,test,dense_sent_mmr,dense_sent_mmr:task38-task37_source-gated_cost_aware-seed17-token_budg-eb8f1074:lambda0.70,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,417,0.8705035971223022,0.0,0.7074575941575447,0.7052700696585588,0.6442327836842825,1278.0407673860911,1365.1966426858514,0.936158738913764,0.8693445778415765,13.065542215842353,51.67625899280576,9.980815347721823,0.281038706875968,0.6070463378513489,0.6139088729016786,0.8225419664268585,7492.0,1173.0,0.6139088729016786,0.6984812150279776,0.6139088729016786,0.6152025353186956,0,2431.7999999999997,0.6139088729016786,0.8705035971223022,0.8225419664268585
100k,test,dense_sent_mmr,dense_sent_mmr:task38-task37_source-gated_cost_aware-seed19-token_budg-b8b4e02c:lambda0.70,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,417,0.8705035971223022,0.0,0.7081237279172036,0.7052700696585588,0.6446122260699481,1302.083932853717,1396.9016786570744,0.9321228206307896,0.8856991387185176,11.430086128148243,52.697841726618705,9.992805755395683,0.281038706875968,0.6070463378513489,0.6139088729016786,0.8225419664268585,7492.0,1214.0,0.6139088729016786,0.6984812150279776,0.6139088729016786,0.6152025353186956,0,2469.9999999999995,0.6139088729016786,0.8705035971223022,0.8225419664268585
100k,test,dense_top10,dense,,417,0.8705035971223022,0.0,0.7081237279172036,0.6989018309162194,0.6474609527788745,1470.1199040767385,1470.1199040767385,1.0,1.0,0.0,0.0,10.0,0.27574778809584055,0.6149272625488204,0.6139088729016786,0.8105515587529976,7585.0,1318.0,0.6139088729016786,0.690767386091127,0.6139088729016786,0.623847826353136,0,2741.2,0.6139088729016786,0.8705035971223022,0.8105515587529976
