selector,margin_pp,split,budget_ratio,min_keep,target_coverage,eligible,final_hit@10,hit_delta_vs_dense_pp,token_saving_vs_dense_pct,actual_coverage,source_selective_risk,dense_selective_risk,hit_delta_vs_source_pp,num_seeds,token_saving_vs_source_pct
geometry_feedback,0.0,calibration,0.85,4,0.2,True,0.8603351955307262,0.0,5.894577125149189,0.2011173184357542,0.0,0.0,0.0,3,5.894577125149189
geometry_feedback,0.0,test,0.85,4,0.2,True,0.8665067945643485,-0.3996802557953649,5.323198051241892,0.20943245403677058,0.020894044979410834,0.020894044979410834,-0.3996802557953649,3,5.323198051241892
geometry_no_feedback,0.0,calibration,0.8,4,0.3,True,0.8603351955307262,0.0,6.077183749648718,0.3016759776536313,0.0,0.0,0.0,3,6.077183749648718
geometry_no_feedback,0.0,test,0.8,4,0.3,True,0.8529176658673062,-1.7585931254996006,5.657325242507279,0.2597921662669864,0.0958641130870953,0.0958641130870953,-1.7585931254996006,3,5.657325242507279
random_feedback,0.0,calibration,0.85,4,0.3,True,0.8603351955307262,0.0,7.344970252385297,0.3016759776536313,0.0,0.0,0.0,3,7.344970252385297
random_feedback,0.0,test,0.85,4,0.3,True,0.8641087130295764,-0.6394884092725853,8.320718604549999,0.3165467625899281,0.020866317541509357,0.020866317541509357,-0.6394884092725853,3,8.320718604549999
random_no_feedback,0.0,calibration,0.8,7,0.4,True,0.8603351955307262,0.0,11.203401599729808,0.4022346368715084,0.0,0.0,0.0,3,11.203401599729808
random_no_feedback,0.0,test,0.8,7,0.4,True,0.8601119104716227,-1.0391686650679504,9.48089303579972,0.407673860911271,0.03022471115355115,0.03022471115355115,-1.0391686650679504,3,9.48089303579972
dense_budget_only,0.0,calibration,0.85,4,1.0,False,0.8491620111731844,-1.1173184357541888,23.97893407636209,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,23.97893407636209
dense_budget_only,0.0,test,0.85,4,1.0,False,0.8513189448441247,-1.918465227817745,22.889207882030536,1.0,0.02203856749311295,0.02203856749311295,-1.918465227817745,3,22.889207882030536
geometry_feedback,1.0,calibration,0.85,4,0.9,True,0.851024208566108,-0.9310986964618221,22.020922257970614,0.9050279329608939,0.011688531504234231,0.011688531504234231,-0.9310986964618221,3,22.020922257970614
geometry_feedback,1.0,test,0.85,4,0.9,True,0.8513189448441247,-1.918465227817745,21.411653399451907,0.9160671462829736,0.023809946871834967,0.023809946871834967,-1.918465227817745,3,21.411653399451907
geometry_no_feedback,1.0,calibration,0.85,4,0.9,True,0.8528864059590316,-0.7448789571694555,21.10524266265412,0.9050279329608939,0.00966183574879227,0.00966183574879227,-0.7448789571694555,3,21.10524266265412
geometry_no_feedback,1.0,test,0.85,4,0.9,True,0.8513189448441247,-1.918465227817745,20.351418069511503,0.8952837729816147,0.02487858425546453,0.02487858425546453,-1.918465227817745,3,20.351418069511503
random_feedback,1.0,calibration,0.85,4,0.9,True,0.851024208566108,-0.9310986964618221,22.376179728270262,0.9050279329608939,0.011688521936214991,0.011688521936214991,-0.9310986964618221,3,22.376179728270262
random_feedback,1.0,test,0.85,4,0.9,True,0.8537170263788969,-1.6786570743405282,21.55095915437818,0.9192645883293366,0.02095182121677803,0.02095182121677803,-1.6786570743405282,3,21.55095915437818
random_no_feedback,1.0,calibration,0.85,4,0.9,True,0.851024208566108,-0.9310986964618221,22.228985430537023,0.9050279329608939,0.011791773111113442,0.011791773111113442,-0.9310986964618221,3,22.228985430537023
random_no_feedback,1.0,test,0.85,4,0.9,True,0.8521183053557154,-1.8385291766586727,19.76668189133934,0.8745003996802558,0.02410752738072375,0.02410752738072375,-1.8385291766586727,3,19.76668189133934
dense_budget_only,1.0,calibration,0.85,4,1.0,False,0.8491620111731844,-1.1173184357541888,23.97893407636209,1.0,0.012987012987012988,0.012987012987012988,-1.1173184357541888,3,23.97893407636209
dense_budget_only,1.0,test,0.85,4,1.0,False,0.8513189448441247,-1.918465227817745,22.889207882030536,1.0,0.02203856749311295,0.02203856749311295,-1.918465227817745,3,22.889207882030536
