scale,dataset,num_corpus_chunks,num_queries,num_gt_eval_queries,pca_sample_size,pca_sample_dim_for_90pct,pca_sample_var@64,cluster_size_entropy_norm_mean,nearest_cluster_hit@1_mean,nearest_cluster_hit@3_mean,nearest_cluster_hit@5_mean,gt_cluster_concentration_mean_mean,gt_cluster_span_mean_mean,context_gt_recall@10,context_recall_retention@10,dense_hit@10,task29_hit@10,task29_hit_delta_pp,task29_token_ratio,task29_token_saving_pct,task29_hit_per_1k_context_tokens,cluster_size_entropy_norm_std,cluster_size_max_mean,cluster_size_max_std,cluster_size_min_mean,cluster_size_min_std,gt_cluster_concentration_mean_std,gt_cluster_span_mean_std,n_effective_clusters_mean,n_effective_clusters_std,nearest_cluster_hit@1_std,nearest_cluster_hit@3_std,nearest_cluster_hit@5_std,pca_sample_dim_for_80pct,pca_sample_dim_for_95pct,pca_sample_participation_ratio_dim,pca_sample_spectral_entropy_dim
20k_q200,lotte_science_search_20k_q200,20490,200,200,20490,180,0.6377112997409206,0.9929855547137055,0.7366666666666667,0.9083333333333333,0.95,0.8351765873015873,1.6233333333333333,0.8,0.893854748603352,0.895,0.9266666666666667,3.166666666666673,0.8619910730482059,13.800892695179416,0.0,0.001661035863193418,1063.6666666666667,110.61796116966418,424.6666666666667,2.0816659994661326,0.02030021172676344,0.0689806736219163,32.0,0.0,0.057518113089124655,0.020207259421636918,0.013228756555322964,120,228,97.62840423433173,168.62100322027672
100k,lotte_science_search_100k,101187,596,596,50000,177,0.6459377935561323,0.9937175142157755,0.634228187919463,0.8573825503355704,0.9133109619686801,0.7863495533797548,1.7052572706935123,0.7701342281879194,0.862781954887218,0.8926174496644296,0.9077181208053692,1.5100671140939603,0.8090932409085609,19.090675909143904,0.0,0.0004194889682605588,4778.0,255.34094853744082,1899.3333333333333,288.20883632070223,0.006401820345510565,0.043570350567253495,32.0,0.0,0.014913077881401988,0.008878360104243558,0.005393540694067667,116,226,96.59118990839976,166.19666960807604
