calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,fold,hit@10,hit_delta_pp,method,saving_pct,scale,seed,selected_policy,test_queries
False,-0.42016806722688926,476,7.937385395957412,0,0.8166666666666667,0.0,intentroute,0.0,100k,13,dense_top10_fallback,120
False,-0.42016806722688926,476,7.937385395957412,0,0.8166666666666667,0.0,intentroute,0.0,100k,17,dense_top10_fallback,120
False,-0.42016806722688926,476,7.937385395957412,0,0.8166666666666667,0.0,intentroute,0.0,100k,19,dense_top10_fallback,120
False,-1.2605042016806678,476,10.305801836317363,0,0.8166666666666667,0.0,dense,0.0,100k,,dense_top10_fallback,120
False,-0.13976240391334976,477,7.684915878856406,1,0.9159663865546218,0.0,intentroute,0.0,100k,13,dense_top10_fallback,119
False,-0.13976240391334976,477,7.684915878856406,1,0.9159663865546218,0.0,intentroute,0.0,100k,17,dense_top10_fallback,119
False,-0.13976240391334976,477,7.684915878856406,1,0.9159663865546218,0.0,intentroute,0.0,100k,19,dense_top10_fallback,119
False,-0.8385744234800874,477,14.487427162355305,1,0.9159663865546218,0.0,dense,0.0,100k,,dense_top10_fallback,119
False,-0.5590496156533915,477,7.822910383698333,2,0.8151260504201681,0.0,intentroute,0.0,100k,13,dense_top10_fallback,119
False,-0.5590496156533915,477,7.822910383698333,2,0.8151260504201681,0.0,intentroute,0.0,100k,17,dense_top10_fallback,119
False,-0.5590496156533915,477,7.822910383698333,2,0.8151260504201681,0.0,intentroute,0.0,100k,19,dense_top10_fallback,119
False,-1.048218029350112,477,10.574244712229863,2,0.8151260504201681,0.0,dense,0.0,100k,,dense_top10_fallback,119
True,3.700743415417188e-15,477,10.238527213740522,3,0.907563025210084,-2.5210084033613467,intentroute,11.32592277417297,100k,13,token_budget_r0.92_m4,119
True,3.700743415417188e-15,477,10.238527213740522,3,0.8907563025210085,-4.201680672268903,intentroute,13.201255185618542,100k,17,token_budget_r0.92_m4,119
True,3.700743415417188e-15,477,10.238527213740522,3,0.9243697478991597,-0.8403361344537785,intentroute,11.61418997978938,100k,19,token_budget_r0.92_m4,119
False,-0.8385744234800763,477,10.371952784751205,3,0.9327731092436975,0.0,dense,0.0,100k,,dense_top10_fallback,119
True,0.06988120195667857,477,10.993863670993036,4,0.8067226890756303,-5.042016806722682,intentroute,8.830881738672225,100k,13,token_budget_r0.92_m4,119
True,0.06988120195667857,477,10.993863670993036,4,0.8319327731092437,-2.5210084033613356,intentroute,10.984300797491198,100k,17,token_budget_r0.92_m4,119
True,0.06988120195667857,477,10.993863670993036,4,0.8487394957983193,-0.8403361344537785,intentroute,6.943507290521989,100k,19,token_budget_r0.92_m4,119
False,-1.0482180293501009,477,15.40190877231865,4,0.8571428571428571,0.0,dense,0.0,100k,,dense_top10_fallback,119
True,1.3305322128851529,476,15.273197808662186,0,0.75,0.8333333333333304,intentroute,18.73023297251548,200k,13,token_budget_r0.85_m4,120
True,1.3305322128851529,476,15.273197808662186,0,0.775,3.3333333333333326,intentroute,19.79709563900396,200k,17,token_budget_r0.85_m4,120
True,1.3305322128851529,476,15.273197808662186,0,0.75,0.8333333333333304,intentroute,18.795380640563042,200k,19,token_budget_r0.85_m4,120
False,-0.6302521008403339,476,10.925758986119638,0,0.7416666666666667,0.0,dense,0.0,200k,,dense_top10_fallback,120
True,1.5373864430468211,477,16.804374363164953,1,0.8907563025210085,3.3613445378151363,intentroute,12.292836720871259,200k,13,token_budget_r0.85_m4,119
True,1.5373864430468211,477,16.804374363164953,1,0.8235294117647058,-3.361344537815125,intentroute,13.628271906111955,200k,17,token_budget_r0.85_m4,119
True,1.5373864430468211,477,16.804374363164953,1,0.8823529411764706,2.5210084033613467,intentroute,13.176933174295868,200k,19,token_budget_r0.85_m4,119
False,-0.6289308176100628,477,11.311919822558124,1,0.8571428571428571,0.0,dense,0.0,200k,,dense_top10_fallback,119
True,1.187980433263447,477,16.18247951404303,2,0.8151260504201681,2.5210084033613467,intentroute,15.392964683364074,200k,13,token_budget_r0.85_m4,119
True,1.187980433263447,477,16.18247951404303,2,0.8067226890756303,1.6806722689075682,intentroute,15.720921547116085,200k,17,token_budget_r0.85_m4,119
True,1.187980433263447,477,16.18247951404303,2,0.8151260504201681,2.5210084033613467,intentroute,15.788030158026201,200k,19,token_budget_r0.85_m4,119
False,-0.8385744234800874,477,11.028470958925585,2,0.7899159663865546,0.0,dense,0.0,200k,,dense_top10_fallback,119
True,1.956673654786863,477,15.824289892902693,3,0.8571428571428571,0.8403361344537785,intentroute,17.64909675822817,200k,13,token_budget_r0.85_m4,119
True,1.956673654786863,477,15.824289892902693,3,0.8403361344537815,-0.8403361344537785,intentroute,17.116225356759884,200k,17,token_budget_r0.85_m4,119
True,1.956673654786863,477,15.824289892902693,3,0.8235294117647058,-2.5210084033613467,intentroute,16.24295416426078,200k,19,token_budget_r0.85_m4,119
False,-0.6289308176100628,477,10.646634838470181,3,0.8487394957983193,0.0,dense,0.0,200k,,dense_top10_fallback,119
True,0.9783368273934334,477,16.26107596595192,4,0.7815126050420168,3.361344537815125,intentroute,12.200422202905747,200k,13,token_budget_r0.85_m4,119
True,0.9783368273934334,477,16.26107596595192,4,0.7815126050420168,3.361344537815125,intentroute,17.086799950329056,200k,17,token_budget_r0.85_m4,119
True,0.9783368273934334,477,16.26107596595192,4,0.773109243697479,2.5210084033613467,intentroute,16.485160809636156,200k,19,token_budget_r0.85_m4,119
False,-0.6289308176100628,477,11.263682075587667,4,0.7478991596638656,0.0,dense,0.0,200k,,dense_top10_fallback,119
True,0.0,476,8.872428719756968,0,0.7416666666666667,4.166666666666674,intentroute,9.32017716690573,400k,13,token_budget_r0.95_m7,120
True,0.0,476,8.872428719756968,0,0.7583333333333333,5.833333333333335,intentroute,12.516221910481317,400k,17,token_budget_r0.95_m7,120
True,0.0,476,8.872428719756968,0,0.7333333333333333,3.3333333333333326,intentroute,9.763094431221731,400k,19,token_budget_r0.95_m7,120
False,-0.21008403361344463,476,11.323131170459423,0,0.7,0.0,dense,0.0,400k,,dense_top10_fallback,120
True,-3.700743415417188e-15,477,16.662793203551196,1,0.8235294117647058,-1.6806722689075682,intentroute,16.768593183508084,400k,13,token_budget_r0.85_m7,119
True,-3.700743415417188e-15,477,16.662793203551196,1,0.8487394957983193,0.8403361344537785,intentroute,17.230865001642737,400k,17,token_budget_r0.85_m7,119
True,-3.700743415417188e-15,477,16.662793203551196,1,0.8151260504201681,-2.5210084033613467,intentroute,14.955242635064636,400k,19,token_budget_r0.85_m7,119
False,-0.6289308176100739,477,11.494325728668853,1,0.8403361344537815,0.0,dense,0.0,400k,,dense_top10_fallback,119
True,0.06988120195667488,477,17.747081920450103,2,0.7478991596638656,-3.361344537815125,intentroute,20.224486510108797,400k,13,token_budget_r0.85_m4,119
True,0.06988120195667488,477,17.747081920450103,2,0.7563025210084033,-2.5210084033613467,intentroute,20.011155323504394,400k,17,token_budget_r0.85_m4,119
True,0.06988120195667488,477,17.747081920450103,2,0.7310924369747899,-5.042016806722693,intentroute,20.290613427789406,400k,19,token_budget_r0.85_m4,119
False,-0.6289308176100628,477,11.590293456906009,2,0.7815126050420168,0.0,dense,0.0,400k,,dense_top10_fallback,119
True,-3.700743415417188e-15,477,18.545762146448403,3,0.7899159663865546,-5.042016806722693,intentroute,15.548913043478251,400k,13,token_budget_r0.85_m5,119
True,-3.700743415417188e-15,477,18.545762146448403,3,0.8319327731092437,-0.8403361344537785,intentroute,17.16847826086957,400k,17,token_budget_r0.85_m5,119
