method_label,seed,num_queries,hit@10,evidence_recall@10,mrr@10,ndcg@10,avg_context_tokens@10,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_chunks@50,avg_context_tokens@1,avg_context_tokens@5,avg_context_tokens@50,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,avg_missing_chunks@50,context_token_ratio_vs_bge@10,context_token_ratio_vs_minilm@10,context_token_saving_percent_vs_bge@10,context_token_saving_percent_vs_minilm@10,evidence_recall@1,evidence_recall@5,evidence_recall@50,hit@1,hit@5,hit@50,hit_delta_vs_bge@10,hit_delta_vs_minilm@10,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,max_context_tokens@50,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,median_context_tokens@50,method,mrr@1,mrr@5,mrr@50,ndcg@1,ndcg@5,ndcg@50,num_skipped_no_gt,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,p95_context_tokens@50,recall@1,recall@10,recall@5,recall@50,run_id,source_label
minilm_dense,,417,0.8705035971223022,0.7081237279172036,0.6989018309162194,0.6474609527788745,1470.1199040767385,1.0,10.0,5.0,10.0,163.81534772182255,782.6354916067146,1470.1199040767385,0.0,0.0,0.0,0.0,0.8606981449163857,1.0,13.930185508361426,0.0,0.27574778809584055,0.6149272625488204,0.7081237279172036,0.6139088729016786,0.8105515587529976,0.8705035971223022,-0.02877697841726612,0.0,1422.0,7585.0,4718.0,7585.0,108.0,1318.0,679.0,1318.0,minilm_dense,0.6139088729016786,0.690767386091127,0.6989018309162194,0.6139088729016786,0.623847826353136,0.6382920570610916,0,517.3999999999999,2741.2,1747.3999999999999,2741.2,0.6139088729016786,0.8705035971223022,0.8105515587529976,0.8705035971223022,minilm_dense_top10,minilm_dense
bge_base_dense,,417,0.8992805755395683,0.7441426184324971,0.7772543869666169,0.7089241139952841,1708.0551558752998,1.0,10.0,5.0,50.0,196.82494004796163,917.043165467626,8128.237410071943,0.0,0.0,0.0,0.0,1.0,1.1618475140284485,0.0,-16.184751402844853,0.3328772360526266,0.662688014985832,0.8451927441477181,0.709832134292566,0.8609112709832134,0.9496402877697842,0.0,0.02877697841726612,1221.0,14642.0,8741.0,23588.0,135.0,1533.0,798.0,7914.0,bge_base_dense,0.709832134292566,0.7717026378896882,0.7795975000376364,0.709832134292566,0.6909073595829758,0.7382779347824631,0,561.4,3005.8,1897.1999999999998,12147.800000000001,0.709832134292566,0.8992805755395683,0.8609112709832134,0.9496402877697842,bge_base_top50,bge_base_dense
intentweight_target,13,417,0.86810551558753,0.6824474843173677,0.7081810741882681,0.6296322387912997,1375.6450839328538,1.0,8.908872901678658,5.0,8.908872901678658,180.90407673860912,837.0479616306955,1375.6450839328538,0.0,0.0,0.0,0.0,0.8053868045191427,0.9357366566618819,19.461319548085733,6.426334333811812,0.28339785851569516,0.6016340875649978,0.6824474843173677,0.6282973621103117,0.8201438848920863,0.86810551558753,-0.031175059952038287,-0.0023980815347721673,1523.0,12046.0,6240.0,12046.0,123.0,1254.0,733.0,1254.0,intentweight_target,0.6282973621103117,0.7016386890487608,0.7081810741882681,0.6282973621103117,0.6135239876852729,0.6222502260924813,0,531.2,2486.3999999999996,1757.3999999999996,2486.3999999999996,0.6282973621103117,0.86810551558753,0.8201438848920863,0.86810551558753,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,intentweight_target
intentweight_target,17,417,0.8657074340527577,0.6766259510677767,0.7078917818126449,0.6280985518662682,1365.1966426858514,1.0,8.88968824940048,5.0,8.88968824940048,171.5611510791367,827.0071942446043,1365.1966426858514,0.0,0.0,0.0,0.0,0.7992696476983795,0.9286294532167559,20.073035230162052,7.1370546783244055,0.28581592406325707,0.604265791725479,0.6766259510677767,0.6282973621103117,0.8249400479616307,0.8657074340527577,-0.033573141486810565,-0.004796163069544446,1167.0,12779.0,7712.0,12779.0,116.0,1216.0,690.0,1216.0,intentweight_target,0.6282973621103117,0.7017585931254995,0.7078917818126449,0.6282973621103117,0.6140147122186009,0.6200117310812763,0,542.9999999999998,2555.3999999999996,1782.3999999999992,2555.3999999999996,0.6282973621103117,0.8657074340527577,0.8249400479616307,0.8657074340527577,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,intentweight_target
intentweight_target,19,417,0.8776978417266187,0.6870552266948943,0.7244423508811995,0.636580608976689,1396.9016786570744,1.0,8.90167865707434,5.0,8.90167865707434,185.25419664268586,845.9904076738609,1396.9016786570744,0.0,0.0,0.0,0.0,0.817831715710156,0.9501957457914656,18.2168284289844,4.98042542085344,0.2889733980840405,0.600219029135551,0.6870552266948943,0.6498800959232613,0.8225419664268585,0.8776978417266187,-0.021582733812949617,0.007194244604316502,1508.0,13322.0,7410.0,13322.0,123.0,1291.0,711.0,1291.0,intentweight_target,0.6498800959232613,0.7165867306155075,0.7244423508811995,0.6498800959232613,0.617866746635495,0.6288292807654499,0,524.5999999999999,2588.7999999999993,1797.5999999999995,2588.7999999999993,0.6498800959232613,0.8776978417266187,0.8225419664268585,0.8776978417266187,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,intentweight_target
