run_id,source_label,method,seed,policy,num_queries,num_skipped_no_gt,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,context_token_delta_vs_baseline@1,context_token_delta_vs_baseline@10,context_token_delta_vs_baseline@5,context_token_ratio_vs_baseline@1,context_token_ratio_vs_baseline@10,context_token_ratio_vs_baseline@5,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@10,hit@5,hit_delta_vs_baseline@1,hit_delta_vs_baseline@10,hit_delta_vs_baseline@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,recall@1,recall@10,recall@5
dense:fixed_top5,dense,dense,,fixed_top5,596,0,1.0,5.0,5.0,150.01677852348993,742.2986577181208,742.2986577181208,0.0,0.0,0.0,0.0,-701.8255033557047,0.0,1.0,0.5140130452260839,1.0,0.25038210025336854,0.5219177404854909,0.5219177404854909,0.5503355704697986,0.7298657718120806,0.7298657718120806,0.0,-0.06711409395973156,0.0,1520.0,4371.0,4371.0,100.5,615.0,615.0,0.5503355704697986,0.6188199105145413,0.6188199105145413,0.5503355704697986,0.513724686955539,0.5381092479044733,441.25,1736.0,1736.0,0.5503355704697986,0.7298657718120806,0.7298657718120806
dense:fixed_top6,dense,dense,,fixed_top6,596,0,1.0,6.0,5.0,150.01677852348993,878.8255033557047,742.2986577181208,0.0,0.0,0.0,0.0,-565.2986577181208,0.0,1.0,0.6085525933602727,1.0,0.25038210025336854,0.545872879370623,0.5219177404854909,0.5503355704697986,0.7483221476510067,0.7298657718120806,0.0,-0.04865771812080544,0.0,1520.0,4390.0,4371.0,100.5,727.0,615.0,0.5503355704697986,0.6218959731543624,0.6188199105145413,0.5503355704697986,0.5279602242985174,0.5381092479044733,441.25,1989.75,1736.0,0.5503355704697986,0.7483221476510067,0.7298657718120806
dense:fixed_top7,dense,dense,,fixed_top7,596,0,1.0,7.0,5.0,150.01677852348993,1014.1426174496644,742.2986577181208,0.0,0.0,0.0,0.0,-429.9815436241611,0.0,1.0,0.702254449295804,1.0,0.25038210025336854,0.5670252724370696,0.5219177404854909,0.5503355704697986,0.761744966442953,0.7298657718120806,0.0,-0.03523489932885915,0.0,1520.0,4429.0,4371.0,100.5,870.0,615.0,0.5503355704697986,0.6238135186960689,0.6188199105145413,0.5503355704697986,0.5390088390857801,0.5381092479044733,441.25,2176.25,1736.0,0.5503355704697986,0.761744966442953,0.7298657718120806
dense:fixed_top8,dense,dense,,fixed_top8,596,0,1.0,8.0,5.0,150.01677852348993,1156.2986577181207,742.2986577181208,0.0,0.0,0.0,0.0,-287.82550335570477,0.0,1.0,0.8006919964958673,1.0,0.25038210025336854,0.5838515362822528,0.5219177404854909,0.5503355704697986,0.7768456375838926,0.7298657718120806,0.0,-0.020134228187919545,0.0,1520.0,4639.0,4371.0,100.5,1010.0,615.0,0.5503355704697986,0.6257011025886864,0.6188199105145413,0.5503355704697986,0.5477870235992119,0.5381092479044733,441.25,2382.0,1736.0,0.5503355704697986,0.7768456375838926,0.7298657718120806
dense:token_budget_r0.95_m5,dense,dense,,token_budget_r0.95_m5,596,0,1.0,8.907718120805368,5.0,150.01677852348993,1253.5536912751677,742.2986577181208,0.0,0.0,0.0,0.0,-190.57046979865777,0.0,1.0,0.8680373371379972,1.0,0.25038210025336854,0.602041388068205,0.5219177404854909,0.5503355704697986,0.785234899328859,0.7298657718120806,0.0,-0.011744966442953086,0.0,1520.0,4659.0,4371.0,100.5,1091.0,615.0,0.5503355704697986,0.6266099392777245,0.6188199105145413,0.5503355704697986,0.5559061695135925,0.5381092479044733,441.25,2542.0,1736.0,0.5503355704697986,0.785234899328859,0.7298657718120806
dense:fixed_top9,dense,dense,,fixed_top9,596,0,1.0,9.0,5.0,150.01677852348993,1298.3087248322147,742.2986577181208,0.0,0.0,0.0,0.0,-145.81543624161077,0.0,1.0,0.899028462945191,1.0,0.25038210025336854,0.607219759752449,0.5219177404854909,0.5503355704697986,0.790268456375839,0.7298657718120806,0.0,-0.006711409395973145,0.0,1520.0,4883.0,4371.0,100.5,1141.0,615.0,0.5503355704697986,0.6271925268989027,0.6188199105145413,0.5503355704697986,0.5580990738731229,0.5381092479044733,441.25,2631.0,1736.0,0.5503355704697986,0.790268456375839,0.7298657718120806
dense,dense,dense,,,596,0,1.0,10.0,5.0,150.01677852348993,1444.1241610738255,742.2986577181208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25038210025336854,0.6202145339649683,0.5219177404854909,0.5503355704697986,0.7969798657718121,0.7298657718120806,0.0,0.0,0.0,1520.0,5025.0,4371.0,100.5,1266.0,615.0,0.5503355704697986,0.6278636678385,0.6188199105145413,0.5503355704697986,0.5643164326791772,0.5381092479044733,441.25,2827.75,1736.0,0.5503355704697986,0.7969798657718121,0.7298657718120806
dense:fixed_top10,dense,dense,,fixed_top10,596,0,1.0,10.0,5.0,150.01677852348993,1444.1241610738255,742.2986577181208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25038210025336854,0.6202145339649683,0.5219177404854909,0.5503355704697986,0.7969798657718121,0.7298657718120806,0.0,0.0,0.0,1520.0,5025.0,4371.0,100.5,1266.0,615.0,0.5503355704697986,0.6278636678385,0.6188199105145413,0.5503355704697986,0.5643164326791772,0.5381092479044733,441.25,2827.75,1736.0,0.5503355704697986,0.7969798657718121,0.7298657718120806
