run_id,source_label,method,seed,policy,num_queries,num_skipped_no_gt,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,context_token_delta_vs_baseline@1,context_token_delta_vs_baseline@10,context_token_delta_vs_baseline@5,context_token_ratio_vs_baseline@1,context_token_ratio_vs_baseline@10,context_token_ratio_vs_baseline@5,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@10,hit@5,hit_delta_vs_baseline@1,hit_delta_vs_baseline@10,hit_delta_vs_baseline@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,recall@1,recall@10,recall@5
dense:token_budget_r0.75_m5,dense,dense,,token_budget_r0.75_m5,596,0,1.0,7.503355704697986,5.0,161.64093959731542,1025.6879194630872,770.5184563758389,0.0,0.0,0.0,0.0,-446.69966442953023,0.0,1.0,0.6966154365085243,1.0,0.291594348575516,0.6537944722291521,0.611129549370119,0.6308724832214765,0.8355704697986577,0.8104026845637584,0.0,-0.03187919463087252,0.0,1520.0,4718.0,4718.0,104.0,918.0,656.0,0.6308724832214765,0.704256551613934,0.7003914988814316,0.6308724832214765,0.6236030098805866,0.6265869854600753,501.25,2029.5,1773.5,0.6308724832214765,0.8355704697986577,0.8104026845637584
dense:token_budget_r0.75_m6,dense,dense,,token_budget_r0.75_m6,596,0,1.0,7.471476510067114,5.0,161.64093959731542,1050.9328859060402,770.5184563758389,0.0,0.0,0.0,0.0,-421.45469798657723,0.0,1.0,0.7137610350717856,1.0,0.291594348575516,0.6558325301816398,0.611129549370119,0.6308724832214765,0.837248322147651,0.8104026845637584,0.0,-0.030201342281879207,0.0,1520.0,6460.0,4718.0,104.0,930.0,656.0,0.6308724832214765,0.7045361936720996,0.7003914988814316,0.6308724832214765,0.6246576950734691,0.6265869854600753,501.25,2137.25,1773.5,0.6308724832214765,0.837248322147651,0.8104026845637584
dense:token_budget_r0.80_m5,dense,dense,,token_budget_r0.80_m5,596,0,1.0,7.902684563758389,5.0,161.64093959731542,1079.8808724832215,770.5184563758389,0.0,0.0,0.0,0.0,-392.50671140939585,0.0,1.0,0.7334216101091343,1.0,0.291594348575516,0.6616460804778038,0.611129549370119,0.6308724832214765,0.8406040268456376,0.8104026845637584,0.0,-0.02684563758389258,0.0,1520.0,4718.0,4718.0,104.0,969.0,656.0,0.6308724832214765,0.7050155800575262,0.7003914988814316,0.6308724832214765,0.6281011693913279,0.6265869854600753,501.25,2116.0,1773.5,0.6308724832214765,0.8406040268456376,0.8104026845637584
dense:token_budget_r0.80_m6,dense,dense,,token_budget_r0.80_m6,596,0,1.0,7.848993288590604,5.0,161.64093959731542,1095.2046979865772,770.5184563758389,0.0,0.0,0.0,0.0,-377.18288590604016,0.0,1.0,0.7438290773215672,1.0,0.291594348575516,0.6623451856232178,0.611129549370119,0.6308724832214765,0.8406040268456376,0.8104026845637584,0.0,-0.02684563758389258,0.0,1520.0,6460.0,4718.0,104.0,979.5,656.0,0.6308724832214765,0.7050155800575262,0.7003914988814316,0.6308724832214765,0.6284418495875903,0.6265869854600753,501.25,2179.5,1773.5,0.6308724832214765,0.8406040268456376,0.8104026845637584
dense:token_budget_r0.75_m7,dense,dense,,token_budget_r0.75_m7,596,0,1.0,7.577181208053691,5.0,161.64093959731542,1106.1543624161075,770.5184563758389,0.0,0.0,0.0,0.0,-366.2332214765099,0.0,1.0,0.7512657499404588,1.0,0.291594348575516,0.6657348552056089,0.611129549370119,0.6308724832214765,0.8456375838926175,0.8104026845637584,0.0,-0.021812080536912748,0.0,1520.0,7492.0,4718.0,104.0,979.0,656.0,0.6308724832214765,0.7057346596356663,0.7003914988814316,0.6308724832214765,0.6292744979431939,0.6265869854600753,501.25,2273.75,1773.5,0.6308724832214765,0.8456375838926175,0.8104026845637584
dense:token_budget_r0.80_m7,dense,dense,,token_budget_r0.80_m7,596,0,1.0,7.843959731543624,5.0,161.64093959731542,1133.4781879194632,770.5184563758389,0.0,0.0,0.0,0.0,-338.90939597315423,0.0,1.0,0.7698232451287288,1.0,0.291594348575516,0.670000788750066,0.611129549370119,0.6308724832214765,0.8456375838926175,0.8104026845637584,0.0,-0.021812080536912748,0.0,1520.0,7492.0,4718.0,104.0,1005.0,656.0,0.6308724832214765,0.7057346596356663,0.7003914988814316,0.6308724832214765,0.6315402570728526,0.6265869854600753,501.25,2288.0,1773.5,0.6308724832214765,0.8456375838926175,0.8104026845637584
dense:token_budget_r0.85_m5,dense,dense,,token_budget_r0.85_m5,596,0,1.0,8.276845637583893,5.0,161.64093959731542,1137.1761744966443,770.5184563758389,0.0,0.0,0.0,0.0,-335.2114093959731,0.0,1.0,0.7723348029669201,1.0,0.291594348575516,0.6722377352808679,0.611129549370119,0.6308724832214765,0.8506711409395973,0.8104026845637584,0.0,-0.016778523489932917,0.0,1520.0,4718.0,4718.0,104.0,1013.0,656.0,0.6308724832214765,0.7062107169489719,0.7003914988814316,0.6308724832214765,0.6330912150659975,0.6265869854600753,501.25,2179.5,1773.5,0.6308724832214765,0.8506711409395973,0.8104026845637584
dense:token_budget_r0.85_m6,dense,dense,,token_budget_r0.85_m6,596,0,1.0,8.233221476510067,5.0,161.64093959731542,1146.9043624161075,770.5184563758389,0.0,0.0,0.0,0.0,-325.4832214765099,0.0,1.0,0.7789418866084056,1.0,0.291594348575516,0.6720979142517852,0.611129549370119,0.6308724832214765,0.8506711409395973,0.8104026845637584,0.0,-0.016778523489932917,0.0,1520.0,6460.0,4718.0,104.0,1020.0,656.0,0.6308724832214765,0.7062107169489719,0.7003914988814316,0.6308724832214765,0.6330748946797025,0.6265869854600753,501.25,2211.5,1773.5,0.6308724832214765,0.8506711409395973,0.8104026845637584
dense:token_budget_r0.85_m7,dense,dense,,token_budget_r0.85_m7,596,0,1.0,8.169463087248323,5.0,161.64093959731542,1169.0268456375838,770.5184563758389,0.0,0.0,0.0,0.0,-303.36073825503354,0.0,1.0,0.7939667913709072,1.0,0.291594348575516,0.6758231459552049,0.611129549370119,0.6308724832214765,0.8540268456375839,0.8104026845637584,0.0,-0.01342281879194629,0.0,1520.0,7492.0,4718.0,104.0,1027.5,656.0,0.6308724832214765,0.7066901033343984,0.7003914988814316,0.6308724832214765,0.634406057673198,0.6265869854600753,501.25,2358.0,1773.5,0.6308724832214765,0.8540268456375839,0.8104026845637584
dense:token_budget_r0.75_m8,dense,dense,,token_budget_r0.75_m8,596,0,1.0,8.093959731543624,5.0,161.64093959731542,1201.9211409395973,770.5184563758389,0.0,0.0,0.0,0.0,-270.4664429530201,0.0,1.0,0.8163075769506452,1.0,0.291594348575516,0.6758318015427198,0.611129549370119,0.6308724832214765,0.8489932885906041,0.8104026845637584,0.0,-0.01845637583892612,0.0,1520.0,7551.0,4718.0,104.0,1047.0,656.0,0.6308724832214765,0.7061541227229146,0.7003914988814316,0.6308724832214765,0.6348826156519801,0.6265869854600753,501.25,2383.5,1773.5,0.6308724832214765,0.8489932885906041,0.8104026845637584
dense:token_budget_r0.90_m5,dense,dense,,token_budget_r0.90_m5,596,0,1.0,8.590604026845638,5.0,161.64093959731542,1211.0302013422818,770.5184563758389,0.0,0.0,0.0,0.0,-261.3573825503356,0.0,1.0,0.8224941683769342,1.0,0.291594348575516,0.6811266218738455,0.611129549370119,0.6308724832214765,0.8540268456375839,0.8104026845637584,0.0,-0.01342281879194629,0.0,1520.0,6553.0,4718.0,104.0,1092.0,656.0,0.6308724832214765,0.7066901033343984,0.7003914988814316,0.6308724832214765,0.6378415547527225,0.6265869854600753,501.25,2372.25,1773.5,0.6308724832214765,0.8540268456375839,0.8104026845637584
dense:token_budget_r0.90_m6,dense,dense,,token_budget_r0.90_m6,596,0,1.0,8.585570469798657,5.0,161.64093959731542,1211.6996644295302,770.5184563758389,0.0,0.0,0.0,0.0,-260.68791946308716,0.0,1.0,0.8229488469510896,1.0,0.291594348575516,0.6811266218738455,0.611129549370119,0.6308724832214765,0.8540268456375839,0.8104026845637584,0.0,-0.01342281879194629,0.0,1520.0,6553.0,4718.0,104.0,1092.0,656.0,0.6308724832214765,0.7066901033343984,0.7003914988814316,0.6308724832214765,0.6378415547527225,0.6265869854600753,501.25,2391.0,1773.5,0.6308724832214765,0.8540268456375839,0.8104026845637584
dense:token_budget_r0.80_m8,dense,dense,,token_budget_r0.80_m8,596,0,1.0,8.181208053691275,5.0,161.64093959731542,1211.8724832214766,770.5184563758389,0.0,0.0,0.0,0.0,-260.5151006711408,0.0,1.0,0.823066220116849,1.0,0.291594348575516,0.6765076031832864,0.611129549370119,0.6308724832214765,0.8489932885906041,0.8104026845637584,0.0,-0.01845637583892612,0.0,1520.0,7551.0,4718.0,104.0,1058.0,656.0,0.6308724832214765,0.7061541227229146,0.7003914988814316,0.6308724832214765,0.6353589731781781,0.6265869854600753,501.25,2407.0,1773.5,0.6308724832214765,0.8489932885906041,0.8104026845637584
