backbone,embedding_model,route_mode,selected_policy,calibration_eligible,num_seeds,baseline_hit@10_mean,method_hit@10_mean,hit_delta_mean,hit_delta_min,hit_delta_max,token_saving_percent_mean,token_saving_percent_min,token_saving_percent_max,noninferior_seed_count,min_hit_delta_ci_low,max_hit_delta_ci_high
BGE-base,BAAI/bge-base-en-v1.5,full_multi_route,token_budget_r0.92_m4,True,3,0.8992805755395683,0.8984812150279776,-0.0007993605115907274,-0.004796163069544364,0.002398081534772182,11.985246939666611,11.502838152975258,12.426799801757504,0,-0.02158273381294964,0.016786570743405275
BGE-base,BAAI/bge-base-en-v1.5,gated_cost_aware,token_budget_r0.88_m4,False,3,0.8992805755395683,0.8745003996802558,-0.02478017585931255,-0.02877697841726619,-0.019184652278177457,16.211658961136326,15.24431421715976,16.717795071736553,0,-0.050359712230215826,0.002398081534772182
E5-base,intfloat/e5-base-v2,full_multi_route,token_budget_r0.88_m7,True,3,0.8752997601918465,0.8689048760991207,-0.006394884092725819,-0.007194244604316547,-0.004796163069544364,12.199922898674606,11.579655306792036,12.76697381488139,0,-0.023980815347721823,0.009592326139088728
E5-base,intfloat/e5-base-v2,gated_cost_aware,token_budget_r0.95_m4,False,3,0.8752997601918465,0.8409272581934453,-0.03437250199840128,-0.0407673860911271,-0.023980815347721823,6.831324089554858,5.268450891903099,8.105224452852944,0,-0.06474820143884892,-0.002398081534772182
MiniLM,sentence-transformers/all-MiniLM-L6-v2,gated_cost_aware,token_budget_r0.95_m4,True,3,0.8705035971223022,0.8705035971223022,2.8912057932946783e-19,-0.004796163069544364,0.007194244604316547,6.181271477663219,4.98042542085344,7.1370546783244055,0,-0.023980815347721823,0.03117505995203837
