run_id,source_label,method,seed,num_queries,num_skipped_no_gt,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,context_token_delta_vs_baseline@1,context_token_delta_vs_baseline@10,context_token_delta_vs_baseline@5,context_token_ratio_vs_baseline@1,context_token_ratio_vs_baseline@10,context_token_ratio_vs_baseline@5,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@10,hit@5,hit_delta_vs_baseline@1,hit_delta_vs_baseline@10,hit_delta_vs_baseline@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,recall@1,recall@10,recall@5
dense,dense,dense,,596,0,1.0,10.0,5.0,161.64093959731542,1472.3875838926174,770.5184563758389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.291594348575516,0.7025930894139937,0.611129549370119,0.6308724832214765,0.8674496644295302,0.8104026845637584,0.0,0.0,0.0,1520.0,7585.0,4718.0,104.0,1312.0,656.0,0.6308724832214765,0.7080929743261957,0.7003914988814316,0.6308724832214765,0.6486573605022944,0.6265869854600753,501.25,2908.25,1773.5,0.6308724832214765,0.8674496644295302,0.8104026845637584
task19_D:gated_cost_aware:seed13,task19_D,gated_cost_aware,13,596,0,1.0,10.0,5.0,162.25838926174498,1508.5671140939598,769.1778523489933,0.0,0.0,0.0,0.6174496644295573,36.17953020134246,-1.3406040268456536,1.003819884157861,1.0245720152744653,0.9982601273003229,0.2780877060434743,0.694213096891152,0.6016680623723265,0.6073825503355704,0.8791946308724832,0.8171140939597316,-0.023489932885906062,0.011744966442952975,0.006711409395973145,1520.0,13675.0,3821.0,108.0,1340.5,674.5,0.6073825503355704,0.6967714658570362,0.6883668903803131,0.6073825503355704,0.630526705527816,0.6098989578898658,495.0,2858.25,1655.75,0.6073825503355704,0.8791946308724832,0.8171140939597316
task19_D:gated_cost_aware:seed17,task19_D,gated_cost_aware,17,596,0,1.0,10.0,5.0,162.9244966442953,1491.224832214765,774.8691275167786,0.0,0.0,0.0,1.2835570469798654,18.837248322147616,4.350671140939653,1.0079407917955532,1.0127936750677744,1.005646420413345,0.2941111270990059,0.686414252870224,0.6064115883602116,0.6359060402684564,0.8758389261744967,0.8238255033557047,0.005033557046979942,0.008389261744966459,0.01342281879194629,1520.0,8819.0,4718.0,108.0,1311.5,652.0,0.6359060402684564,0.714199824224992,0.7071308724832214,0.6359060402684564,0.636222332112984,0.6218757291613858,501.25,3033.75,1789.0,0.6359060402684564,0.8758389261744967,0.8238255033557047
task19_D:gated_cost_aware:seed19,task19_D,gated_cost_aware,19,596,0,1.0,10.0,5.0,170.48825503355704,1555.5268456375838,800.8775167785235,0.0,0.0,0.0,8.847315436241615,83.13926174496646,30.359060402684577,1.0547343727293488,1.0564656090926599,1.0394008218122113,0.28727587622013095,0.6862992788248807,0.5910519154082569,0.6325503355704698,0.8758389261744967,0.8120805369127517,0.001677852348993314,0.008389261744966459,0.001677852348993314,2133.0,14354.0,7410.0,110.0,1411.0,682.5,0.6325503355704698,0.7084059071055714,0.6998881431767338,0.6325503355704698,0.6294049956112479,0.6063972021324837,511.0,3005.0,1821.25,0.6325503355704698,0.8758389261744967,0.8120805369127517
task19_E:gated_cost_aware:seed13,task19_E,gated_cost_aware,13,596,0,1.0,10.0,5.0,160.79530201342283,1542.5570469798658,765.4848993288591,0.0,0.0,0.0,-0.8456375838925965,70.16946308724846,-5.0335570469798085,0.9947684195229298,1.047656923934212,0.9934673115156056,0.2876121813817081,0.7231893406324967,0.6070631566516491,0.6208053691275168,0.889261744966443,0.8137583892617449,-0.010067114093959662,0.021812080536912748,0.003355704697986517,1520.0,12957.0,4718.0,107.5,1378.0,663.5,0.6208053691275168,0.7062386811547885,0.6959731543624159,0.6208053691275168,0.6509479736115519,0.620148450585619,471.0,3020.0,1747.75,0.6208053691275168,0.889261744966443,0.8137583892617449
task19_E:gated_cost_aware:seed17,task19_E,gated_cost_aware,17,596,0,1.0,10.0,5.0,162.56375838926175,1565.476510067114,773.2315436241611,0.0,0.0,0.0,0.9228187919463267,93.08892617449669,2.7130872483221538,1.005709065996803,1.0632231127135652,1.0035211190930886,0.29411112709900594,0.7230873113553627,0.6111365404215731,0.6342281879194631,0.889261744966443,0.8120805369127517,0.003355704697986628,0.021812080536912748,0.001677852348993314,1520.0,14354.0,4718.0,105.5,1375.5,660.0,0.6342281879194631,0.7134461222967934,0.7029082774049216,0.6342281879194631,0.656653873728025,0.627511298245486,501.25,3003.5,1774.75,0.6342281879194631,0.889261744966443,0.8120805369127517
task19_E:gated_cost_aware:seed19,task19_E,gated_cost_aware,19,596,0,1.0,10.0,5.0,169.8204697986577,1541.4697986577182,799.0369127516778,0.0,0.0,0.0,8.179530201342288,69.08221476510084,28.518456375838923,1.0506030849716623,1.0469184985806965,1.0370120353897512,0.29384746458702127,0.7037023362447169,0.5994385138955266,0.6409395973154363,0.8808724832214765,0.8104026845637584,0.010067114093959773,0.01342281879194629,0.0,2133.0,14354.0,7410.0,108.0,1390.0,676.5,0.6409395973154363,0.7152278416959624,0.7059284116331096,0.6409395973154363,0.6447075522361548,0.6178979366546479,511.0,2850.0,1833.0,0.6409395973154363,0.8808724832214765,0.8104026845637584
task20_S:gated_cost_aware:seed13,task20_S,gated_cost_aware,13,596,0,1.0,10.0,5.0,162.31543624161074,1505.1157718120805,768.4496644295302,0.0,0.0,0.0,0.6744966442953171,32.72818791946315,-2.068791946308693,1.0041728082376633,1.0222279705951731,0.9973150650329139,0.278926632217971,0.6882007926405926,0.5995148185244518,0.610738255033557,0.8741610738255033,0.8171140939597316,-0.020134228187919434,0.006711409395973145,0.006711409395973145,2133.0,13675.0,3821.0,108.0,1338.5,679.5,0.610738255033557,0.6983754128049429,0.6906599552572705,0.610738255033557,0.6284846211024854,0.609108760124593,495.0,2858.25,1629.5,0.610738255033557,0.8741610738255033,0.8171140939597316
task20_S:gated_cost_aware:seed17,task20_S,gated_cost_aware,17,596,0,1.0,10.0,5.0,162.9244966442953,1489.96644295302,774.1342281879195,0.0,0.0,0.0,1.2835570469798654,17.578859060402692,3.6157718120805384,1.0079407917955532,1.0119390160937982,1.0046926478946234,0.2941111270990059,0.6861745596775106,0.6058523042438805,0.6359060402684564,0.8758389261744967,0.8238255033557047,0.005033557046979942,0.008389261744966459,0.01342281879194629,1520.0,8819.0,4718.0,108.0,1309.5,652.0,0.6359060402684564,0.714199824224992,0.7071308724832214,0.6359060402684564,0.6359804558994423,0.6215559941676709,501.25,3033.75,1789.0,0.6359060402684564,0.8758389261744967,0.8238255033557047
task20_S:gated_cost_aware:seed19,task20_S,gated_cost_aware,19,596,0,1.0,10.0,5.0,171.78691275167785,1553.6510067114093,799.7802013422819,0.0,0.0,0.0,10.145973154362423,81.26342281879192,29.26174496644296,1.0627685856048497,1.055191597448786,1.0379766957226133,0.2868564131328826,0.684341784417722,0.5888147789429324,0.6342281879194631,0.8741610738255033,0.8104026845637584,0.003355704697986628,0.006711409395973145,0.0,2133.0,14354.0,7410.0,111.0,1411.0,681.0,0.6342281879194631,0.7086855491637368,0.7001677852348992,0.6342281879194631,0.628026143251476,0.605078255045639,511.0,2971.75,1736.25,0.6342281879194631,0.8741610738255033,0.8104026845637584
