selector,margin_pp,split,budget_ratio,min_keep,target_coverage,eligible,final_hit@10,hit_delta_vs_dense_pp,token_saving_vs_dense_pct,actual_coverage,source_selective_risk,dense_selective_risk,hit_delta_vs_source_pp,num_seeds,token_saving_vs_source_pct
learned_confidence,0.0,calibration,0.8,4,0.6,True,0.8621973929236499,0.18621973929236665,15.206128726958363,0.6033519553072626,0.019805825242718445,0.026737967914438502,-1.1173184357541888,3,16.969193898368285
learned_confidence,0.0,test,0.8,4,0.6,True,0.8617106314948042,-0.8792965627498021,11.0499043020575,0.601119104716227,0.03209324689628953,0.0501009893533258,-1.7585931254995968,3,16.75947797587162
geometry_similarity,0.0,calibration,0.8,4,0.6,True,0.8603351955307262,3.700743415417189e-15,13.476973796138425,0.6033519553072626,0.025768523936574743,0.02304322137435158,-1.3035381750465518,3,15.274075941610036
geometry_similarity,0.0,test,0.8,4,0.6,True,0.8601119104716227,-1.0391686650679504,8.8645112880073,0.5843325339728218,0.038400696518653486,0.05693060931174442,-1.918465227817745,3,14.712410232713905
shuffled_confidence,0.0,calibration,0.8,4,0.6,True,0.8603351955307262,3.700743415417189e-15,13.752459014327508,0.6033519553072626,0.02497521543506444,0.021980676328502417,-1.3035381750465518,3,15.542451688523547
shuffled_confidence,0.0,test,0.8,4,0.6,True,0.8641087130295764,-0.6394884092725817,9.198094740963063,0.601119104716227,0.029196910572235113,0.03582699874183632,-1.5187849720223763,3,15.02390619449154
random_selector,0.0,calibration,0.75,4,0.6,True,0.8603351955307262,0.0,16.10454323769485,0.6033519553072626,0.025231599307747123,0.043999505623532324,-1.3035381750465553,3,17.843693664746922
random_selector,0.0,test,0.75,4,0.6,True,0.8633093525179856,-0.7194244604316613,11.856485710557221,0.6051159072741806,0.030179360707153817,0.041391264092627736,-1.598721023181456,3,17.502583001015427
budget_only,0.0,calibration,0.95,4,1.0,True,0.8621973929236499,0.18621973929236665,11.309386534998357,1.0,0.012779683161848767,0.02380952380952381,-1.1173184357541888,3,13.154484459212393
budget_only,0.0,test,0.95,4,1.0,True,0.8705035971223022,-3.700743415417189e-15,6.181271477663219,1.0,0.01000831551437396,0.02846648301193756,-0.8792965627497984,3,12.202146047857994
learned_confidence,1.0,calibration,0.8,4,0.8,True,0.8528864059590316,-0.7448789571694555,20.11268933307625,0.8044692737430168,0.02802158714005729,0.03374344061366962,-2.0484171322160107,3,21.77384490736747
learned_confidence,1.0,test,0.8,4,0.8,True,0.8569144684252598,-1.3589128697042392,16.686404367306103,0.8145483613109512,0.030726909834179972,0.04440869659648249,-2.238209432454034,3,22.040364538402706
geometry_similarity,1.0,calibration,0.8,4,0.9,True,0.851024208566108,-0.9310986964618221,21.97542812998971,0.9050279329608939,0.02864091705359117,0.03875439794150081,-2.2346368715083775,3,23.597025183531535
geometry_similarity,1.0,test,0.8,4,0.9,True,0.8577138289368506,-1.278976818545167,17.637783287659314,0.8928856914468425,0.027702925448668484,0.04334613566902255,-2.1582733812949617,3,22.922054483108823
shuffled_confidence,1.0,calibration,0.75,4,0.8,True,0.851024208566108,-0.9310986964618221,22.12615105814805,0.8044692737430168,0.032110282700369246,0.043471500288773376,-2.2346368715083775,3,23.74211864636055
shuffled_confidence,1.0,test,0.75,4,0.8,True,0.8593125499600319,-1.1191047162270225,18.73069729000826,0.8145483613109512,0.027958959340115205,0.041779765447860974,-1.9984012789768173,3,23.946029768417002
random_selector,1.0,calibration,0.75,4,0.8,True,0.851024208566108,-0.9310986964618221,22.76420305251737,0.8044692737430168,0.0318380376344086,0.043322404371584695,-2.2346368715083775,3,24.368473019103128
random_selector,1.0,test,0.75,4,0.8,True,0.8569144684252598,-1.3589128697042392,18.995552220627253,0.8089528377298162,0.031224802233205597,0.041871000799742306,-2.238209432454034,3,24.19204171317437
budget_only,1.0,calibration,0.85,4,1.0,True,0.8528864059590316,-0.7448789571694555,20.08748483003974,1.0,0.0234498339593881,0.03463203463203463,-2.0484171322160107,3,21.75151735366183
budget_only,1.0,test,0.85,4,1.0,True,0.8585131894484412,-1.1990407673860948,16.00113097568402,1.0,0.023644769145481904,0.03948576675849403,-2.0783373301358896,3,21.397889158171218
