baseline,evidence_recall_delta_mean_mean,evidence_recall_delta_mean_std,hit_delta_mean_mean,hit_delta_mean_std,method,mrr_delta_mean_mean,mrr_delta_mean_std,ndcg_delta_mean_mean,ndcg_delta_mean_std,seeds,significant_mcnemar_seeds
cold_no_feedback_full,-0.001119422938012385,0.0018216248354324513,-0.0011185682326621924,0.0020926495451755824,learned_full_frozen,-9.787472035794187e-05,0.00044130723828195216,0.00015516311136189084,0.0006982168710279406,13|17|19,0
dense,0.01485084149759572,0.004655755724609952,0.011744966442953019,0.006277948635526747,learned_full_frozen,0.0019650403039664787,0.0008470688361386813,0.005016902643581949,0.0014555676198804717,13|17|19,1
static_nearest_full,0.005989264079839177,0.004083402480249185,0.0027964205816554807,0.006177494976055515,learned_full_frozen,0.0002543411100458081,0.0008040149590234756,0.0016781092659378057,0.0008032155431015542,13|17|19,0
cold_no_feedback_gated,-0.09783807203964576,0.011311905218821592,-0.05369127516778524,0.008983433111973721,learned_gated_frozen,-0.030466336422712265,0.0029765489815151117,-0.06819226265117222,0.005207708332179668,13|17|19,3
dense,-0.08186780760403764,0.012034277568475771,-0.04082774049217003,0.010641106034921952,learned_gated_frozen,-0.02840342139838784,0.0033647108018385716,-0.06333052311895215,0.005613158556461575,13|17|19,3
static_nearest_gated,-0.07010306953390152,0.010127406709599312,-0.04082774049217002,0.011073260555494034,learned_gated_frozen,-0.029218600191754554,0.003105548048792817,-0.05545823882509932,0.0039020156657030344,13|17|19,3
