dataset,method,protocol,task_type,scope,query_split,corpus_scope,corpus_sampling,num_corpus_chunks,num_queries,num_skipped_no_gt,num_queries_with_gt_in_corpus,gt_query_coverage,num_seeds,n_effective_arms_mean,candidate_arms,dense_depth,bm25_depth,cluster_depth,dense_weight,bm25_weight,cluster_weight,dense_floor_k,recall@1_mean,recall@1_std,recall@5_mean,recall@5_std,recall@10_mean,recall@10_std,mrr@10_mean,mrr@10_std,ndcg@10_mean,ndcg@10_std,selected_cluster_hit_rate_mean,selected_cluster_miss_rate_mean,dense_fallback_hit_rate_mean,bm25_fallback_hit_rate_mean,cluster_local_hit_rate_mean,soft_fused_hit_rate_mean,soft_rescue_on_cluster_miss_rate_mean,avg_selected_candidate_chunks_mean,avg_union_candidate_chunks_mean,avg_feedback_reward_mean,avg_local_boost_norm_mean,cross_arm_update_weight_mean,elapsed_sec,notes
emanual,Soft-Routed Manifold LinUCB,prequential,evidence_retrieval,heldout_test,test,full,first,18812,130,2,130,1.0,3,32.0000,3,100,100,100,2.0000,0.8000,0.8000,5,0.0000,0.0000,0.0846,0.0000,0.1436,0.0096,0.0337,0.0011,0.0248,0.0010,0.2641,0.7359,0.1692,0.1154,0.0487,0.1436,0.1173,1722.3990,257.6414,0.0328,0.0092,68.2041,59.091,
pubmedqa,Soft-Routed Manifold LinUCB,prequential,evidence_retrieval,full,train,full,first,4348,1000,0,1000,1.0,3,32.0000,3,100,100,100,2.0000,0.8000,0.8000,5,0.7090,0.0000,0.9870,0.0000,0.9920,0.0008,0.8466,0.0001,0.7378,0.0011,0.6817,0.3183,0.9930,0.9770,0.6630,0.9920,0.9800,435.5110,229.1143,0.6597,0.1189,547.7427,102.647,"GT is abstract context section-level, not strict answer-supporting sentence evidence."
