seed,first_relevant_prefix_ratio_on_hits,first_relevant_rank_on_hits,maximum_safe_token_saving_on_hits,multiple_relevant_rate_on_hits,queries,relevant_chunks_top10,route_support_count_at100,safe_r0.85_m4_on_hits,safe_r0.95_m4_on_hits,source_hit,variant
13,0.2271505364190429,1.8770491803278688,0.5268983305228859,0.5983606557377049,417,2.105515587529976,2.693045563549161,0.9726775956284153,0.9890710382513661,0.8776978417266187,dynamic_gated
17,0.2149953382103793,1.8469945355191257,0.532257211161362,0.5765027322404371,417,2.1103117505995206,2.647482014388489,0.9754098360655737,0.9863387978142076,0.8776978417266187,dynamic_gated
19,0.2163333697345853,1.809782608695652,0.5322869190702327,0.5869565217391305,417,2.146282973621103,2.693045563549161,0.9809782608695652,0.9945652173913043,0.882494004796163,dynamic_gated
13,0.21381414147752156,1.9403794037940378,0.5515046383492678,0.6233062330623306,417,2.304556354916067,2.693045563549161,0.978319783197832,0.991869918699187,0.8848920863309353,fixed_full
17,0.20795722953983936,1.8961748633879782,0.5565822882725862,0.6229508196721312,417,2.306954436450839,2.647482014388489,0.9754098360655737,0.9863387978142076,0.8776978417266187,fixed_full
19,0.21477223667253623,1.9676549865229112,0.5534906077717129,0.6226415094339622,417,2.3333333333333335,2.693045563549161,0.9784366576819407,0.9892183288409704,0.8896882494004796,fixed_full
13,0.23181638457656956,1.871559633027523,0.5212917492203046,0.5626911314984709,417,1.788968824940048,2.693045563549161,0.9755351681957186,0.9908256880733946,0.7841726618705036,fixed_cluster_primary
17,0.22878660329362738,1.9743589743589745,0.5252847735001817,0.5512820512820513,417,1.724220623501199,2.647482014388489,0.967948717948718,0.9807692307692307,0.7482014388489209,fixed_cluster_primary
19,0.22291019529775855,1.845679012345679,0.5170533013645731,0.5648148148148148,417,1.8465227817745804,2.693045563549161,0.9783950617283951,1.0,0.7769784172661871,fixed_cluster_primary
13,0.22022022949078096,1.8681948424068768,0.5316890863098062,0.5873925501432665,417,2.0239808153477217,2.693045563549161,0.9770773638968482,0.9914040114613181,0.8369304556354916,shuffled_tiers
17,0.2082403193204789,1.8441176470588236,0.540036724876429,0.5970588235294118,417,2.028776978417266,2.647482014388489,0.9794117647058823,0.9852941176470589,0.815347721822542,shuffled_tiers
19,0.22709147857883252,1.9686609686609686,0.5333661159015287,0.584045584045584,417,2.115107913669065,2.693045563549161,0.9715099715099715,0.9914529914529915,0.841726618705036,shuffled_tiers
13,0.22018503531552447,1.8760330578512396,0.5275654533537965,0.6088154269972452,417,2.2661870503597124,2.693045563549161,0.977961432506887,0.9834710743801653,0.8705035971223022,dense
17,0.22018503531552447,1.8760330578512396,0.5275654533537965,0.6088154269972452,417,2.2661870503597124,2.647482014388489,0.977961432506887,0.9834710743801653,0.8705035971223022,dense
19,0.22018503531552447,1.8760330578512396,0.5275654533537965,0.6088154269972452,417,2.2661870503597124,2.693045563549161,0.977961432506887,0.9834710743801653,0.8705035971223022,dense
