calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,dense_same_action_test_hit_delta_pp,dense_same_action_test_saving_pct,is_original_split,scale,selected_policy,split_index,split_salt,test_hit_delta_max_seed_pp,test_hit_delta_mean_pp,test_hit_delta_min_seed_pp,test_point_noninferior_seeds_1pp,test_queries,test_saving_max_seed_pct,test_saving_mean_pct,test_saving_min_seed_pct
True,0.18621973929236663,179,11.309386534998357,-1.4388489208633115,13.834660054808822,True,100k,token_budget_r0.95_m4,0,task38_lotte_calibration_v1,0.7194244604316502,-3.700743415417189e-15,-0.47961630695444457,3,417,7.1370546783244055,6.181271477663219,4.98042542085344
True,3.700743415417188e-15,179,15.01433638575974,-1.1990407673860837,20.343521633598616,False,100k,token_budget_r0.88_m4,1,task65_5_calibration_sensitivity_v1_01,-1.1990407673860837,-1.51878497202238,-1.918465227817745,0,417,15.667521295217767,14.300224068856167,12.591346560553907
False,-0.9310986964618221,179,10.861861896802028,-1.1990407673860948,13.274444813797592,False,100k,token_budget_r0.95_m4,2,task65_5_calibration_sensitivity_v1_02,0.9592326139088669,0.47961630695443347,0.0,3,417,7.305769547298546,6.422603122145805,5.846035675211625
True,0.3724394785847259,179,19.206224802807245,-1.6786570743405282,23.059081829737348,False,100k,token_budget_r0.85_m4,3,task65_5_calibration_sensitivity_v1_03,-1.6786570743405282,-1.6786570743405282,-1.6786570743405282,0,417,17.622530003136504,16.34745860640177,14.988361919540417
True,0.9310986964618295,179,20.019759395927046,-1.4388489208633115,22.51620900076279,False,100k,token_budget_r0.85_m4,4,task65_5_calibration_sensitivity_v1_04,-1.6786570743405282,-1.918465227817745,-2.1582733812949617,0,417,17.297272416423382,15.999292020656346,14.871347221126275
True,0.18621973929236663,179,16.24442219076012,-1.918465227817745,24.335723733692983,False,100k,token_budget_r0.85_m4,5,task65_5_calibration_sensitivity_v1_05,-0.959232613908878,-1.598721023181456,-1.918465227817745,1,417,18.94905594314912,17.650383415030564,16.556980574214798
True,0.18621973929235924,179,6.9793674858529755,-1.1990407673860948,15.357760710868796,False,100k,token_budget_r0.95_m4,6,task65_5_calibration_sensitivity_v1_06,0.0,0.0,0.0,3,417,9.24889582050039,8.054121177966215,6.183569022686475
False,-0.9310986964618221,179,7.515116902375123,-1.4388489208633004,14.770647453773734,False,100k,token_budget_r0.95_m4,7,task65_5_calibration_sensitivity_v1_07,1.4388489208633115,0.47961630695444085,-0.23980815347721673,3,417,8.600332027576286,7.819167641213943,7.217919675496198
False,-1.3035381750465516,179,6.28099319362689,-1.4388489208633115,14.58837653906132,False,100k,token_budget_r0.95_m4,8,task65_5_calibration_sensitivity_v1_08,1.918465227817745,0.6394884092725817,0.0,3,417,9.338603279415892,8.350841821143732,6.826515897924434
False,-0.3724394785847296,179,9.30656746123821,-1.6786570743405282,13.898587134767471,False,100k,token_budget_r0.92_m8,9,task65_5_calibration_sensitivity_v1_09,0.23980815347721673,-0.319744204636289,-0.9592326139088669,3,417,10.024799864287392,9.06350219321275,7.669378226203838
