scale,metric,n_seeds,dense_baseline,mean,std,sem,ci95_low,ci95_high,ci95_half_width,min,max
100k,hit@10,3,0.8674496644295302,0.8652125279642058,0.003492728187023721,0.002016527558984339,0.8565354098778961,0.8738896460505154,0.00867711808630961,0.8624161073825504,0.8691275167785235
100k,evidence_recall@10,3,0.7025930894139937,0.6736963284001007,0.00264923334406784,0.0015295355843437,0.6671147367806698,0.6802779200195317,0.006581591619430941,0.6707647419244852,0.6759189491369543
100k,mrr@10,3,0.7080929743261957,0.7088138294094669,0.007790608635614022,0.004497909992922778,0.6894593227099202,0.7281683361090137,0.019354506699546716,0.7001657877916265,0.7152831042931715
100k,ndcg@10,3,0.6486573605022944,0.6251233038552926,0.006195196153141933,0.0035767981666990295,0.6097323413439867,0.6405142663665985,0.015390962511305924,0.6179701650853903,0.6287699423475259
100k,avg_context_tokens@10,3,1472.3875838926174,1401.2427293064877,11.490780887122213,6.634205438379017,1372.6957433051427,1429.7897153078327,28.546986001344912,1391.5939597315437,1413.9546979865772
100k,context_token_ratio_vs_baseline@10,3,1.0,0.9516806203988485,0.007804182141188355,0.004505746660019967,0.9322923925207826,0.9710688482769144,0.01938822787806592,0.9451274752348319,0.9603141954297397
100k,hit_delta_vs_baseline@10,3,0.0,-0.0022371364653243817,0.003492728187023721,0.002016527558984339,-0.010914254551633992,0.006439981620985228,0.00867711808630961,-0.005033557046979831,0.001677852348993314
100k,context_token_saving_pct@10,3,0.0,4.831937960115148,0.7804182141188357,0.4505746660019968,2.8931151723085557,6.770760747921741,1.9388227878065922,3.9685804570260275,5.487252476516813
200k,hit@10,3,0.7969798657718121,0.8249440715883669,0.007929220849417142,0.00457793779187498,0.8052452052699288,0.844642937906805,0.01969886631843804,0.8187919463087249,0.8338926174496645
200k,evidence_recall@10,3,0.6202145339649683,0.610847502170402,0.006039778921779138,0.003487067986335013,0.5958426486252024,0.6258523557156015,0.015004853545199561,0.6040552982464575,0.6156141528603052
200k,mrr@10,3,0.6278636678385,0.6372536486630446,0.00239393583166678,0.0013821394968355062,0.6313063024081614,0.6432009949179277,0.005947346254883183,0.6353487535953979,0.6399408756791306
200k,ndcg@10,3,0.5643164326791772,0.5517198344584097,0.005755541852576929,0.003322963637917447,0.5374211219244509,0.5660185469923684,0.014298712533958775,0.5471450872399329,0.5581821365618913
200k,avg_context_tokens@10,3,1444.1241610738255,1376.4586129753916,4.608644229278126,2.6608019863729417,1365.0091820280288,1387.9080439227544,11.449430947362767,1371.6577181208054,1380.8473154362416
200k,context_token_ratio_vs_baseline@10,3,1.0,0.9531442310001108,0.0031913074744565227,0.0018425022294443383,0.9452159439068119,0.9610725180934098,0.007928287093298987,0.9498197974202334,0.9561832373259843
200k,hit_delta_vs_baseline@10,3,0.0,0.027964205816554788,0.007929220849417142,0.00457793779187498,0.00826533949811675,0.04766307213499282,0.01969886631843804,0.021812080536912748,0.03691275167785235
200k,context_token_saving_pct@10,3,0.0,4.685576899988919,0.31913074744565245,0.18425022294443394,3.89274819065902,5.478405609318818,0.7928287093298992,4.381676267401568,5.018020257976663
400k,hit@10,3,0.7718120805369127,0.7818791946308725,0.0044391800521218,0.0025629617980737385,0.7708507700137612,0.7929076192479838,0.011028424617111296,0.7785234899328859,0.7869127516778524
400k,evidence_recall@10,3,0.577735361850729,0.5662142130660704,0.007686243798617984,0.004437654926189185,0.5471189839186784,0.5853094422134625,0.019095229147392066,0.5577433487017497,0.5727434818646344
400k,mrr@10,3,0.5875519335250878,0.5798309275238805,0.013287851686620358,0.007671744748222087,0.546819409872281,0.6128424451754801,0.03301151765159964,0.5647511185682328,0.5898236923404708
400k,ndcg@10,3,0.5173615467977577,0.5024473095855213,0.010836886026001321,0.006256679064289157,0.4755248195718851,0.5293697995991575,0.026922490013636242,0.49025565951725664,0.5109846198643928
400k,avg_context_tokens@10,3,1482.2986577181207,1403.4256152125279,31.102242699858763,17.95688819516453,1326.157125308735,1480.6941051163208,77.26848990379298,1373.5268456375838,1435.6057046979865
400k,context_token_ratio_vs_baseline@10,3,1.0,0.9467900465976192,0.020982440035220762,0.012114217402589889,0.8946625691142749,0.9989175240809636,0.05212747748334429,0.9266195030844984,0.9684996321240591
400k,hit_delta_vs_baseline@10,3,0.0,0.010067114093959736,0.0044391800521218,0.0025629617980737385,-0.0009613105231515602,0.021095538711071032,0.011028424617111296,0.006711409395973145,0.015100671140939603
400k,context_token_saving_pct@10,3,0.0,5.320995340238073,2.098244003522076,1.2114217402589889,0.10824759190364386,10.533743088572503,5.212747748334429,3.1500367875940904,7.338049691550164
638k,hit@10,3,0.7281879194630873,0.7466442953020134,0.0088783601042436,0.005125923596147477,0.7245874460677908,0.768701144536236,0.022056849234222593,0.7399328859060402,0.7567114093959731
638k,evidence_recall@10,3,0.5040782855416331,0.5001259533738995,0.0019757636743560182,0.0011407076892445314,0.49521748818708033,0.5050344185607187,0.004908465186819219,0.4978809151454374,0.5015998904891813
638k,mrr@10,3,0.5102269095557684,0.5047741113596818,0.013377992847065546,0.007723787771470181,0.4715386525790456,0.5380095701403179,0.03323545878063619,0.49432792692020866,0.5198525886864813
638k,ndcg@10,3,0.43032490854493166,0.4239199862984384,0.00501804017869501,0.002897166847973922,0.41145347735160664,0.4363864952452702,0.012466508946831786,0.41924261403376334,0.4292204909191769
638k,avg_context_tokens@10,3,1525.6191275167785,1451.486577181208,3.831050596570542,2.211858093209079,1441.9689518061293,1461.0042025562868,9.517625375078667,1448.4379194630872,1455.7869127516778
638k,context_token_ratio_vs_baseline@10,3,1.0,0.9514082191298725,0.002511144837837885,0.001449810148099842,0.9451696860625989,0.9576467521971461,0.00623853306727362,0.9494099105985138,0.954226966937177
638k,hit_delta_vs_baseline@10,3,0.0,0.01845637583892616,0.0088783601042436,0.005125923596147477,-0.0036004733952964343,0.04051322507314875,0.022056849234222593,0.011744966442952975,0.028523489932885893
638k,context_token_saving_pct@10,3,0.0,4.8591780870127534,0.2511144837837887,0.14498101480998432,4.235324780285391,5.483031393740116,0.6238533067273625,4.577303306282299,5.059008940148624
