scale,split,source_label,run_id,policy,seed,num_queries,hit@10,hit_delta_vs_dense@10,context_token_ratio_vs_dense@10,context_token_saving_percent_vs_dense@10,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,method,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,num_skipped_no_gt,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,recall@1,recall@10,recall@5
task59_100k,calibration,task59,task59:gated_cost_aware:seed13:token_budget_r0.98_m4,token_budget_r0.98_m4,13,179,0.8603351955307262,0.03351955307262566,0.9413653189341399,5.863468106586012,1.0,8.994413407821229,5.0,170.62569832402235,1359.6312849162011,779.8212290502794,0.0,0.0,0.0,0.28945195411194274,0.7182974514943308,0.6157908515209612,0.6145251396648045,0.7877094972067039,1520.0,4021.0,3821.0,112.0,1247.0,656.0,gated_cost_aware,0.6145251396648045,0.6890884100381306,0.6794227188081936,0.6145251396648045,0.6474995562845789,0.6197593357440774,0,499.29999999999995,2477.7999999999997,1784.5,0.6145251396648045,0.8603351955307262,0.7877094972067039
task59_100k,calibration,task59,task59:gated_cost_aware:seed13:token_budget_r0.98_m5,token_budget_r0.98_m5,13,179,0.8603351955307262,0.03351955307262566,0.9413653189341399,5.863468106586012,1.0,8.994413407821229,5.0,170.62569832402235,1359.6312849162011,779.8212290502794,0.0,0.0,0.0,0.28945195411194274,0.7182974514943308,0.6157908515209612,0.6145251396648045,0.7877094972067039,1520.0,4021.0,3821.0,112.0,1247.0,656.0,gated_cost_aware,0.6145251396648045,0.6890884100381306,0.6794227188081936,0.6145251396648045,0.6474995562845789,0.6197593357440774,0,499.29999999999995,2477.7999999999997,1784.5,0.6145251396648045,0.8603351955307262,0.7877094972067039
task59_100k,calibration,task59,task59:gated_cost_aware:seed13:token_budget_r0.98_m6,token_budget_r0.98_m6,13,179,0.8603351955307262,0.03351955307262566,0.9413653189341399,5.863468106586012,1.0,8.994413407821229,5.0,170.62569832402235,1359.6312849162011,779.8212290502794,0.0,0.0,0.0,0.28945195411194274,0.7182974514943308,0.6157908515209612,0.6145251396648045,0.7877094972067039,1520.0,4021.0,3821.0,112.0,1247.0,656.0,gated_cost_aware,0.6145251396648045,0.6890884100381306,0.6794227188081936,0.6145251396648045,0.6474995562845789,0.6197593357440774,0,499.29999999999995,2477.7999999999997,1784.5,0.6145251396648045,0.8603351955307262,0.7877094972067039
task59_100k,calibration,task59,task59:gated_cost_aware:seed13:token_budget_r0.98_m7,token_budget_r0.98_m7,13,179,0.8603351955307262,0.03351955307262566,0.9435004428835003,5.649955711649968,1.0,8.983240223463687,5.0,170.62569832402235,1362.7150837988827,779.8212290502794,0.0,0.0,0.0,0.28945195411194274,0.7201596488872544,0.6157908515209612,0.6145251396648045,0.7877094972067039,1520.0,4021.0,3821.0,112.0,1247.0,656.0,gated_cost_aware,0.6145251396648045,0.6890884100381306,0.6794227188081936,0.6145251396648045,0.648373445904733,0.6197593357440774,0,499.29999999999995,2477.7999999999997,1784.5,0.6145251396648045,0.8603351955307262,0.7877094972067039
task59_100k,calibration,task59,task59:gated_cost_aware:seed13:token_budget_r0.98_m8,token_budget_r0.98_m8,13,179,0.8603351955307262,0.03351955307262566,0.9439955440891491,5.600445591085091,1.0,8.983240223463687,5.0,170.62569832402235,1363.4301675977654,779.8212290502794,0.0,0.0,0.0,0.28945195411194274,0.7201596488872544,0.6157908515209612,0.6145251396648045,0.7877094972067039,1520.0,4116.0,3821.0,112.0,1247.0,656.0,gated_cost_aware,0.6145251396648045,0.6890884100381306,0.6794227188081936,0.6145251396648045,0.648373445904733,0.6197593357440774,0,499.29999999999995,2477.7999999999997,1784.5,0.6145251396648045,0.8603351955307262,0.7877094972067039
task59_100k,calibration,task59,task59:gated_cost_aware:seed13:token_budget_r0.95_m4,token_budget_r0.95_m4,13,179,0.8603351955307262,0.03351955307262566,0.9217237257912917,7.827627420870831,1.0,8.871508379888269,5.0,170.62569832402235,1331.2625698324023,779.8212290502794,0.0,0.0,0.0,0.28945195411194274,0.7156283018978069,0.6157908515209612,0.6145251396648045,0.7877094972067039,1520.0,4021.0,3821.0,112.0,1224.0,656.0,gated_cost_aware,0.6145251396648045,0.6890884100381306,0.6794227188081936,0.6145251396648045,0.6457495227952857,0.6197593357440774,0,499.29999999999995,2467.7,1784.5,0.6145251396648045,0.8603351955307262,0.7877094972067039
task59_100k,calibration,task59,task59:gated_cost_aware:seed13:token_budget_r0.95_m5,token_budget_r0.95_m5,13,179,0.8603351955307262,0.03351955307262566,0.9217237257912917,7.827627420870831,1.0,8.871508379888269,5.0,170.62569832402235,1331.2625698324023,779.8212290502794,0.0,0.0,0.0,0.28945195411194274,0.7156283018978069,0.6157908515209612,0.6145251396648045,0.7877094972067039,1520.0,4021.0,3821.0,112.0,1224.0,656.0,gated_cost_aware,0.6145251396648045,0.6890884100381306,0.6794227188081936,0.6145251396648045,0.6457495227952857,0.6197593357440774,0,499.29999999999995,2467.7,1784.5,0.6145251396648045,0.8603351955307262,0.7877094972067039
task59_100k,calibration,task59,task59:gated_cost_aware:seed13:token_budget_r0.95_m6,token_budget_r0.95_m6,13,179,0.8603351955307262,0.03351955307262566,0.9217237257912917,7.827627420870831,1.0,8.871508379888269,5.0,170.62569832402235,1331.2625698324023,779.8212290502794,0.0,0.0,0.0,0.28945195411194274,0.7156283018978069,0.6157908515209612,0.6145251396648045,0.7877094972067039,1520.0,4021.0,3821.0,112.0,1224.0,656.0,gated_cost_aware,0.6145251396648045,0.6890884100381306,0.6794227188081936,0.6145251396648045,0.6457495227952857,0.6197593357440774,0,499.29999999999995,2467.7,1784.5,0.6145251396648045,0.8603351955307262,0.7877094972067039
task59_100k,calibration,task59,task59:gated_cost_aware:seed13:token_budget_r0.95_m7,token_budget_r0.95_m7,13,179,0.8603351955307262,0.03351955307262566,0.9240522486491086,7.594775135089138,1.0,8.860335195530727,5.0,170.62569832402235,1334.6256983240223,779.8212290502794,0.0,0.0,0.0,0.28945195411194274,0.7174904992907306,0.6157908515209612,0.6145251396648045,0.7877094972067039,1520.0,4021.0,3821.0,112.0,1224.0,656.0,gated_cost_aware,0.6145251396648045,0.6890884100381306,0.6794227188081936,0.6145251396648045,0.6466234124154399,0.6197593357440774,0,499.29999999999995,2467.7,1784.5,0.6145251396648045,0.8603351955307262,0.7877094972067039
task59_100k,calibration,task59,task59:gated_cost_aware:seed13:token_budget_r0.95_m8,token_budget_r0.95_m8,13,179,0.8603351955307262,0.03351955307262566,0.9256884034146511,7.431159658534892,1.0,8.865921787709498,5.0,170.62569832402235,1336.9888268156424,779.8212290502794,0.0,0.0,0.0,0.28945195411194274,0.7181112317550383,0.6157908515209612,0.6145251396648045,0.7877094972067039,1520.0,4116.0,3821.0,112.0,1224.0,656.0,gated_cost_aware,0.6145251396648045,0.6890884100381306,0.6794227188081936,0.6145251396648045,0.6470376504896582,0.6197593357440774,0,499.29999999999995,2467.7,1784.5,0.6145251396648045,0.8603351955307262,0.7877094972067039
