scale,method_label,method_run_id,seed,num_queries,method_hit@10,baseline_hit@10,hit_delta_mean,hit_delta_ci_low,hit_delta_ci_high,noninferior_by_ci,token_ratio,token_saving_percent,token_saving_ci_low,token_saving_ci_high,token_saving_wilcoxon_p_greater,method_only_hits,baseline_only_hits,mcnemar_p_two_sided,baseline_run_id,baseline_tokens_mean,budget_target_run_id,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_losses,hit_ties,hit_wins,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_margin,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_saving_mean
100k,reranker_top10,cross_encoder:cross-encoder/ms-marco-MiniLM-L-6-v2:top10,,417,0.8776978417266187,0.8705035971223022,0.007194244604316547,-0.019184652278177457,0.03357314148681055,False,1.2191162077515334,-21.911620775153338,-386.3973621103117,-260.8793165467626,1.0,19,16,0.735878800856881,dense50,1470.1199040767385,,0.04902990702675955,0.0016157788055270125,0.02511086369000038,16,382,19,1792.2470023980816,0.05034353469605268,0.03942152674090564,0.01,389.2224820143885,258.24070743405275,322.12709832134294,4,85,4,0.21342925659472423,-322.12709832134294
100k,intentweight_target,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,13,417,0.86810551558753,0.8705035971223022,-0.002398081534772182,-0.023980815347721823,0.019184652278177457,False,0.9357366566618819,6.426334333811812,50.12757793764989,139.98800959232614,1.155320141562371e-13,10,11,1.0,dense50,1470.1199040767385,,-0.0019114902882888477,-0.048414836275478795,-0.02567624359983576,11,396,10,1375.6450839328538,0.009279243272049027,-0.017828713987575184,0.01,-44.71037170263801,-139.26294964028776,-94.4748201438849,6,273,9,0.6690647482014388,94.4748201438849
100k,intentweight_target,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,17,417,0.8657074340527577,0.8705035971223022,-0.004796163069544364,-0.023980815347721823,0.014388489208633094,False,0.9286294532167559,7.1370546783244055,55.131594724220626,153.72200239808151,6.177566253542725e-14,7,9,0.803619384765625,dense50,1470.1199040767385,,-0.011940759081046862,-0.051635030720012735,-0.03149777684942656,9,401,7,1365.1966426858514,0.008989950896425717,-0.01936240091260671,0.01,-56.45419664268588,-156.3221822541966,-104.92326139088729,3,277,8,0.6714628297362111,104.92326139088729
100k,intentweight_target,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,19,417,0.8776978417266187,0.8705035971223022,0.007194244604316547,-0.016786570743405275,0.03117505995203837,False,0.9501957457914656,4.98042542085344,27.779196642685854,112.61217026378897,1.0736501239574712e-10,14,11,0.6900379657745361,dense50,1470.1199040767385,,0.0024317175980069407,-0.0446724240252521,-0.02106850122230921,11,392,14,1396.9016786570744,0.0255405199649804,-0.010880343802186084,0.01,-27.257194244604324,-112.41510791366906,-73.21822541966426,7,258,8,0.6354916067146283,73.21822541966426
100k,reranker_same_budget,cross_encoder:cross-encoder/ms-marco-MiniLM-L-6-v2:same_budget:task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,13,417,0.8633093525179856,0.8705035971223022,-0.007194244604316547,-0.03836930455635491,0.02158273381294964,False,0.9315705337335247,6.842946626647528,57.739148681055156,145.9893884892086,6.7378850584279395e-15,18,21,0.7492586247608418,dense50,1470.1199040767385,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,0.02108501786419795,-0.02900969700430131,-0.004998759612999253,21,378,18,1369.5203836930455,0.048326101023942754,0.025005362982289336,0.01,-55.20713429256597,-145.8470623501199,-100.59952038369305,13,263,17,0.6618705035971223,100.59952038369305
100k,reranker_same_budget,cross_encoder:cross-encoder/ms-marco-MiniLM-L-6-v2:same_budget:task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,17,417,0.8633093525179856,0.8705035971223022,-0.007194244604316547,-0.03597122302158273,0.02158273381294964,False,0.9250636173822263,7.4936382617773685,60.111990407673865,158.06996402877698,2.679554473544962e-15,18,21,0.7492586247608418,dense50,1470.1199040767385,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,0.015804225667085364,-0.0363385482090518,-0.01061436565033687,21,378,18,1359.9544364508392,0.048326101023942754,0.021163794251317602,0.01,-60.26163069544366,-159.5763189448441,-110.16546762589928,10,268,18,0.6666666666666666,110.16546762589928
100k,reranker_same_budget,cross_encoder:cross-encoder/ms-marco-MiniLM-L-6-v2:same_budget:task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,19,417,0.8729016786570744,0.8705035971223022,0.002398081534772182,-0.026438848920863203,0.02877697841726619,False,0.9457311105311237,5.426888946887631,36.72236211031175,118.62476019184652,6.480017985693127e-12,18,17,1.0,dense50,1470.1199040767385,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,0.020748377488485396,-0.0283920720566404,-0.0036870503597122295,17,382,18,1390.3381294964029,0.04987153134635149,0.02478541682820823,0.01,-35.751618705036,-117.42434052757793,-79.78177458033574,11,253,12,0.6330935251798561,79.78177458033574
