baseline,evidence_recall_delta_mean_mean,evidence_recall_delta_mean_std,hit_delta_mean_mean,hit_delta_mean_std,method,mrr_delta_mean_mean,mrr_delta_mean_std,ndcg_delta_mean_mean,ndcg_delta_mean_std,seeds,significant_mcnemar_seeds
cold_no_feedback_full,-0.005014288781067304,0.0033926584078554137,-0.0039149888143176735,0.005536630277747016,learned_full_frozen,-0.0006278630020240759,0.0009049494989565496,-0.00189833932199137,0.0009868980510599015,13|17|19,0
dense,0.008237294646690619,0.0017306179905625337,0.007829977628635347,0.002851800622814757,learned_full_frozen,0.0014175189091296472,0.00045255042827552694,0.003218286387302929,0.0006985395782036563,13|17|19,0
static_nearest_full,-0.0045087338711499786,0.0032977289755973618,-0.005592841163310961,0.0031637887301411522,learned_full_frozen,-0.0007031000319590924,0.00042255914748860177,-0.0015011523442741111,0.0011741533752484359,13|17|19,0
cold_no_feedback_gated,-0.10798511238947481,0.01545865189848518,-0.06767337807606263,0.020610207799427606,learned_gated_frozen,-0.04498286637548383,0.009936660542716849,-0.07675484797149186,0.012543435567701449,13|17|19,3
dense,-0.09473352896171688,0.018624814226839523,-0.05592841163310962,0.019582932214778075,learned_gated_frozen,-0.0429374844643301,0.009834819457550142,-0.07163822226219757,0.013608504622704748,13|17|19,3
static_nearest_gated,-0.08554488638381257,0.021324872843030362,-0.05536912751677853,0.019757854287086908,learned_gated_frozen,-0.043328983345761865,0.011851365299543495,-0.06501452989552514,0.015753069960159835,13|17|19,3
