baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,scale,seed,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
0.8674496644295302,10,task65_6:dense_top10,1472.3875838926174,-0.010236976972505498,-0.03169943381562509,-0.020776133821435835,-0.0050335570469798654,-0.026845637583892617,-0.015100671140939598,10,585,1,0.01171875,0.8523489932885906,intentroute_crossfit,1,task65_6:intentroute_crossfit:seed13,1413.6006711409395,-0.009124320869287312,-0.015883009223364403,False,0.01,596,100k,13,-34.69907718120806,-86.19836409395973,-58.78691275167785,1,165,8,0.2785234899328859,0.9600737513717277,86.65113255033556,35.46778523489933,58.78691275167785,3.992624862827232,1.9269634036991582e-11
0.8674496644295302,9,task65_6:dense_top10,1472.3875838926174,-0.01245981961271391,-0.03315045983565279,-0.02233208160221583,-0.003355704697986577,-0.025167785234899327,-0.013422818791946308,9,586,1,0.021484375,0.8540268456375839,intentroute_crossfit,1,task65_6:intentroute_crossfit:seed17,1402.0620805369128,-0.0004307819324597847,-0.012935785203235559,False,0.01,596,100k,17,-46.55671140939598,-98.43020134228188,-70.3255033557047,1,166,8,0.2802013422818792,0.9522370983530153,98.93456375838926,46.09173657718123,70.3255033557047,4.776290164698471,3.613647988811626e-12
0.8674496644295302,6,task65_6:dense_top10,1472.3875838926174,-0.006887827520168126,-0.026821730306419902,-0.016489560029828487,0.006711409395973154,-0.013422818791946308,-0.003355704697986577,6,586,4,0.75390625,0.8640939597315436,intentroute_crossfit,4,task65_6:intentroute_crossfit:seed19,1417.6191275167785,-0.001164509427932247,-0.011754385605485924,False,0.01,596,100k,19,-30.889177852348993,-81.75545302013423,-54.76845637583892,1,159,5,0.2684563758389262,0.9628029623619583,82.4890520134228,30.60398489932886,54.76845637583892,3.719703763804172,1.2563474403937423e-08
0.8674496644295302,0,task65_6:dense_top10,1472.3875838926174,0.0,0.0,0.0,0.0,0.0,0.0,0,596,0,1.0,0.8674496644295302,dense_crossfit,0,task65_6:dense_crossfit,1472.3875838926174,0.0,0.0,True,0.01,596,100k,,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.7969798657718121,11,task65_6:dense_top10,1444.1241610738255,0.0006476355249606404,-0.0368162327195067,-0.018603396638718322,0.04194630872483222,0.003355704697986577,0.02181208053691275,11,561,24,0.040959591511636986,0.8187919463087249,intentroute_crossfit,24,task65_6:intentroute_crossfit:seed13,1222.1963087248323,0.006892510919356557,-0.01890165096483615,True,0.01,596,200k,13,-187.24148489932884,-256.2352348993288,-221.9278523489933,14,447,11,0.7734899328859061,0.8463235652923559,257.0223573825503,186.84014261744966,221.9278523489933,15.367643470764413,5.1005112497930506e-45
0.7969798657718121,15,task65_6:dense_top10,1444.1241610738255,-0.010676923663103086,-0.047517961205059814,-0.029439691280844945,0.028523489932885907,-0.01174496644295302,0.008389261744966443,15,561,20,0.4995598332025112,0.8053691275167785,intentroute_crossfit,20,task65_6:intentroute_crossfit:seed17,1202.721476510067,0.005998322147651007,-0.022473480318430404,False,0.01,596,200k,17,-209.38498322147652,-275.78552852349,-241.40268456375838,12,453,13,0.7802013422818792,0.8328379989264527,274.7954697986577,208.36325503355707,241.40268456375838,16.71620010735473,4.847347886727969e-50
0.7969798657718121,15,task65_6:dense_top10,1444.1241610738255,-0.005398405140688466,-0.03999292060812108,-0.022889637523113574,0.031879194630872486,-0.008389261744966443,0.01174496644295302,15,559,22,0.3240086000878364,0.8087248322147651,intentroute_crossfit,22,task65_6:intentroute_crossfit:seed19,1211.1006711409395,0.010537179077447533,-0.012860331066926509,True,0.01,596,200k,19,-200.07336409395973,-267.9448406040268,-233.0234899328859,13,458,12,0.790268456375839,0.8386402663884428,267.13603187919466,200.00482382550334,233.0234899328859,16.13597336115572,3.854698776947982e-52
0.7969798657718121,0,task65_6:dense_top10,1444.1241610738255,0.0,0.0,0.0,0.0,0.0,0.0,0,596,0,1.0,0.7969798657718121,dense_crossfit,0,task65_6:dense_crossfit,1444.1241610738255,0.0,0.0,True,0.01,596,200k,,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.7718120805369127,24,task65_6:dense_top10,1482.2986577181207,-0.010650844348700752,-0.048293506542555514,-0.02933832260015435,0.020134228187919462,-0.025167785234899327,-0.0016778523489932886,24,549,23,1.0,0.7701342281879194,intentroute_crossfit,23,task65_6:intentroute_crossfit:seed13,1274.528523489933,-0.024011931394481732,-0.030993148478596317,False,0.01,596,400k,13,-177.89597315436245,-239.05079697986577,-207.7701342281879,10,446,21,0.7651006711409396,0.8598324749561379,239.2081375838926,177.15750838926172,207.7701342281879,14.01675250438621,7.43540582596875e-47
0.7718120805369127,23,task65_6:dense_top10,1482.2986577181207,0.011883348117961767,-0.02656857289545035,-0.007417109026256215,0.03355704697986577,-0.013422818791946308,0.010067114093959731,23,544,29,0.48845566937989204,0.7818791946308725,intentroute_crossfit,29,task65_6:intentroute_crossfit:seed17,1251.008389261745,0.0015779801853627355,-0.007820218064388823,False,0.01,596,400k,17,-198.84639261744968,-264.0579697986577,-231.29026845637583,11,441,20,0.7583892617449665,0.8439651366800611,264.8739093959731,198.95230704697985,231.29026845637583,15.603486331993889,1.0255639024474324e-47
0.7718120805369127,27,task65_6:dense_top10,1482.2986577181207,-0.003091232120482443,-0.04013996843705679,-0.021836198046855302,0.015100671140939598,-0.031879194630872486,-0.008389261744966443,27,547,22,0.5681724128491652,0.7634228187919463,intentroute_crossfit,22,task65_6:intentroute_crossfit:seed19,1276.4295302013422,-0.004390380313199105,-0.015676798803750242,False,0.01,596,400k,19,-173.40562080536913,-238.60109060402684,-205.86912751677852,13,425,22,0.7348993288590604,0.8611149470824608,238.27378355704695,173.29328859060405,205.86912751677852,13.888505291753916,1.0827050718300694e-39
0.7718120805369127,0,task65_6:dense_top10,1482.2986577181207,0.0,0.0,0.0,0.0,0.0,0.0,0,596,0,1.0,0.7718120805369127,dense_crossfit,0,task65_6:dense_crossfit,1482.2986577181207,0.0,0.0,True,0.01,596,400k,,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.7281879194630873,23,task65_6:dense_top10,1525.6191275167785,0.0007188025033286475,-0.036664004348206505,-0.018022710449955303,0.03523489932885906,-0.01174496644295302,0.01174496644295302,23,543,30,0.4101027163746913,0.7399328859060402,intentroute_crossfit,30,task65_6:intentroute_crossfit:seed13,1297.253355704698,0.007761398742942367,-0.006897973055982042,False,0.01,596,638k,13,-196.11728187919462,-261.7854446308725,-228.36577181208054,17,444,22,0.7734899328859061,0.8503127237374198,261.5447567114094,195.96430369127518,228.36577181208054,14.968727626258016,5.0577861463746385e-50
0.7281879194630873,29,task65_6:dense_top10,1525.6191275167785,0.0031377776101762147,-0.035918084282630255,-0.01660918642737088,0.02348993288590604,-0.026845637583892617,-0.0016778523489932886,29,539,28,1.0,0.7265100671140939,intentroute_crossfit,28,task65_6:intentroute_crossfit:seed17,1294.0738255033557,-0.011534569084904656,-0.01254446238992577,False,0.01,596,638k,17,-195.55683724832213,-269.73183724832217,-231.54530201342283,16,429,25,0.7466442953020134,0.8482286320109891,268.7984479865771,196.30419463087247,231.54530201342283,15.177136798901092,9.067861918800552e-47
0.7281879194630873,24,task65_6:dense_top10,1525.6191275167785,-0.006668616443679369,-0.04205992181627162,-0.023712163582130026,0.020134228187919462,-0.02348993288590604,-0.0016778523489932886,24,549,23,1.0,0.7265100671140939,intentroute_crossfit,23,task65_6:intentroute_crossfit:seed19,1288.5218120805368,-0.017758602322360713,-0.017418846563111923,False,0.01,596,638k,19,-201.92353187919463,-273.4430788590604,-237.09731543624162,12,438,21,0.7550335570469798,0.8445894449277387,273.78812919463087,202.3094379194631,237.09731543624162,15.541055507226131,2.8197166071103516e-45
