seed,action,auroc,auroc_ci_high,auroc_ci_low,average_precision,average_precision_ci_high,average_precision_ci_low,examples,feature,safe_prevalence,spearman,spearman_ci_high,spearman_ci_low,variant
13,continuous_headroom,,,,,,,366,route_confidence,,-0.07528493192597402,0.02658252939909177,-0.17365817510019468,dynamic_gated
13,r0.85_m4,0.4356741573033708,0.5982048502921768,0.2721512499215366,0.9686928937569592,0.9895745782953684,0.9414668895473031,366,route_confidence,0.9726775956284153,,,,dynamic_gated
13,r0.85_m4,0.7731741573033708,0.8267605633802817,0.6972618130457113,0.9881645669165507,0.9948921862464617,0.9793932483039228,366,relevant_count,0.9726775956284153,,,,dynamic_gated
13,r0.85_m4,0.9969101123595506,1.0,0.9911743134573602,0.9998760417779196,1.0,0.9996453955703972,366,first_relevant_rank,0.9726775956284153,,,,dynamic_gated
13,r0.85_m4,0.9977528089887641,1.0,0.9925847457627119,0.9999232516731136,1.0,0.9996981377420704,366,first_relevant_token_position,0.9726775956284153,,,,dynamic_gated
13,r0.85_m4,0.6165730337078652,0.7853276023337862,0.4653764721202556,0.9789394617441745,0.9929126512141352,0.9629097069718181,366,route_support_count,0.9726775956284153,,,,dynamic_gated
13,r0.95_m4,0.48549723756906077,0.7326548171629116,0.2618385599456583,0.9914282094222319,0.998195606251588,0.9810577879088473,366,route_confidence,0.9890710382513661,,,,dynamic_gated
13,r0.95_m4,0.8024861878453038,0.8268156424581006,0.7770547319716296,0.9956827582042689,0.9989520173665694,0.9909836065573769,366,relevant_count,0.9890710382513661,,,,dynamic_gated
13,r0.95_m4,0.9986187845303867,1.0,0.9958112229812794,0.9999698094979319,1.0,0.999877888695546,366,first_relevant_rank,0.9890710382513661,,,,dynamic_gated
13,r0.95_m4,0.9986187845303867,1.0,0.9958217270194987,0.9999698094979319,1.0,0.999863387978142,366,first_relevant_token_position,0.9890710382513661,,,,dynamic_gated
13,r0.95_m4,0.5390193370165746,0.9065098600030106,0.39891291455594496,0.9899179029222748,0.9987882049719745,0.9775835958961022,366,route_support_count,0.9890710382513661,,,,dynamic_gated
17,continuous_headroom,,,,,,,366,route_confidence,,-0.02319950480048991,0.07492305135547228,-0.1252887295862756,dynamic_gated
17,r0.85_m4,0.38437597261126677,0.5714674758792404,0.23747276688453162,0.9727615362091193,0.9899957123518327,0.9522596165331622,366,route_confidence,0.9754098360655737,,,,dynamic_gated
17,r0.85_m4,0.7955182072829132,0.8207282913165266,0.7690140845070422,0.989943518390963,0.995743139208405,0.9826376595474955,366,relevant_count,0.9754098360655737,,,,dynamic_gated
17,r0.85_m4,0.9989106753812635,1.0,0.9960110640301318,0.999953118502303,1.0,0.9998389234710334,366,first_relevant_rank,0.9754098360655737,,,,dynamic_gated
17,r0.85_m4,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999998,366,first_relevant_token_position,0.9754098360655737,,,,dynamic_gated
17,r0.85_m4,0.5040460628695922,0.6616757639281259,0.3837510766079285,0.9756058493875343,0.9901241915438024,0.9552920112072647,366,route_support_count,0.9754098360655737,,,,dynamic_gated
17,r0.95_m4,0.4116343490304709,0.7402892561983472,0.17605583297917554,0.984699007771208,0.9975086552507086,0.966283389302267,366,route_confidence,0.9863387978142076,,,,dynamic_gated
17,r0.95_m4,0.7922437673130194,0.8167148760330578,0.7665745856353592,0.9943236001998093,0.9988023055617935,0.9890146862760576,366,relevant_count,0.9863387978142076,,,,dynamic_gated
