method_label,shared_queries,majority_is_correct_rate,unanimous_is_correct_rate,majority_is_faithful_rate,unanimous_is_faithful_rate,majority_citations_supported_rate,unanimous_citations_supported_rate
dense_sent_mmr_r0.85_l0.70,300,0.8733333333333333,0.86,0.93,0.8933333333333333,0.9266666666666666,0.8433333333333334
intentweight_sent_mmr_r0.85_l0.70_seed19,300,0.8766666666666667,0.8633333333333333,0.9666666666666667,0.8833333333333333,0.93,0.82
dense_llmlingua2_matched_sent_mmr,300,0.88,0.84,0.9433333333333334,0.85,0.9266666666666666,0.8233333333333334
intentroute_llmlingua2_matched_sent_mmr_seed19,300,0.8866666666666667,0.8766666666666667,0.9433333333333334,0.89,0.93,0.8733333333333333
