scale,method_label,method_run_id,seed,num_queries,method_hit@10,baseline_hit@10,hit_delta_mean,hit_delta_ci_low,hit_delta_ci_high,noninferior_by_ci,token_ratio,token_saving_percent,token_saving_ci_low,token_saving_ci_high,token_saving_wilcoxon_p_greater,method_only_hits,baseline_only_hits,mcnemar_p_two_sided,baseline_run_id,baseline_tokens_mean,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_losses,hit_ties,hit_wins,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_margin,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_saving_mean
100k,task29_C,task29_C:gated_cost_aware:seed13,13,596,0.8624161073825504,0.8674496644295302,-0.0050335570469798654,-0.025167785234899327,0.013422818791946308,False,0.9451274752348319,5.487252476516813,38.30490771812081,127.0318791946308,2.3127889802265465e-06,15,18,0.7283324808813632,dense,1472.3875838926174,-0.012981401935094663,-0.05134258402640649,-0.0318283474895081,18,563,15,1391.5939597315437,-0.007927186534569084,-0.03068719541690441,0.01,-38.05327181208057,-127.6848154362416,-80.79362416107382,7,319,13,0.5469798657718121,80.79362416107382
100k,task29_C,task29_C:gated_cost_aware:seed17,17,596,0.8640939597315436,0.8674496644295302,-0.003355704697986577,-0.018456375838926176,0.01174496644295302,False,0.949600190531974,5.0399809468026024,29.41094798657718,119.6789848993288,1.3357614494494367e-05,11,13,0.8388197422027588,dense,1472.3875838926174,-0.009954912831742564,-0.045883379723275004,-0.028187795275130382,13,572,11,1398.1795302013422,0.0028996218174070524,-0.020027556369332948,0.01,-31.025503355704714,-121.2703020134228,-74.20805369127517,5,319,12,0.5436241610738255,74.20805369127517
100k,task29_C,task29_C:gated_cost_aware:seed19,19,596,0.8691275167785235,0.8674496644295302,0.0016778523489932886,-0.018456375838926176,0.02181208053691275,False,0.9603141954297397,3.9685804570260275,17.1180369127517,100.68452181208052,6.9689829627584e-05,17,16,1.0,dense,1472.3875838926174,-0.007724096750725434,-0.04702962034614501,-0.02667414027703891,16,563,17,1413.9546979865772,0.007190129966975605,-0.01988741815476886,0.01,-16.509060402684568,-101.39114932885904,-58.43288590604027,6,307,16,0.5251677852348994,58.43288590604027
100k,task37,task37:gated_fixed:gated_cost_aware:seed13:token_budget_r0.95_m5,13,596,0.8657718120805369,0.8674496644295302,-0.0016778523489932886,-0.018456375838926176,0.015100671140939598,False,0.9208300903773377,7.916990962266235,76.20801174496646,158.20041946308726,3.939497896513864e-20,14,15,1.0,dense,1472.3875838926174,-0.012661839710374483,-0.05086527948510128,-0.031633120890526584,15,567,14,1355.8187919463087,-0.0075170448492596145,-0.029800612655243437,0.01,-74.11073825503355,-160.39987416107383,-116.56879194630872,9,397,12,0.6812080536912751,116.56879194630872
100k,task37,task37:gated_fixed:gated_cost_aware:seed17:token_budget_r0.95_m5,17,596,0.8640939597315436,0.8674496644295302,-0.003355704697986577,-0.018456375838926176,0.01174496644295302,False,0.9162878628169788,8.371213718302117,79.53246644295302,166.5373741610738,6.839797893589217e-21,10,12,0.8318119049072266,dense,1472.3875838926174,-0.012208185747947976,-0.04621312596052602,-0.02886978752880743,12,574,10,1349.1308724832215,0.002936907425162459,-0.019268556126408303,0.01,-81.6150167785235,-169.0684144295302,-123.25671140939598,5,395,11,0.6711409395973155,123.25671140939598
100k,task37,task37:gated_fixed:gated_cost_aware:seed19:token_budget_r0.95_m5,19,596,0.8741610738255033,0.8674496644295302,0.006711409395973154,-0.013422818791946308,0.025167785234899327,False,0.931123603059907,6.887639694009295,61.65159395973155,143.4049496644295,3.203418157166595e-16,19,15,0.6075913612730801,dense,1472.3875838926174,-0.0007600371576628782,-0.03888482603813618,-0.020414805308348473,15,562,19,1370.974832214765,0.007786699691062107,-0.01699528415761769,0.01,-60.76677852348993,-139.6971895973154,-101.41275167785236,9,374,12,0.6426174496644296,101.41275167785236
