dataset,corpus_chunks,queries,gt_refs,bm25_hit@10,dense_hit@10,hybrid_hit@10,lexical_query_coverage,lexical_jaccard,no_feedback_eligible_folds,no_feedback_hit_delta_pp,no_feedback_saving_pct,no_feedback_strict_ni_seeds,trust_eligible_folds,trust_hit_delta_pp,trust_saving_pct,nearest_cluster_hit@3,compression_failures_seed_total,arm_boost_recovered_seed_total,post_feedback_all_query_hit_delta_pp,post_feedback_all_query_saving_pct
LoTTE recreation/search,100714,924,1991,0.6937229437229437,0.8495670995670995,0.8170995670995671,0.6755135346856126,0.07868306598649184,4,-0.7575757575757576,5.417370696422371,0/3,0,0.0,0.0,0.8365800865800865,40,12,0.1443001443001431,5.349959764016428
LoTTE writing/search,100696,1071,3546,0.7282913165266106,0.8739495798319328,0.8758169934640523,0.7477530457922614,0.10027566146809971,5,0.12449424214130098,10.093600665122286,2/3,0,0.0,0.0,0.865546218487395,29,28,0.4046062869592267,10.092194434781756
