seed,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,contrast,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,method_variant,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,reference_variant,scale,stage,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
13,0.8848920863309353,6,fixed_full,1571.5275779376498,dynamic_gated_vs_fixed_full,-0.024622216430468108,-0.05553445872202074,-0.03984945048886999,0.004796163069544364,-0.02158273381294964,-0.007194244604316547,6,408,3,0.5078125,0.8776978417266187,dynamic_gated,3,dynamic_gated,1569.6354916067146,dynamic_gated,0.007834684633245785,-0.02232410351601746,False,0.01,417,fixed_full,100k,source,42.18459232613907,-40.51978417266186,-1.8920863309352518,2,162,4,0.3932853717026379,0.9987960209178014,39.42020383693045,-41.37068345323741,1.8920863309352518,0.1203979082198603,0.044779024452758616
17,0.8776978417266187,2,fixed_full,1587.3597122302158,dynamic_gated_vs_fixed_full,-0.025747247440143135,-0.05836586683034523,-0.042002588405466106,0.009592326139088728,-0.009592326139088728,0.0,2,413,2,1.0,0.8776978417266187,dynamic_gated,2,dynamic_gated,1552.7601918465227,dynamic_gated,0.00875204598226181,-0.02271065026105888,True,0.01,417,fixed_full,100k,source,-8.882793764988033,-63.078477218225416,-34.59952038369305,2,179,2,0.434052757793765,0.978203100332513,61.4028177458033,7.576438848920866,34.59952038369305,2.179689966748699,0.00040394439750446966
19,0.8896882494004796,7,fixed_full,1592.9544364508392,dynamic_gated_vs_fixed_full,-0.023073779071980518,-0.057522279795211455,-0.04043241597198432,0.007194244604316547,-0.023980815347721823,-0.007194244604316547,7,406,4,0.548828125,0.882494004796163,dynamic_gated,4,dynamic_gated,1590.4268585131895,dynamic_gated,0.022912146473297552,-0.018140770949576286,False,0.01,417,fixed_full,100k,source,23.679976019184647,-26.7242206235012,-2.52757793764988,4,167,6,0.41007194244604317,0.9984132766890174,28.44784172661866,-23.871642685851317,2.52757793764988,0.15867233109826406,0.03787009212406789
13,0.8369304556354916,3,shuffled_tiers,1555.8273381294964,dynamic_gated_vs_shuffled_tiers,0.056299936241483,0.015642723916105217,0.035755205359521904,0.06474820143884892,0.019184652278177457,0.0407673860911271,3,394,20,0.00048828125,0.8776978417266187,dynamic_gated,20,dynamic_gated,1569.6354916067146,dynamic_gated,0.03004072932130486,0.0280089415838375,True,0.01,417,shuffled_tiers,100k,source,52.45551558752995,-20.930815347721822,13.808153477218225,8,89,1,0.23261390887290168,1.008875119454977,18.69394484412467,-52.21019184652277,-13.808153477218225,-0.8875119454976987,0.4803465828445284
17,0.815347721822542,2,shuffled_tiers,1557.369304556355,dynamic_gated_vs_shuffled_tiers,0.06928628525750825,0.02189829089109665,0.04632484488599596,0.08633093525179857,0.03836930455635491,0.06235011990407674,2,387,28,8.67992639541626e-07,0.8776978417266187,dynamic_gated,28,dynamic_gated,1552.7601918465227,dynamic_gated,0.04085778995850938,0.03730245211718423,True,0.01,417,shuffled_tiers,100k,source,25.312949640287762,-42.09676258992805,-4.609112709832134,7,87,1,0.22541966426858512,0.9970404497530884,39.1843525179856,-25.639268585131887,4.609112709832134,0.2959550246911635,0.8378774339073084
19,0.841726618705036,4,shuffled_tiers,1599.8057553956835,dynamic_gated_vs_shuffled_tiers,0.05786040215446688,0.01579479273723878,0.03655266263179932,0.06474820143884892,0.019184652278177457,0.0407673860911271,4,392,21,0.0009105205535888672,0.882494004796163,dynamic_gated,21,dynamic_gated,1590.4268585131895,dynamic_gated,0.058763465418141675,0.04034450516673605,True,0.01,417,shuffled_tiers,100k,source,11.352697841726618,-29.544844124700226,-9.378896882494004,11,97,2,0.2589928057553957,0.9941374777213661,29.97422062350117,-10.327697841726616,9.378896882494004,0.586252227863393,0.30819934016392014
13,0.7841726618705036,1,fixed_cluster_primary,1550.4820143884892,dynamic_gated_vs_fixed_cluster_primary,0.13150945909938713,0.07778836454645807,0.10316032887975335,0.1223021582733813,0.06474820143884892,0.09352517985611511,1,376,40,3.8198777474462986e-11,0.8776978417266187,dynamic_gated,40,dynamic_gated,1569.6354916067146,dynamic_gated,0.07635796125004758,0.08685381233239199,True,0.01,417,fixed_cluster_primary,100k,source,41.227098321342915,-0.5860911270983155,19.15347721822542,13,70,1,0.19904076738609114,1.012353240502296,1.5700239808153387,-40.691546762589915,-19.15347721822542,-1.2353240502295915,0.7795809376843744
17,0.7482014388489209,4,fixed_cluster_primary,1535.0791366906474,dynamic_gated_vs_fixed_cluster_primary,0.1712165029880857,0.11243338662403411,0.14220575920216208,0.16546762589928057,0.09352517985611511,0.12949640287769784,4,355,58,2.5917592724744587e-13,0.8776978417266187,dynamic_gated,58,dynamic_gated,1552.7601918465227,dynamic_gated,0.11532393133112558,0.1269999650040264,True,0.01,417,fixed_cluster_primary,100k,source,62.5046762589928,-27.54622302158272,17.6810551558753,14,69,1,0.19904076738609114,1.0115180088982203,28.23159472422055,-66.2152278177458,-17.6810551558753,-1.15180088982203,0.9780794286567143
19,0.7769784172661871,2,fixed_cluster_primary,1584.8705035971223,dynamic_gated_vs_fixed_cluster_primary,0.15243145959422938,0.09456333742529786,0.12311722050930683,0.1366906474820144,0.07673860911270983,0.10551558752997602,2,369,46,8.363087999896379e-12,0.882494004796163,dynamic_gated,46,dynamic_gated,1590.4268585131895,dynamic_gated,0.09674546077423775,0.10450839318811189,True,0.01,417,fixed_cluster_primary,100k,source,27.493405275779367,-16.61906474820144,5.556354916067146,26,70,1,0.2302158273381295,1.003505873131878,16.86079136690645,-29.19988009592326,-5.556354916067146,-0.3505873131878001,0.2546557754461177
13,0.8776978417266187,8,fixed_full,1381.5323741007194,dynamic_gated_vs_fixed_full,-0.02335790891096648,-0.05784190504739066,-0.04043241597198432,0.004796163069544364,-0.026378896882494004,-0.009592326139088728,8,405,4,0.3876953125,0.86810551558753,dynamic_gated,4,dynamic_gated,1375.6450839328538,dynamic_gated,0.007621521830154924,-0.022076023738789335,False,0.01,417,fixed_full,100k,budget_r0.95_m4,21.001558752997564,-36.597482014388476,-5.887290167865707,1,167,3,0.4028776978417266,0.9957385796538444,35.32026378896874,-21.566007194244605,5.887290167865707,0.426142034615562,0.04594003400033771
