run_id,source_label,method,seed,num_queries,num_skipped_no_gt,avg_bm25_candidates,avg_bm25_candidates_mean,avg_cluster_candidates,avg_cluster_candidates_mean,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_dense_candidates,avg_dense_candidates_mean,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,avg_source_candidate_cost,avg_source_candidate_cost_mean,confidence_mode,context_token_delta_vs_baseline@1,context_token_delta_vs_baseline@10,context_token_delta_vs_baseline@5,context_token_ratio_vs_baseline@1,context_token_ratio_vs_baseline@10,context_token_ratio_vs_baseline@5,cost_interpretation,dataset,dense_query_rate,dense_query_rate_mean,dense_saved_rate,dense_saved_rate_mean,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@10,hit@5,hit_delta_vs_baseline@1,hit_delta_vs_baseline@10,hit_delta_vs_baseline@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,metrics_path,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,ranking_path,recall@1,recall@10,recall@5,reward_attribution,routing_mode,task
linucb_cost_emanual_heldout-test_test_corpus-full_q132:full_multi_route:seed17,linucb_cost_emanual_heldout-test_test_corpus-full_q132,full_multi_route,17,1298,20,100.0,100.0,100.0,100.0,0.10015408320493066,1.0015408320493067,0.5007704160246533,1.7704160246533127,18.682588597842834,9.040061633281972,100.0,100.0,0.0,0.0,0.0,300.0,300.0,,0.0,0.4468412942989204,0.0,1.0,1.024503591043515,1.0,source_candidate_proxy_and_final_context_tokens,emanual,1.0,1.0,,,0.0,0.00372416382624395,0.001735270379338176,0.0,0.014637904468412942,0.00847457627118644,0.0,-0.017719568567026195,0.0,69.0,690.0,345.0,0.0,0.0,0.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_emanual_heldout-test_test_corpus-full_q132_prequential_metrics.json,0.0,0.0033993078484603908,0.0026836158192090395,0.0,0.0024712895665865166,0.0015400930562676815,13.0,161.0,70.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_emanual_heldout-test_test_corpus-full_q132_prequential_rankings.json,0.0,0.014637904468412942,0.00847457627118644,,full_multi_route,task16
linucb_cost_emanual_heldout-test_test_corpus-full_q132:full_multi_route:seed19,linucb_cost_emanual_heldout-test_test_corpus-full_q132,full_multi_route,19,1298,20,100.0,100.0,100.0,100.0,0.10015408320493066,1.0015408320493067,0.5007704160246533,1.7704160246533127,18.77657935285054,9.040061633281972,100.0,100.0,0.0,0.0,0.0,300.0,300.0,,0.0,0.5408320493066263,0.0,1.0,1.0296577946768062,1.0,source_candidate_proxy_and_final_context_tokens,emanual,1.0,1.0,,,0.0,0.004040584693512274,0.001735270379338176,0.0,0.014637904468412942,0.00847457627118644,0.0,-0.017719568567026195,0.0,69.0,690.0,345.0,0.0,0.0,0.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_emanual_heldout-test_test_corpus-full_q132_prequential_metrics.json,0.0,0.003431408516154279,0.0026836158192090395,0.0,0.0027051067946381917,0.0015400930562676815,13.0,163.0,70.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_emanual_heldout-test_test_corpus-full_q132_prequential_rankings.json,0.0,0.014637904468412942,0.00847457627118644,,full_multi_route,task16
linucb_cost_emanual_heldout-test_test_corpus-full_q132:gated_cost_aware:seed13,linucb_cost_emanual_heldout-test_test_corpus-full_q132,gated_cost_aware,13,1298,20,60.60606060606061,57.03703703703704,100.0,100.0,0.10015408320493066,1.0015408320493067,0.5007704160246533,1.7704160246533127,17.97226502311248,9.09322033898305,60.60606060606061,57.03703703703704,0.0,0.0,0.0,221.21212121212122,214.0740740740741,,0.0,-0.2634822804314325,0.053158705701077835,1.0,0.9855513307984791,1.0058803477075164,source_candidate_proxy_and_final_context_tokens,emanual,1.0,1.0,,,0.0,0.002509716357944401,0.001735270379338176,0.0,0.013097072419106317,0.00847457627118644,0.0,-0.01926040061633282,0.0,69.0,690.0,345.0,0.0,0.0,0.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_emanual_heldout-test_test_corpus-full_q132_prequential_metrics.json,0.0,0.0030966444102037325,0.002503852080123267,0.0,0.001846417223845979,0.0014831616607137717,13.0,163.14999999999986,77.29999999999973,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_emanual_heldout-test_test_corpus-full_q132_prequential_rankings.json,0.0,0.013097072419106317,0.00847457627118644,,gated_cost_aware,task16
linucb_cost_emanual_heldout-test_test_corpus-full_q132:gated_cost_aware:seed17,linucb_cost_emanual_heldout-test_test_corpus-full_q132,gated_cost_aware,17,1298,20,56.16161616161616,57.03703703703704,100.0,100.0,0.10015408320493066,1.0015408320493067,0.5007704160246533,1.7704160246533127,17.741910631741142,8.802773497688753,56.16161616161616,57.03703703703704,0.0,0.0,0.0,212.32323232323233,214.0740740740741,,0.0,-0.4938366718027716,-0.2372881355932197,1.0,0.9729193071398395,0.9737514913925346,source_candidate_proxy_and_final_context_tokens,emanual,1.0,1.0,,,0.0,0.002292779767741247,0.0008236114168317558,0.0,0.009244992295839754,0.003852080123266564,0.0,-0.02311248073959938,-0.004622496147919876,69.0,620.0,310.0,0.0,0.0,0.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_emanual_heldout-test_test_corpus-full_q132_prequential_metrics.json,0.0,0.0021507447354904984,0.0014381099126861837,0.0,0.0015289852359611777,0.0007619468374336101,13.0,151.74999999999932,75.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_emanual_heldout-test_test_corpus-full_q132_prequential_rankings.json,0.0,0.009244992295839754,0.003852080123266564,,gated_cost_aware,task16
linucb_cost_emanual_heldout-test_test_corpus-full_q132:gated_cost_aware:seed19,linucb_cost_emanual_heldout-test_test_corpus-full_q132,gated_cost_aware,19,1298,20,54.343434343434346,57.03703703703704,100.0,100.0,0.10015408320493066,1.0015408320493067,0.5007704160246533,1.7704160246533127,18.057010785824346,9.043143297380585,54.343434343434346,57.03703703703704,0.0,0.0,0.0,208.68686868686868,214.0740740740741,,0.0,-0.17873651771956744,0.0030816640986124355,1.0,0.9901985635825941,1.0003408897221748,source_candidate_proxy_and_final_context_tokens,emanual,1.0,1.0,,,0.0,0.003264971417898999,0.0017948859050553967,0.0,0.012326656394453005,0.006933744221879815,0.0,-0.020030816640986132,-0.0015408320493066254,69.0,510.0,216.0,0.0,0.0,0.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_emanual_heldout-test_test_corpus-full_q132_prequential_metrics.json,0.0,0.0028034583119328884,0.0020929635336414997,0.0,0.0022237994211772192,0.0014883758918927807,13.0,172.14999999999986,82.29999999999973,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_emanual_heldout-test_test_corpus-full_q132_prequential_rankings.json,0.0,0.012326656394453005,0.006933744221879815,,gated_cost_aware,task16
lotte_technology_search:dense,lotte_technology_search:dense,lotte_technology_search:dense,,20,0,,,,,1.0,10.0,5.0,133.0,1115.2,612.2,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,final_context_tokens,lotte_technology_search,,,,,0.5416666666666666,0.8,0.775,0.9,0.9,0.9,0.0,0.0,0.0,227.0,2441.0,2117.0,100.5,1120.0,486.5,,0.9,0.9,0.9,0.9,0.8077032943161073,0.8255564781893782,227.0,1645.8500000000006,1075.8000000000006,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/dense_lotte_technology_search_rankings.json,0.9,0.9,0.9,,,baseline
linucb_cost_lotte-technology-search_heldout-test_test_corpus-full_q20:full_multi_route:seed13,linucb_cost_lotte-technology-search_heldout-test_test_corpus-full_q20,full_multi_route,13,20,0,50.0,50.0,50.0,50.0,1.0,10.0,5.0,133.0,1235.65,612.2,50.0,50.0,0.0,0.0,0.0,150.0,150.0,,0.0,120.45000000000005,0.0,1.0,1.1080075322812053,1.0,source_candidate_proxy_and_final_context_tokens,lotte_technology_search,1.0,1.0,,,0.5416666666666666,0.88125,0.775,0.9,1.0,0.9,0.0,0.09999999999999998,0.0,227.0,2952.0,2117.0,100.5,1152.0,486.5,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_lotte-technology-search_heldout-test_test_corpus-full_q20_prequential_metrics.json,0.9,0.9133333333333333,0.9,0.9,0.8285575839936344,0.8255564781893782,227.0,1747.400000000001,1075.8000000000006,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_lotte-technology-search_heldout-test_test_corpus-full_q20_prequential_rankings.json,0.9,1.0,0.9,,full_multi_route,task18
linucb_cost_lotte-technology-search_heldout-test_test_corpus-full_q20:gated_cost_aware:seed13,linucb_cost_lotte-technology-search_heldout-test_test_corpus-full_q20,gated_cost_aware,13,20,0,40.0,40.0,50.0,50.0,1.0,10.0,5.0,133.0,1207.1,630.0,39.5,39.5,0.0,0.0,0.0,129.5,129.5,,0.0,91.89999999999986,17.799999999999955,1.0,1.0824067431850788,1.0290754655341392,source_candidate_proxy_and_final_context_tokens,lotte_technology_search,0.95,0.95,,,0.5416666666666666,0.83125,0.775,0.9,0.95,0.9,0.0,0.04999999999999993,0.0,227.0,2952.0,2117.0,100.5,1062.0,486.5,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_lotte-technology-search_heldout-test_test_corpus-full_q20_prequential_metrics.json,0.9,0.9083333333333334,0.9,0.9,0.816229616368247,0.827681751879885,227.0,1731.250000000001,1123.3000000000006,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_lotte-technology-search_heldout-test_test_corpus-full_q20_prequential_rankings.json,0.9,0.95,0.9,,gated_cost_aware,task18
lotte_technology_search_100k:dense,lotte_technology_search_100k:dense,lotte_technology_search_100k:dense,,596,0,,,,,1.0,10.0,5.0,161.64093959731542,1472.3875838926174,770.5184563758389,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,final_context_tokens,lotte_technology_search_100k,,,,,0.291594348575516,0.7025930894139937,0.611129549370119,0.6308724832214765,0.8674496644295302,0.8104026845637584,0.0,0.0,0.0,1520.0,7585.0,4718.0,104.0,1312.0,656.0,,0.6308724832214765,0.7080929743261957,0.7003914988814316,0.6308724832214765,0.6486573605022944,0.6265869854600753,501.25,2908.25,1773.5,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/dense_lotte_technology_search_100k_rankings.json,0.6308724832214765,0.8674496644295302,0.8104026845637584,,,baseline
linucb_cost_lotte-technology-search-100k_heldout-test_test_corpus-full_q596:full_multi_route:seed13,linucb_cost_lotte-technology-search-100k_heldout-test_test_corpus-full_q596,full_multi_route,13,596,0,100.0,100.0,100.0,100.0,1.0,10.0,5.0,161.64093959731542,1548.1862416107383,770.5184563758389,100.0,100.0,0.0,0.0,0.0,300.0,300.0,,0.0,75.79865771812092,0.0,1.0,1.051480098411132,1.0,source_candidate_proxy_and_final_context_tokens,lotte_technology_search_100k,1.0,1.0,,,0.291594348575516,0.7246105903983137,0.611129549370119,0.6308724832214765,0.8808724832214765,0.8104026845637584,0.0,0.01342281879194629,0.0,1520.0,14354.0,4718.0,104.0,1376.5,656.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_lotte-technology-search-100k_heldout-test_test_corpus-full_q596_prequential_metrics.json,0.6308724832214765,0.7103114679876422,0.7003914988814316,0.6308724832214765,0.6572858387499925,0.6265869854600753,501.25,2912.5,1773.5,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_lotte-technology-search-100k_heldout-test_test_corpus-full_q596_prequential_rankings.json,0.6308724832214765,0.8808724832214765,0.8104026845637584,,full_multi_route,task18
