avg_confidence,avg_source_candidate_cost,dataset,dense_query_rate,evidence_recall@10,fold,history_epochs,history_feedback_updates,history_queries,hit@10,method,mrr@10,ndcg@10,seed,selected_cluster_hit_rate,test_feedback_updates,test_queries
0.6826479253738477,300.0,lotte_science_search_100k,1.0,0.7700694444444445,0,8,45696,476,0.9,learned_full_frozen,0.7585284391534391,0.7115460748069083,13,0.8083333333333333,0,120
0.6803150157964417,137.5,lotte_science_search_100k,0.475,0.6843055555555555,0,8,45696,476,0.8416666666666667,learned_gated_frozen,0.722662037037037,0.6456023071518328,13,0.8,0,120
0.0,300.0,lotte_science_search_100k,1.0,0.7665972222222222,0,0,0,476,0.9,static_nearest_full,0.759047619047619,0.7096619573851076,13,0.8333333333333334,0,120
0.4278574810673793,185.66666666666666,lotte_science_search_100k,0.95,0.7610416666666666,0,0,0,476,0.8916666666666667,static_nearest_gated,0.7550198412698411,0.7045161256382058,13,0.8333333333333334,0,120
0.0,300.0,lotte_science_search_100k,1.0,0.789513888888889,0,0,0,476,0.9166666666666666,cold_no_feedback_full,0.7612797619047619,0.7181885441640564,13,0.15,0,120
0.0,300.0,lotte_science_search_100k,1.0,0.789513888888889,0,0,0,476,0.9166666666666666,cold_no_feedback_gated,0.7612797619047619,0.7181885441640564,13,0.15,0,120
0.6300558157645296,300.0,lotte_science_search_100k,1.0,0.7596527777777777,0,8,45696,476,0.9,learned_full_frozen,0.7591402116402116,0.7062567911143325,17,0.7083333333333334,0,120
0.6064671064043601,149.5,lotte_science_search_100k,0.6083333333333333,0.6959722222222221,0,8,45696,476,0.85,learned_gated_frozen,0.7279166666666668,0.6551842985690824,17,0.7083333333333334,0,120
0.0,300.0,lotte_science_search_100k,1.0,0.7846527777777778,0,0,0,476,0.9166666666666666,static_nearest_full,0.7616765873015872,0.716147670735032,17,0.8333333333333334,0,120
0.4126660021642844,195.0,lotte_science_search_100k,0.95,0.762986111111111,0,0,0,476,0.8916666666666667,static_nearest_gated,0.7570833333333334,0.7047032961079212,17,0.8333333333333334,0,120
0.0,300.0,lotte_science_search_100k,1.0,0.783263888888889,0,0,0,476,0.9,cold_no_feedback_full,0.7587499999999999,0.716505893286907,17,0.15,0,120
