comparison,method_label,method_run_id,seed,num_queries,method_hit@10,baseline_hit@10,hit_delta_mean,hit_delta_ci_low,hit_delta_ci_high,noninferior_by_ci,evidence_recall_delta_mean,token_ratio,token_saving_percent,mcnemar_p_two_sided,baseline_only_hits,baseline_run_id,baseline_tokens_mean,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,hit_losses,hit_ties,hit_wins,method_only_hits,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_margin,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_wilcoxon_p_greater
bge_vs_minilm_dense,bge_base_dense,bge_base_top50,,417,0.8992805755395683,0.8705035971223022,0.02877697841726619,0.004796163069544364,0.05275779376498801,True,0.036018890515293396,1.1618475140284485,-16.184751402844853,0.03569813817739487,8,minilm_dense_top10,1470.1199040767385,0.058466728781476976,0.014281984585491788,8,389,20,20,1708.0551558752998,0.07835255605039777,0.0614631612164097,0.01,100k,307.0747601918465,175.3798561151079,237.93525179856115,4,109,4,0.2709832134292566,-174.02937649880099,-304.7176858513189,-237.93525179856115,1.0
vs_bge_dense,minilm_dense,minilm_dense_top10,,417,0.8705035971223022,0.8992805755395683,-0.02877697841726619,-0.05275779376498801,-0.004796163069544364,False,-0.036018890515293396,0.8606981449163857,13.930185508361426,0.03569813817739487,20,bge_base_top50,1708.0551558752998,-0.014281984585491788,-0.058466728781476976,20,389,8,8,1470.1199040767385,-0.07835255605039777,-0.0614631612164097,0.01,100k,-175.3798561151079,-307.0747601918465,-237.93525179856115,4,279,16,0.6786570743405276,304.7176858513189,174.02937649880096,237.93525179856115,1.145894299845876e-22
vs_bge_dense,intentweight_target,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,13,417,0.86810551558753,0.8992805755395683,-0.03117505995203837,-0.05755395683453238,-0.007194244604316547,False,-0.061695134115129155,0.8053868045191427,19.461319548085733,0.0241195447742939,21,bge_base_top50,1708.0551558752998,-0.03875184048163769,-0.08539136760452809,21,388,8,8,1375.6450839328538,-0.06907331277834874,-0.07929187520398488,0.01,100k,-279.6474220623502,-387.2213429256595,-332.41007194244605,6,305,18,0.7458033573141487,386.15209832134286,278.9489208633094,332.41007194244605,1.0786665089387936e-35
vs_bge_dense,intentweight_target,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,17,417,0.8657074340527577,0.8992805755395683,-0.03357314148681055,-0.05995203836930456,-0.007194244604316547,False,-0.06751666736471996,0.7992696476983795,20.073035230162052,0.016124801710247997,22,bge_base_top50,1708.0551558752998,-0.043509912028579914,-0.09255405113884711,22,387,8,8,1365.1966426858514,-0.06936260515397207,-0.08082556212901641,0.01,100k,-287.9604316546763,-399.3199040767386,-342.85851318944844,5,315,20,0.7673860911270983,399.3983213429256,287.63435251798563,342.85851318944844,1.9508453511111583e-37
vs_bge_dense,intentweight_target,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,19,417,0.8776978417266187,0.8992805755395683,-0.02158273381294964,-0.047961630695443645,0.004796163069544364,False,-0.057087391737602605,0.817831715710156,18.2168284289844,0.14961278438568115,20,bge_base_top50,1708.0551558752998,-0.03302349566831085,-0.08153173158592099,20,386,11,11,1396.9016786570744,-0.05281203608541738,-0.07234350501859578,0.01,100k,-254.20341726618716,-368.7648081534772,-311.1534772182254,10,304,17,0.7529976019184652,370.24862110311744,250.3565947242206,311.1534772182254,1.0021603969980239e-35
