dataset,method,protocol,task_type,scope,query_split,corpus_scope,corpus_sampling,num_corpus_chunks,num_queries,num_skipped_no_gt,num_queries_with_gt_in_corpus,gt_query_coverage,num_seeds,n_effective_arms_mean,candidate_arms,arm_neighbor_k,arm_decay_sigma,propagation_strength,feedback_k,feedback_tau,feedback_weight,recall@1_mean,recall@1_std,recall@5_mean,recall@5_std,recall@10_mean,recall@10_std,mrr@10_mean,mrr@10_std,ndcg@10_mean,ndcg@10_std,avg_feedback_reward_mean,avg_local_boost_norm_mean,cross_arm_update_weight_mean,propagated_updates_mean,elapsed_sec,notes
emanual,Manifold-Local LinUCB,prequential,evidence_retrieval,heldout_test,test,full,first,18812,130,2,130,1.0,3,32.0000,3,4,0.7500,0.2500,16,0.7500,0.3500,0.0000,0.0000,0.0410,0.0145,0.0923,0.0599,0.0193,0.0091,0.0159,0.0091,0.0909,0.0190,68.5486,1188.0000,47.489,
pubmedqa,Manifold-Local LinUCB,prequential,evidence_retrieval,full,train,full,first,4348,1000,0,1000,1.0,3,32.0000,3,4,0.7500,0.2500,16,0.7500,0.3500,0.4803,0.0041,0.6530,0.0136,0.6607,0.0127,0.5654,0.0084,0.4389,0.0104,0.6607,0.1182,547.7517,9000.0000,64.440,"GT is abstract context section-level, not strict answer-supporting sentence evidence."
