dataset,method,task_type,scope,query_split,corpus_scope,corpus_sampling,num_corpus_chunks,num_queries,num_skipped_no_gt,num_queries_with_gt_in_corpus,gt_query_coverage,recall@1,recall@5,recall@10,mrr@10,ndcg@10,elapsed_sec,notes
banking77,BM25,intent_retrieval_proxy,heldout_test,test,full,,10003,3080,0,3080,1.0,0.8019,0.9370,0.9698,0.8604,0.6762,23.559,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions.
banking77,Dense,intent_retrieval_proxy,heldout_test,test,full,,10003,3080,0,3080,1.0,0.9205,0.9701,0.9805,0.9416,0.8797,31.568,"Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large."
banking77,Hybrid RRF,intent_retrieval_proxy,heldout_test,test,full,,10003,3080,0,3080,1.0,0.9136,0.9721,0.9851,0.9394,0.8504,55.848,"Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large."
