evidence_recall@10,hit@10,hit_delta_pp_vs_dense,method,mrr@10,ndcg@10,queries,seed
0.7186530812138311,0.87751677852349,1.0067114093959773,learned_full_frozen,0.7099705710024501,0.6543294890592918,596,13
0.7112342189458312,0.87248322147651,0.5033557046979831,learned_full_frozen,0.7090670608288057,0.6516566724094744,596,17
0.7224444925751051,0.8875838926174496,2.0134228187919434,learned_full_frozen,0.7111364120592308,0.6550366279688625,596,19
0.6358432846499847,0.837248322147651,-3.0201342281879207,learned_gated_frozen,0.6801860285501222,0.5917929201034636,596,13
0.6063972149086995,0.8120805369127517,-5.536912751677847,learned_gated_frozen,0.6753428944284648,0.5781058574376992,596,17
0.6199353458711825,0.8305369127516778,-3.691275167785235,learned_gated_frozen,0.6835397358048364,0.5860817346088628,596,19
0.71013178158081,0.8741610738255033,0.6711409395973145,static_nearest_full,0.7096443219345903,0.6520294844102152,596,13
0.7110057318899317,0.87751677852349,1.0067114093959773,static_nearest_full,0.7098314157877915,0.6511127164062386,596,17
0.7132264870245086,0.87751677852349,1.0067114093959773,static_nearest_full,0.7099352828379673,0.6528462608233618,596,19
0.6923968156705086,0.8657718120805369,-0.1677852348993314,static_nearest_gated,0.7103660647704271,0.6428912882207102,596,13
0.6872942643865173,0.8674496644295302,0.0,static_nearest_gated,0.7077920262064558,0.6386735767932312,596,17
0.6927939739745461,0.8691275167785235,0.1677852348993314,static_nearest_gated,0.7085663683818046,0.6407903636113829,596,19
0.718012369454455,0.8791946308724832,1.1744966442952975,cold_no_feedback_full,0.7099499307552999,0.6533517668520996,596,13
0.7148627948493433,0.8758389261744967,0.8389261744966459,cold_no_feedback_full,0.7097548471290083,0.6523858719242316,596,17
0.7228148972450062,0.8859060402684564,1.8456375838926231,cold_no_feedback_full,0.7107628901672526,0.6548196613272117,596,19
0.718012369454455,0.8791946308724832,1.1744966442952975,cold_no_feedback_gated,0.7099499307552999,0.6533517668520996,596,13
0.7148627948493433,0.8758389261744967,0.8389261744966459,cold_no_feedback_gated,0.7097548471290083,0.6523858719242316,596,17
0.7228148972450062,0.8859060402684564,1.8456375838926231,cold_no_feedback_gated,0.7107628901672526,0.6548196613272117,596,19
