selector,split,seed,budget_ratio,min_keep,target_coverage,score_threshold,final_hit@10,hit_delta_vs_dense_pp,token_saving_vs_dense_pct,actual_coverage,source_selective_risk,dense_hit@10,dense_selective_risk,dense_tokens,final_tokens,hit_delta_vs_source_pp,num_queries,selected_dense_hit_queries,selected_source_hit_queries,source_hit@10,source_tokens,token_saving_vs_source_pct
learned_confidence,calibration,13,0.75,4,0.1,0.9596842580647891,0.8659217877094972,0.5586592178770999,2.1330570919800507,0.1005586592178771,0.1111111111111111,0.8603351955307262,0.1111111111111111,1477.6703910614526,1446.1508379888269,-1.1173184357541888,179,18,18,0.8770949720670391,1498.8435754189943,3.5155594816115077
learned_confidence,test,13,0.75,4,0.1,0.9596842580647891,0.8752997601918465,0.47961630695443347,-3.203542998825526,0.11270983213429256,0.022727272727272728,0.8705035971223022,0.044444444444444446,1470.1199040767385,1517.2158273381294,-0.23980815347721673,417,45,44,0.8776978417266187,1569.6354916067146,3.3396074788629604
learned_confidence,calibration,13,0.75,5,0.1,0.9596842580647891,0.8659217877094972,0.5586592178770999,2.1330570919800507,0.1005586592178771,0.1111111111111111,0.8603351955307262,0.1111111111111111,1477.6703910614526,1446.1508379888269,-1.1173184357541888,179,18,18,0.8770949720670391,1498.8435754189943,3.5155594816115077
learned_confidence,test,13,0.75,5,0.1,0.9596842580647891,0.8752997601918465,0.47961630695443347,-3.3500260994388853,0.11270983213429256,0.022727272727272728,0.8705035971223022,0.044444444444444446,1470.1199040767385,1519.369304556355,-0.23980815347721673,417,45,44,0.8776978417266187,1569.6354916067146,3.2024114719084174
learned_confidence,calibration,13,0.75,6,0.1,0.9596842580647891,0.8659217877094972,0.5586592178770999,1.9784274658510514,0.1005586592178771,0.1111111111111111,0.8603351955307262,0.1111111111111111,1477.6703910614526,1448.4357541899442,-1.1173184357541888,179,18,18,0.8770949720670391,1498.8435754189943,3.363114207228657
learned_confidence,test,13,0.75,6,0.1,0.9596842580647891,0.8752997601918465,0.47961630695443347,-3.526686676236457,0.11270983213429256,0.022727272727272728,0.8705035971223022,0.044444444444444446,1470.1199040767385,1521.9664268585132,-0.23980815347721673,417,45,44,0.8776978417266187,1569.6354916067146,3.036951254167064
learned_confidence,calibration,13,0.75,7,0.1,0.9596842580647891,0.8659217877094972,0.5586592178770999,1.5746513272061224,0.1005586592178771,0.1111111111111111,0.8603351955307262,0.1111111111111111,1477.6703910614526,1454.4022346368715,-1.1173184357541888,179,18,18,0.8770949720670391,1498.8435754189943,2.9650419504049563
learned_confidence,test,13,0.75,7,0.1,0.9596842580647891,0.8752997601918465,0.47961630695443347,-4.081625995041116,0.11270983213429256,0.022727272727272728,0.8705035971223022,0.044444444444444446,1470.1199040767385,1530.1247002398081,-0.23980815347721673,417,45,44,0.8776978417266187,1569.6354916067146,2.5171953347246423
learned_confidence,calibration,13,0.75,8,0.1,0.9596842580647891,0.8715083798882681,1.1173184357541888,0.5013175653962421,0.1005586592178771,0.05555555555555555,0.8603351955307262,0.05555555555555555,1477.6703910614526,1470.2625698324023,-0.5586592178770999,179,18,18,0.8770949720670391,1498.8435754189943,1.9068704736985187
learned_confidence,test,13,0.75,8,0.1,0.9596842580647891,0.8752997601918465,0.47961630695443347,-4.816488320501122,0.11270983213429256,0.022727272727272728,0.8705035971223022,0.044444444444444446,1470.1199040767385,1540.928057553957,-0.23980815347721673,417,45,44,0.8776978417266187,1569.6354916067146,1.8289236071855175
learned_confidence,calibration,13,0.8,4,0.1,0.9596842580647891,0.8715083798882681,1.1173184357541888,1.5345761673780767,0.1005586592178771,0.05555555555555555,0.8603351955307262,0.05555555555555555,1477.6703910614526,1454.9944134078212,-0.5586592178770999,179,18,18,0.8770949720670391,1498.8435754189943,2.9255329061883772
learned_confidence,test,13,0.8,4,0.1,0.9596842580647891,0.8729016786570744,0.23980815347721673,-3.7131345426073548,0.11270983213429256,0.045454545454545456,0.8705035971223022,0.06666666666666667,1470.1199040767385,1524.707434052758,-0.47961630695443347,417,45,44,0.8776978417266187,1569.6354916067146,2.8623242653596837
