avg_confidence,avg_source_candidate_cost,dataset,dense_query_rate,evidence_recall@10,fold,history_epochs,history_feedback_updates,history_queries,hit@10,method,mrr@10,ndcg@10,seed,selected_cluster_hit_rate,test_feedback_updates,test_queries
0.4484234999299147,300.0,lotte_technology_search_100k,1.0,0.6903158068783068,0,1,5712,476,0.8416666666666667,learned_full_frozen,0.6581812169312169,0.6219572905732683,13,0.5333333333333333,0,120
0.42451617856085994,214.0,lotte_technology_search_100k,0.8333333333333334,0.5759325396825398,0,1,5712,476,0.7833333333333333,learned_gated_frozen,0.6346527777777777,0.5425111274718883,13,0.3333333333333333,0,120
0.0,300.0,lotte_technology_search_100k,1.0,0.6704133597883596,0,0,0,476,0.825,static_nearest_full,0.655922619047619,0.6162322460577836,13,0.8583333333333333,0,120
0.4170871945718924,190.33333333333334,lotte_technology_search_100k,0.9833333333333333,0.6346147486772487,0,0,0,476,0.7916666666666666,static_nearest_gated,0.6500099206349207,0.6003049018166856,13,0.8583333333333333,0,120
0.0,300.0,lotte_technology_search_100k,1.0,0.7006233465608465,0,0,0,476,0.85,cold_no_feedback_full,0.6588161375661375,0.6245547757080574,13,0.16666666666666666,0,120
0.0,300.0,lotte_technology_search_100k,1.0,0.7006233465608465,0,0,0,476,0.85,cold_no_feedback_gated,0.6588161375661375,0.6245547757080574,13,0.16666666666666666,0,120
0.4338888183789093,300.0,lotte_technology_search_100k,1.0,0.756300095795894,1,1,5724,477,0.9327731092436975,learned_full_frozen,0.7570228091236495,0.6821485524829428,13,0.5126050420168067,0,119
0.4337150863112415,207.05882352941177,lotte_technology_search_100k,0.8571428571428571,0.6637750554767362,1,1,5724,477,0.8739495798319328,learned_gated_frozen,0.7231192476990796,0.6187630132195756,13,0.5714285714285714,0,119
0.0,300.0,lotte_technology_search_100k,1.0,0.7439454569706669,1,0,0,477,0.9327731092436975,static_nearest_full,0.7565426170468188,0.6787689151110555,13,0.9243697478991597,0,119
0.41905097387918905,193.109243697479,lotte_technology_search_100k,0.9663865546218487,0.7309402548898349,1,0,0,477,0.9159663865546218,static_nearest_gated,0.7574096305188741,0.6740472432413913,13,0.9243697478991597,0,119
0.0,300.0,lotte_technology_search_100k,1.0,0.7519583591012161,1,0,0,477,0.9327731092436975,cold_no_feedback_full,0.7568327330932372,0.6799274124925079,13,0.13445378151260504,0,119
0.0,300.0,lotte_technology_search_100k,1.0,0.7519583591012161,1,0,0,477,0.9327731092436975,cold_no_feedback_gated,0.7568327330932372,0.6799274124925079,13,0.13445378151260504,0,119
0.4330145108992638,300.0,lotte_technology_search_100k,1.0,0.693642284500007,2,1,5724,477,0.865546218487395,learned_full_frozen,0.6939975990396159,0.6386994522207758,13,0.3949579831932773,0,119
0.41383158124191005,213.94957983193277,lotte_technology_search_100k,0.865546218487395,0.5696040485159584,2,1,5724,477,0.7899159663865546,learned_gated_frozen,0.6567426970788315,0.552638233893947,13,0.37815126050420167,0,119
