selector,margin_pp,seed,budget_ratio,min_keep,target_coverage,score_threshold,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,choice_label,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
geometry_feedback,0.0,13,0.85,4,0.2,0.9301249198330068,0.8705035971223022,3,dense_top10,1470.1199040767385,quality_constraint,-0.007116697819532106,-0.023275543917754278,-0.014524027889197823,0.0,-0.016786570743405275,-0.007194244604316547,3,414,0,0.25,0.8633093525179856,geometry_feedback,0,geometry_feedback:r0.85:m4:c0.20,1393.7362110311751,-0.0009582809942522173,-0.0073815693037557134,False,0.0,417,100k,-55.59790167865709,-99.61342925659471,-76.38369304556355,0,81,3,0.19424460431654678,0.9480425420853452,99.40425659472422,56.18225419664269,76.38369304556355,5.1957457914654785,3.5995275205016976e-12
geometry_feedback,0.0,17,0.85,4,0.2,0.893437709139039,0.8705035971223022,1,dense_top10,1470.1199040767385,quality_constraint,-0.003640762043298637,-0.015190600542405305,-0.008837148821023792,0.0,-0.007194244604316547,-0.002398081534772182,1,416,0,1.0,0.86810551558753,geometry_feedback,0,geometry_feedback:r0.85:m4:c0.20,1389.0191846522782,-0.00034258307639602604,-0.004954398789995597,False,0.0,417,100k,-57.64976019184654,-112.48621103117506,-81.10071942446044,0,86,1,0.20623501199040767,0.9448339423202402,112.73543165467623,56.93729016786571,81.10071942446044,5.51660576797598,8.546701401674849e-13
geometry_feedback,0.0,19,0.85,4,0.2,0.9159969741897146,0.8705035971223022,1,dense_top10,1470.1199040767385,quality_constraint,-0.00650121569411138,-0.020890342323842077,-0.01303175850124498,0.0,-0.007194244604316547,-0.002398081534772182,1,416,0,1.0,0.86810551558753,geometry_feedback,0,geometry_feedback:r0.85:m4:c0.20,1392.832134292566,-0.0003159377260096685,-0.006393589605354293,False,0.0,417,100k,-57.572661870503595,-101.74502398081535,-77.28776978417267,0,90,1,0.2158273381294964,0.9474275740571578,101.24754196642684,57.395143884892086,77.28776978417267,5.257242594284217,1.214178174878085e-13
geometry_no_feedback,0.0,13,0.8,4,0.3,0.4797106683254242,0.8705035971223022,9,dense_top10,1470.1199040767385,quality_constraint,-0.011562821171634121,-0.031524637432910806,-0.020413193254919873,-0.009592326139088728,-0.03597122302158273,-0.02158273381294964,9,408,0,0.00390625,0.8489208633093526,geometry_no_feedback,0,geometry_no_feedback:r0.80:m4:c0.30,1376.0935251798562,-0.00247040462867801,-0.008240230516088286,False,0.0,417,100k,-75.65635491606714,-115.40263788968825,-94.02637889688249,0,110,9,0.2637889688249401,0.9360416938535823,114.69214628297361,75.90503597122303,94.02637889688249,6.395830614641773,5.842621132337589e-20
geometry_no_feedback,0.0,17,0.8,4,0.3,0.49632132053375244,0.8705035971223022,7,dense_top10,1470.1199040767385,quality_constraint,-0.008015873015873018,-0.02645940390544707,-0.01648966541052872,-0.007194244604316547,-0.03117505995203837,-0.016786570743405275,7,410,0,0.015625,0.8537170263788969,geometry_no_feedback,0,geometry_no_feedback:r0.80:m4:c0.30,1394.3333333333333,-0.001964142971337216,-0.006615829720543684,False,0.0,417,100k,-59.8420263788969,-95.17098321342925,-75.78657074340528,0,95,7,0.2278177458033573,0.948448714602636,95.64370503597122,58.35887290167866,75.78657074340528,5.155128539736397,4.728782640720179e-16
geometry_no_feedback,0.0,19,0.8,4,0.3,0.49649640917778015,0.8705035971223022,6,dense_top10,1470.1199040767385,quality_constraint,-0.009355301473107229,-0.028620532145712002,-0.01822827452323855,-0.004796163069544364,-0.026378896882494004,-0.014388489208633094,6,411,0,0.03125,0.8561151079136691,geometry_no_feedback,0,geometry_no_feedback:r0.80:m4:c0.30,1390.4244604316548,-0.0016976894674736401,-0.007362223960166664,False,0.0,417,100k,-64.23417266187053,-95.27350119904077,-79.69544364508393,0,98,6,0.23501199040767387,0.9457898342685633,95.35833333333333,64.30047961630697,79.69544364508393,5.421016573143667,1.6808022255886174e-16
random_feedback,0.0,13,0.85,4,0.3,0.6201407551366837,0.8705035971223022,0,dense_top10,1470.1199040767385,quality_constraint,-0.004816609766374093,-0.012869795595080884,-0.008574501795786837,0.0,0.0,0.0,0,417,0,1.0,0.8705035971223022,random_feedback,0,random_feedback:r0.85:m4:c0.30,1362.947242206235,2.6645350386357552e-05,-0.006126865070517035,True,0.0,417,100k,-82.33309352517985,-136.5841726618705,-107.1726618705036,0,120,0,0.28776978417266186,0.9270993736134673,136.5079736211031,82.88057553956835,107.1726618705036,7.290062638653271,3.397225497034537e-20
random_feedback,0.0,17,0.85,4,0.3,0.5799361993103358,0.8705035971223022,4,dense_top10,1470.1199040767385,quality_constraint,-0.010702709962198922,-0.023122491109963197,-0.016658986588904724,-0.002398081534772182,-0.019184652278177457,-0.009592326139088728,4,413,0,0.125,0.8609112709832134,random_feedback,0,random_feedback:r0.85:m4:c0.30,1327.9208633093526,-0.0010991207034372502,-0.009589169310974508,False,0.0,417,100k,-108.91324940047964,-185.16450839328536,-142.1990407673861,0,147,4,0.35251798561151076,0.9032738483622603,180.76654676258988,108.46888489208632,142.1990407673861,9.672615163773967,1.0929316902100106e-27
random_feedback,0.0,19,0.85,4,0.3,0.6163558873067024,0.8705035971223022,4,dense_top10,1470.1199040767385,quality_constraint,-0.007961290580910404,-0.017854887011423848,-0.012481376296186517,-0.002398081534772182,-0.02158273381294964,-0.009592326139088728,4,413,0,0.125,0.8609112709832134,random_feedback,0,random_feedback:r0.85:m4:c0.30,1352.5179856115108,-0.001045830002664535,-0.008185632326102203,False,0.0,417,100k,-88.55797362110312,-153.7119304556355,-117.60191846522781,0,121,4,0.290167865707434,0.9200052198877724,156.33093525179845,87.22829736211033,117.60191846522781,7.99947801122276,2.218970572151118e-21
random_no_feedback,0.0,13,0.8,7,0.4,0.30757302045822144,0.8705035971223022,5,dense_top10,1470.1199040767385,quality_constraint,-0.008606805032164749,-0.02055297428723687,-0.014232899394769898,-0.002398081534772182,-0.023980815347721823,-0.011990407673860911,5,412,0,0.0625,0.8585131894484412,random_no_feedback,0,random_no_feedback:r0.80:m7:c0.40,1330.599520383693,-0.0012856381561417534,-0.007511370698401763,False,0.0,417,100k,-113.96270983213435,-169.41492805755394,-139.52038369304557,0,158,5,0.37889688249400477,0.9050959154378182,167.64550359712226,113.29376498800958,139.52038369304557,9.49040845621818,1.2196066485747126e-30
