field,n,unanimous_rate,majority_positive_rate,all_positive_rate,all_negative_rate
is_correct,2072,0.8653474903474904,0.888996138996139,0.8151544401544402,0.05019305019305019
is_faithful,2072,0.8918918918918919,0.9531853281853282,0.8764478764478765,0.015444015444015444
