selector,seed,target_coverage,score_threshold,actual_coverage,action,selected_examples,selective_risk,selective_risk_ci_high,selective_risk_ci_low,test_examples
geometry_feedback,13,0.1,0.9597794220205227,0.12121212121212122,token_budget_r0.85_m4,44,0.06818181818181818,0.1590909090909091,0.0,363
geometry_feedback,13,0.2,0.9413889763770957,0.19559228650137742,token_budget_r0.85_m4,71,0.04225352112676056,0.08450704225352113,0.0,363
geometry_feedback,13,0.3,0.9034758887215997,0.2644628099173554,token_budget_r0.85_m4,96,0.03125,0.07291666666666667,0.0,363
geometry_feedback,13,0.4,0.8296936810041161,0.3884297520661157,token_budget_r0.85_m4,141,0.02127659574468085,0.04964539007092199,0.0,363
geometry_feedback,13,0.5,0.7934039107641168,0.4628099173553719,token_budget_r0.85_m4,168,0.017857142857142856,0.041666666666666664,0.0,363
geometry_feedback,13,0.6,0.7346935322295134,0.5371900826446281,token_budget_r0.85_m4,195,0.020512820512820513,0.041025641025641026,0.005128205128205128,363
geometry_feedback,13,0.7,0.6702804770912353,0.6584022038567493,token_budget_r0.85_m4,239,0.016736401673640166,0.03347280334728033,0.0041841004184100415,363
geometry_feedback,13,0.8,0.5966223003900266,0.7327823691460055,token_budget_r0.85_m4,266,0.018796992481203006,0.03759398496240601,0.0037593984962406013,363
geometry_feedback,13,0.9,0.420658228891049,0.9035812672176309,token_budget_r0.85_m4,328,0.024390243902439025,0.042682926829268296,0.009146341463414634,363
geometry_feedback,13,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
geometry_feedback,17,0.1,0.9567767894454435,0.08264462809917356,token_budget_r0.85_m4,30,0.03333333333333333,0.1,0.0,363
geometry_feedback,17,0.2,0.893437709139039,0.21212121212121213,token_budget_r0.85_m4,77,0.012987012987012988,0.03896103896103896,0.0,363
geometry_feedback,17,0.3,0.8347021625119729,0.30578512396694213,token_budget_r0.85_m4,111,0.036036036036036036,0.07207207207207207,0.009009009009009009,363
geometry_feedback,17,0.4,0.791759711984549,0.3884297520661157,token_budget_r0.85_m4,141,0.03546099290780142,0.07092198581560284,0.0070921985815602835,363
geometry_feedback,17,0.5,0.7399388627559204,0.48484848484848486,token_budget_r0.85_m4,176,0.028409090909090908,0.056818181818181816,0.005681818181818182,363
geometry_feedback,17,0.6,0.6463374861324931,0.6033057851239669,token_budget_r0.85_m4,219,0.0273972602739726,0.0547945205479452,0.0091324200913242,363
geometry_feedback,17,0.7,0.5750362256746807,0.71900826446281,token_budget_r0.85_m4,261,0.03065134099616858,0.05363984674329502,0.011494252873563218,363
geometry_feedback,17,0.8,0.47332252423328725,0.8429752066115702,token_budget_r0.85_m4,306,0.026143790849673203,0.0457516339869281,0.00980392156862745,363
geometry_feedback,17,0.9,0.3735660697563958,0.9090909090909091,token_budget_r0.85_m4,330,0.024242424242424242,0.04242424242424243,0.00909090909090909,363
geometry_feedback,17,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
geometry_feedback,19,0.1,0.9565797776955347,0.14049586776859505,token_budget_r0.85_m4,51,0.0196078431372549,0.058823529411764705,0.0,363
geometry_feedback,19,0.2,0.9270337247780787,0.2231404958677686,token_budget_r0.85_m4,81,0.012345679012345678,0.037037037037037035,0.0,363
geometry_feedback,19,0.3,0.8576500233304929,0.30578512396694213,token_budget_r0.85_m4,111,0.018018018018018018,0.04504504504504504,0.0,363
geometry_feedback,19,0.4,0.8128683645742619,0.3608815426997245,token_budget_r0.85_m4,131,0.015267175572519083,0.03816793893129771,0.0,363
geometry_feedback,19,0.5,0.7395826935924888,0.5344352617079889,token_budget_r0.85_m4,194,0.030927835051546393,0.05670103092783505,0.010309278350515464,363
geometry_feedback,19,0.6,0.6958950760085126,0.6115702479338843,token_budget_r0.85_m4,222,0.02702702702702703,0.04954954954954955,0.009009009009009009,363
geometry_feedback,19,0.7,0.6119323063577685,0.71900826446281,token_budget_r0.85_m4,261,0.03065134099616858,0.05363984674329502,0.011494252873563218,363
geometry_feedback,19,0.8,0.5285891952020131,0.8181818181818182,token_budget_r0.85_m4,297,0.026936026936026935,0.04713804713804714,0.010101010101010102,363
geometry_feedback,19,0.9,0.39871110370939983,0.9201101928374655,token_budget_r0.85_m4,334,0.023952095808383235,0.041916167664670656,0.008982035928143712,363
geometry_feedback,19,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
geometry_no_feedback,13,0.1,0.5948073267936707,0.05234159779614325,token_budget_r0.85_m4,19,0.05263157894736842,0.15789473684210525,0.0,363
geometry_no_feedback,13,0.2,0.5219599008560181,0.1790633608815427,token_budget_r0.85_m4,65,0.09230769230769231,0.16923076923076924,0.03076923076923077,363
geometry_no_feedback,13,0.3,0.45679858326911926,0.2892561983471074,token_budget_r0.85_m4,105,0.05714285714285714,0.10476190476190476,0.01904761904761905,363
geometry_no_feedback,13,0.4,0.43294793367385864,0.36363636363636365,token_budget_r0.85_m4,132,0.05303030303030303,0.09090909090909091,0.022727272727272728,363
geometry_no_feedback,13,0.5,0.3950536251068115,0.48760330578512395,token_budget_r0.85_m4,177,0.04519774011299435,0.07909604519774012,0.01694915254237288,363
geometry_no_feedback,13,0.6,0.35002318024635315,0.6418732782369146,token_budget_r0.85_m4,233,0.034334763948497854,0.060085836909871244,0.012875536480686695,363
geometry_no_feedback,13,0.7,0.33230775594711304,0.6887052341597796,token_budget_r0.85_m4,250,0.032,0.056,0.012,363
geometry_no_feedback,13,0.8,0.31251639127731323,0.7493112947658402,token_budget_r0.85_m4,272,0.029411764705882353,0.051470588235294115,0.011029411764705883,363
geometry_no_feedback,13,0.9,0.26188021898269653,0.9118457300275482,token_budget_r0.85_m4,331,0.02416918429003021,0.04229607250755287,0.00906344410876133,363
geometry_no_feedback,13,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
geometry_no_feedback,17,0.1,0.5921330451965332,0.07988980716253444,token_budget_r0.85_m4,29,0.13793103448275862,0.27586206896551724,0.034482758620689655,363
geometry_no_feedback,17,0.2,0.533852219581604,0.12947658402203857,token_budget_r0.85_m4,47,0.10638297872340426,0.19148936170212766,0.02127659574468085,363
geometry_no_feedback,17,0.3,0.4807283282279968,0.22038567493112948,token_budget_r0.85_m4,80,0.0625,0.125,0.0125,363
geometry_no_feedback,17,0.4,0.4161383807659149,0.4049586776859504,token_budget_r0.85_m4,147,0.04081632653061224,0.07482993197278912,0.013605442176870748,363
geometry_no_feedback,17,0.5,0.38031670451164246,0.5261707988980716,token_budget_r0.85_m4,191,0.03664921465968586,0.06282722513089005,0.015706806282722512,363
geometry_no_feedback,17,0.6,0.34453266859054565,0.6033057851239669,token_budget_r0.85_m4,219,0.0319634703196347,0.0593607305936073,0.0091324200913242,363
geometry_no_feedback,17,0.7,0.31900984048843384,0.6831955922865014,token_budget_r0.85_m4,248,0.03225806451612903,0.056451612903225805,0.012096774193548387,363
geometry_no_feedback,17,0.8,0.27341389656066895,0.7823691460055097,token_budget_r0.85_m4,284,0.028169014084507043,0.04929577464788732,0.01056338028169014,363
geometry_no_feedback,17,0.9,0.22537988424301147,0.9118457300275482,token_budget_r0.85_m4,331,0.02416918429003021,0.04229607250755287,0.00906344410876133,363
geometry_no_feedback,17,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
geometry_no_feedback,19,0.1,0.5750012993812561,0.07988980716253444,token_budget_r0.85_m4,29,0.06896551724137931,0.1724137931034483,0.0,363
geometry_no_feedback,19,0.2,0.5283980369567871,0.14600550964187328,token_budget_r0.85_m4,53,0.03773584905660377,0.09433962264150944,0.0,363
geometry_no_feedback,19,0.3,0.4803646206855774,0.24242424242424243,token_budget_r0.85_m4,88,0.045454545454545456,0.09090909090909091,0.011363636363636364,363
geometry_no_feedback,19,0.4,0.4389772415161133,0.36639118457300274,token_budget_r0.85_m4,133,0.045112781954887216,0.08270676691729323,0.015037593984962405,363
geometry_no_feedback,19,0.5,0.41284579038619995,0.45454545454545453,token_budget_r0.85_m4,165,0.03636363636363636,0.06666666666666667,0.012121212121212121,363
geometry_no_feedback,19,0.6,0.38640451431274414,0.5730027548209367,token_budget_r0.85_m4,208,0.038461538461538464,0.0673076923076923,0.014423076923076924,363
geometry_no_feedback,19,0.7,0.35412150621414185,0.6859504132231405,token_budget_r0.85_m4,249,0.0321285140562249,0.05622489959839357,0.012048192771084338,363
geometry_no_feedback,19,0.8,0.3054656982421875,0.8209366391184573,token_budget_r0.85_m4,298,0.026845637583892617,0.04697986577181208,0.010067114093959731,363
geometry_no_feedback,19,0.9,0.28302767872810364,0.8842975206611571,token_budget_r0.85_m4,321,0.024922118380062305,0.04361370716510903,0.009345794392523364,363
geometry_no_feedback,19,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
random_feedback,13,0.1,0.7630206311753939,0.14049586776859505,token_budget_r0.85_m4,51,0.0,0.0,0.0,363
random_feedback,13,0.2,0.6991155181357708,0.209366391184573,token_budget_r0.85_m4,76,0.0,0.0,0.0,363
random_feedback,13,0.3,0.6258459210016957,0.29201101928374656,token_budget_r0.85_m4,106,0.0,0.0,0.0,363
random_feedback,13,0.4,0.5985059335235449,0.31955922865013775,token_budget_r0.85_m4,116,0.0,0.0,0.0,363
random_feedback,13,0.5,0.5228477449159835,0.42699724517906334,token_budget_r0.85_m4,155,0.012903225806451613,0.03225806451612903,0.0,363
random_feedback,13,0.6,0.4449644292225314,0.5674931129476584,token_budget_r0.85_m4,206,0.019417475728155338,0.038834951456310676,0.0048543689320388345,363
random_feedback,13,0.7,0.41128381692071436,0.650137741046832,token_budget_r0.85_m4,236,0.01694915254237288,0.03389830508474576,0.00423728813559322,363
random_feedback,13,0.8,0.35414470362914097,0.7493112947658402,token_budget_r0.85_m4,272,0.014705882352941176,0.029411764705882353,0.003676470588235294,363
random_feedback,13,0.9,0.28513751936159204,0.8980716253443526,token_budget_r0.85_m4,326,0.024539877300613498,0.04294478527607362,0.009202453987730062,363
random_feedback,13,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
random_feedback,17,0.1,0.7781971325613761,0.10743801652892562,token_budget_r0.85_m4,39,0.05128205128205128,0.1282051282051282,0.0,363
random_feedback,17,0.2,0.6980922205207233,0.23140495867768596,token_budget_r0.85_m4,84,0.023809523809523808,0.05952380952380952,0.0,363
random_feedback,17,0.3,0.6067507344607213,0.3443526170798898,token_budget_r0.85_m4,125,0.032,0.064,0.008,363
random_feedback,17,0.4,0.5335816750705139,0.42699724517906334,token_budget_r0.85_m4,155,0.025806451612903226,0.05161290322580645,0.0064516129032258064,363
random_feedback,17,0.5,0.45972986523521264,0.5371900826446281,token_budget_r0.85_m4,195,0.020512820512820513,0.041025641025641026,0.005128205128205128,363
random_feedback,17,0.6,0.40600175927876986,0.6528925619834711,token_budget_r0.85_m4,237,0.016877637130801686,0.03375527426160337,0.004219409282700422,363
random_feedback,17,0.7,0.3644232639419264,0.743801652892562,token_budget_r0.85_m4,270,0.014814814814814815,0.02962962962962963,0.003703703703703704,363
