scale,corpus_chunks,queries,gt_refs,bm25_recall@10,bm25_mrr@10,bm25_ndcg@10,dense_recall@10,dense_mrr@10,dense_ndcg@10,hybrid_recall@10,hybrid_mrr@10,hybrid_ndcg@10,full_recall@10,full_mrr@10,full_ndcg@10,full_last_true_reward,full_reward_gain,full_avg_source_cost,full_dense_query_rate,gated_recall@10,gated_mrr@10,gated_ndcg@10,gated_last_true_reward,gated_reward_gain,gated_avg_source_cost,gated_dense_query_rate,gated_dense_saved_rate,full_minus_dense_recall@10,gated_minus_dense_recall@10,gated_cost_reduction_vs_full,task20s_recall@10,task20s_avg_source_cost,task20s_dense_query_rate,note
100k,101311,596,2045,0.7231543624161074,0.554491584105678,0.47680228191726587,0.8674496644295302,0.7080929743261957,0.6486573605022944,0.8624161073825504,0.6973387397464578,0.6216229334052185,0.8825503355704698,0.7105256382940945,0.6573081162087393,0.5671140939597316,0.28803131991051456,300.0,1.0,0.8439597315436241,0.6949526827882532,0.5889312364469573,0.5922818791946308,0.2930648769574944,191.68158090976885,0.8219612229679344,0.1780387770320656,0.015100671140939603,-0.023489932885906062,0.36106139696743716,0.8747203579418344,227.2874720357942,0.8944817300521999,100k reference; Task20-S is the optimized conditional fallback point.
200k,201010,596,2045,0.6291946308724832,0.4572174283583679,0.38321643525650606,0.7969798657718121,0.6278636678385,0.5643164326791772,0.8003355704697986,0.6045461808884626,0.5323020395964126,0.8299776286353469,0.6325709758176202,0.5720138632800382,0.5078299776286354,0.2874720357941834,300.0,1.0,0.8154362416107382,0.630463451226874,0.5471611317182951,0.5676733780760627,0.3394854586129754,232.00782997762863,0.9026845637583892,0.09731543624161072,0.03299776286353473,0.01845637583892612,0.2266405667412379,,,,Nested scale-up; static baselines degrade from 100k.
400k,400674,596,2045,0.5721476510067114,0.3713506711409396,0.31672931153909084,0.7718120805369127,0.5875519335250878,0.5173615467977577,0.761744966442953,0.5436234952594012,0.4724714565415254,0.8003355704697986,0.5920388569297966,0.5250930242229411,0.5536912751677853,0.2863534675615213,300.0,1.0,0.7835570469798657,0.5860005859166932,0.5083582138987968,0.4983221476510067,0.23657718120805368,233.21588366890379,0.9140566741237882,0.08594332587621183,0.028523489932885893,0.011744966442952975,0.22261372110365404,,,,Canonical scale-store run; standalone BM25 is evaluated from shared BM25 ranking artifact.
638k,638509,596,2045,0.5083892617449665,0.29098354106743357,0.24511112474540425,0.7281879194630873,0.5102269095557684,0.43032490854493166,0.7181208053691275,0.46747962607861926,0.3954437114204017,0.761185682326622,0.5153468005397535,0.43575302641774644,0.5033557046979865,0.2220357941834452,300.0,1.0,0.7343400447427292,0.5088975000887751,0.42330488873205213,0.4636465324384787,0.1946308724832215,236.2248322147651,0.9146159582401193,0.08538404175988068,0.03299776286353473,0.006152125279641929,0.2125838926174497,,,,Full LoTTE technology/search corpus in current processed setup.
