selector,seed,budget_ratio,min_keep,target_coverage,score_threshold,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,choice_label,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,saving_target_pct,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
geometry_feedback,13,0.88,7,0.2,0.9301249198330068,0.8705035971223022,2,dense_top10,1470.1199040767385,saving_target,-0.004006281390770353,-0.013054928053377568,-0.008118774423661547,0.0,-0.011990407673860911,-0.004796163069544364,2,415,0,0.5,0.8657074340527577,geometry_feedback,0,geometry_feedback:r0.88:m7:c0.20,1411.8705035971223,-0.000539568345323741,-0.004613520792738272,False,0.0,417,5.0,100k,-41.96876498800959,-77.02937649880096,-58.249400479616305,0,82,2,0.19664268585131894,0.9603777893775284,76.76510791366904,42.529196642685854,58.249400479616305,3.962221062247162,3.5995214108897298e-12
geometry_feedback,17,0.88,7,0.2,0.893437709139039,0.8705035971223022,0,dense_top10,1470.1199040767385,saving_target,-0.002001634026410757,-0.008556194005834293,-0.005027437969015742,0.0,0.0,0.0,0,417,0,1.0,0.8705035971223022,geometry_feedback,0,geometry_feedback:r0.88:m7:c0.20,1411.021582733813,0.0,-0.003112395672796173,True,0.0,417,5.0,100k,-45.1763788968825,-74.65845323741006,-59.09832134292566,0,87,0,0.20863309352517986,0.9598003392927053,74.68315347721821,45.1537170263789,59.09832134292566,4.019966070729475,8.546726903426559e-13
geometry_feedback,19,0.88,7,0.2,0.9159969741897146,0.8705035971223022,1,dense_top10,1470.1199040767385,saving_target,-0.0030973410926431275,-0.012546388176814869,-0.007253622389444766,0.0,-0.007194244604316547,-0.002398081534772182,1,416,0,1.0,0.86810551558753,geometry_feedback,0,geometry_feedback:r0.88:m7:c0.20,1411.2517985611512,-0.00023980815347721823,-0.003622467450247656,False,0.0,417,5.0,100k,-45.61378896882494,-73.44388489208633,-58.86810551558753,0,90,1,0.2158273381294964,0.9599569359258777,72.74676258992805,46.1158273381295,58.86810551558753,4.004306407412228,1.2141843779589633e-13
geometry_feedback,13,0.98,4,0.9,0.38951424724665046,0.8705035971223022,4,dense_top10,1470.1199040767385,saving_target,-0.00778317389378541,-0.019175809486759,-0.013238185388396254,-0.002398081534772182,-0.019184652278177457,-0.009592326139088728,4,413,0,0.125,0.8609112709832134,geometry_feedback,0,geometry_feedback:r0.98:m4:c0.90,1329.6235011990407,-0.0009592326139088729,-0.006716065720056895,False,0.0,417,10.0,100k,-120.82164268585132,-166.3699040767386,-140.49640287769785,0,377,4,0.9040767386091128,0.9044320109617643,164.34070743405275,120.02056354916067,140.49640287769785,9.556798903823571,2.424621978009702e-69
geometry_feedback,17,0.98,4,0.9,0.3354609640230188,0.8705035971223022,4,dense_top10,1470.1199040767385,saving_target,-0.0070107847145182865,-0.018965762715995288,-0.012467373466505196,-0.002398081534772182,-0.019184652278177457,-0.009592326139088728,4,413,0,0.125,0.8609112709832134,geometry_feedback,0,geometry_feedback:r0.98:m4:c0.90,1332.904076738609,-0.0009592326139088729,-0.006292886032891699,False,0.0,417,10.0,100k,-118.30119904076741,-161.96354916067145,-137.2158273381295,0,376,4,0.9016786570743405,0.9066635129844709,161.31570743405274,118.06258992805755,137.2158273381295,9.33364870155291,2.761567934648507e-69
geometry_feedback,19,0.98,4,0.9,0.38713739041778533,0.8705035971223022,4,dense_top10,1470.1199040767385,saving_target,-0.006915311608005731,-0.019057356928310166,-0.012638665004703209,-0.002398081534772182,-0.019184652278177457,-0.009592326139088728,4,413,0,0.125,0.8609112709832134,geometry_feedback,0,geometry_feedback:r0.98:m4:c0.90,1328.5635491606715,-0.0009592326139088729,-0.006445453870299257,False,0.0,417,10.0,100k,-122.50431654676264,-165.59538369304556,-141.55635491606714,0,381,4,0.9136690647482014,0.9037110139631999,165.82080335731413,122.37314148681055,141.55635491606714,9.628898603680014,1.49009811005444e-69
geometry_feedback,13,0.8,6,0.5,0.7541204010831316,0.8705035971223022,6,dense_top10,1470.1199040767385,saving_target,-0.01584858844526112,-0.035400999472104656,-0.024590087595545297,-0.004796163069544364,-0.026378896882494004,-0.014388489208633094,6,411,0,0.03125,0.8561151079136691,geometry_feedback,0,geometry_feedback:r0.80:m6:c0.50,1271.326139088729,-0.0017309961554565871,-0.01310222488522241,False,0.0,417,15.0,100k,-173.04220623501203,-228.44934052757793,-198.7937649880096,0,199,6,0.47721822541966424,0.8647771760407151,228.11294964028775,172.04760191846523,198.7937649880096,13.522282395928487,7.62726599685369e-41
geometry_feedback,17,0.8,6,0.5,0.709152257364208,0.8705035971223022,9,dense_top10,1470.1199040767385,saving_target,-0.016510034881484278,-0.036702101447667064,-0.025704434213489037,-0.009592326139088728,-0.03597122302158273,-0.02158273381294964,9,408,0,0.00390625,0.8489208633093526,geometry_feedback,0,geometry_feedback:r0.80:m6:c0.50,1266.9112709832134,-0.0025636633550302616,-0.012988221514737162,False,0.0,417,15.0,100k,-174.89532374100725,-235.93854916067147,-203.20863309352518,0,206,9,0.4940047961630695,0.8617741093566489,234.11648681055155,175.28896882494004,203.20863309352518,13.822589064335112,3.4408057337527248e-43
geometry_feedback,19,0.8,6,0.5,0.7292100693809664,0.8705035971223022,9,dense_top10,1470.1199040767385,saving_target,-0.018934737901573056,-0.039968300065127776,-0.028861908234272416,-0.009592326139088728,-0.03597122302158273,-0.02158273381294964,9,408,0,0.00390625,0.8489208633093526,geometry_feedback,0,geometry_feedback:r0.80:m6:c0.50,1263.6570743405275,-0.0024770659662745995,-0.014557566731484813,False,0.0,417,15.0,100k,-179.73435251798563,-237.2369304556355,-206.46282973621103,0,212,9,0.5083932853717026,0.85956055069816,235.66157074340524,179.6257793764988,206.46282973621103,14.043944930184004,1.422297907436466e-44
geometry_feedback,13,0.88,4,0.9,0.38951424724665046,0.8705035971223022,7,dense_top10,1470.1199040767385,saving_target,-0.015251924001924006,-0.030238913026915382,-0.022294576639032112,-0.004796163069544364,-0.03117505995203837,-0.016786570743405275,7,410,0,0.015625,0.8537170263788969,geometry_feedback,0,geometry_feedback:r0.88:m4:c0.90,1200.9520383693045,-0.0017918998134825474,-0.011574480248724053,False,0.0,417,20.0,100k,-238.04544364508394,-307.5791366906475,-269.16786570743403,0,374,7,0.8968824940047961,0.8169075427378312,304.7380095923261,239.29094724220624,269.16786570743403,18.309245726216883,2.4260916443020886e-69
