dataset,task_type,scope,query_split,corpus_scope,num_queries,num_skipped_no_gt,gt_query_coverage,num_seeds,global_recall@1_mean,manifold_recall@1_mean,delta_recall@1_mean,global_recall@5_mean,manifold_recall@5_mean,delta_recall@5_mean,global_recall@10_mean,manifold_recall@10_mean,delta_recall@10_mean,relative_recall@10_pct,global_mrr@10_mean,manifold_mrr@10_mean,delta_mrr@10_mean,relative_mrr@10_pct,global_ndcg@10_mean,manifold_ndcg@10_mean,delta_ndcg@10_mean,global_avg_feedback_reward_mean,manifold_avg_feedback_reward_mean,delta_avg_feedback_reward_mean,avg_local_boost_norm_mean,cross_arm_update_weight_mean,winner_recall@10,winner_mrr@10,interpretation,notes
cuad,evidence_retrieval,smoke_only,test,gt_anchored_10000,79,21,1.0,3,0.0211,0.0084,-0.0127,0.0338,0.0127,-0.0211,0.0464,0.0295,-0.0169,-36.36,0.0275,0.0120,-0.0155,-56.33,0.0155,0.0042,-0.0113,0.0367,0.0233,-0.0133,0.0098,53.0610,global,global,global remains stronger on CUAD smoke sample,Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors.
emanual,evidence_retrieval,heldout_test,test,full,130,2,1.0,3,0.0000,0.0000,0.0000,0.0205,0.0410,0.0205,0.1154,0.0923,-0.0231,-20.00,0.0182,0.0193,0.0012,6.39,0.0138,0.0159,0.0021,0.1136,0.0909,-0.0227,0.0190,68.5486,global,manifold_local,global has better recall; manifold has offsetting rank-quality signal,
pubmedqa,evidence_retrieval,full,train,full,1000,0,1.0,3,0.3927,0.4803,0.0877,0.5387,0.6530,0.1143,0.5480,0.6607,0.1127,20.56,0.4637,0.5654,0.1016,21.91,0.3440,0.4389,0.0949,0.5480,0.6607,0.1127,0.1182,547.7517,manifold_local,manifold_local,manifold-local improves both recall and MRR,"GT is abstract context section-level, not strict answer-supporting sentence evidence."
banking77,intent_retrieval_proxy,heldout_test,test,full,3080,0,1.0,3,0.5570,0.7123,0.1553,0.6790,0.7966,0.1176,0.7215,0.8247,0.1031,14.29,0.6094,0.7490,0.1395,22.90,0.4602,0.6406,0.1805,0.7215,0.8247,0.1031,0.1930,2214.1367,manifold_local,manifold_local,manifold-local improves both recall and MRR,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions.
