dataset,role,queries,corpus_chunks,dense_hit@10,trust_weighted_hit@10,hit_delta_pp_vs_dense,no_feedback_hit@10,hit_delta_pp_vs_no_feedback,selected_cluster_hit_last,selected_cluster_hit_gain_vs_no_feedback,last_true_reward,last_true_reward_gain_vs_no_feedback,nearest_cluster_hit@3,cluster_label_purity,pca_var@64,scope,pooling_decision,caveat,source_dense,source_trust,source_geometry
Banking77,intent-routing mechanism,3080,10003,0.9805194805194806,0.9844155844155845,0.3896103896103953,0.9854978354978355,-0.10822510822510178,0.9982683982683983,0.5593073593073593,0.9805194805194805,0.8145021645021644,0.9967532467532467,0.6389083275017495,0.8223497730909004,"dataset=banking77|query_scope=split_test|corpus_scope=full|top_k=10|ks=1,5,10",not pooled with common evidence retrieval,"intent proxy, not evidence retrieval",paper/experiments/results/dense_banking77_metrics.json,paper/experiments/results/linucb_trust_banking77_heldout-test_test_corpus-full_q3080_prequential_metrics.json,paper/experiments/results/manifold_diagnostics_banking77.json
CUAD GT-anchored,sparse-GT boundary,79,10000,0.0759493670886076,0.08860759493670885,1.265822784810125,0.06751054852320675,2.10970464135021,0.29000000000000004,0.04666666666666672,0.023333333333333334,0.01,0.6075949367088608,0.0524,0.6235366524212196,"dataset=cuad|query_scope=split_test_first_100|corpus_scope=gt_anchored_10000|top_k=10|ks=1,5,10",not pooled with common evidence retrieval,GT-anchored 10k sample; 79 evaluated queries,paper/experiments/results/dense_cuad_metrics.json,paper/experiments/results/linucb_trust_cuad_prequential_metrics.json,paper/experiments/results/manifold_diagnostics_cuad.json
