dataset,method,model,protocol,task_type,scope,query_split,corpus_scope,corpus_sampling,online_learning_scope,manifold_neighbor_engine,fusion,num_queries,num_skipped_no_gt,num_queries_with_gt,num_queries_with_gt_in_corpus,num_queries_gt_missing_from_corpus,num_gt_refs,num_gt_refs_in_corpus,num_gt_refs_missing_from_corpus,gt_query_coverage,gt_ref_coverage,gt_corpus_guardrail,num_corpus_chunks,num_total_corpus_chunks,num_total_queries,max_queries,max_corpus,top_k,metric_ks,num_seeds,seeds,n_clusters_requested,n_effective_arms_mean,context_dim_requested,candidate_arms,alpha,alpha_decay,alpha_min,arm_neighbor_k,arm_decay_sigma,propagation_strength,feedback_k,feedback_tau,feedback_weight,dense_depth,bm25_depth,cluster_depth,dense_weight,bm25_weight,cluster_weight,rrf_k,dense_floor_k,total_feedback_updates_mean,total_update_weight_mean,cross_arm_update_weight_mean,propagated_updates_mean,avg_feedback_reward_mean,avg_local_boost_norm_mean,avg_selected_candidate_chunks_mean,avg_union_candidate_chunks_mean,bm25_fallback_hit_rate_mean,bm25_rescue_on_cluster_miss_rate_mean,cluster_local_hit_rate_mean,dense_fallback_hit_rate_mean,dense_rescue_on_cluster_miss_rate_mean,mrr@10_mean,mrr@10_std,mrr@1_mean,mrr@1_std,mrr@5_mean,mrr@5_std,ndcg@10_mean,ndcg@10_std,ndcg@1_mean,ndcg@1_std,ndcg@5_mean,ndcg@5_std,recall@10_mean,recall@10_std,recall@1_mean,recall@1_std,recall@5_mean,recall@5_std,selected_cluster_hit_rate_mean,selected_cluster_miss_rate_mean,soft_fused_hit_rate_mean,soft_rescue_on_cluster_miss_rate_mean,elapsed_sec,notes
banking77,linucb_soft_manifold,sentence-transformers/all-MiniLM-L6-v2,prequential,intent_retrieval_proxy,heldout_test,test,full,first,soft_routing_dense_bm25_manifold_feedback,cpu_exact_numpy,weighted_rrf,3080,0,3080,3080,0,400120,400120,0,1.0,1.0,pass,10003,10003,3080,,,10,"1,5,10",3,13|17|19,77,77.0,64,3,1.0,0.01,0.3,4,0.75,0.25,16,0.75,0.35,100,100,100,2.0,0.8,0.8,60,5,36960.0,11444.19035502723,2204.1903550275815,27720.0,0.744047619047619,0.16200088586577485,432.95367965367967,200.4994588744589,0.9698051948051948,0.9631378767151682,0.7993506493506493,0.9805194805194807,0.9682740538075696,0.9419727032227033,0.00012057177325905926,0.9204545454545454,0.0,0.9401461038961041,0.0,0.8694383801558209,0.0010686280406043555,0.9204545454545454,0.0,0.8996290465746148,0.0,0.9831168831168832,0.0007013788634640673,0.9204545454545454,0.0,0.9701298701298701,1.1102230246251565e-16,0.882900432900433,0.11709956709956709,0.9831168831168832,0.9698669319736352,295.363,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions.
cuad,linucb_soft_manifold,sentence-transformers/all-MiniLM-L6-v2,prequential,evidence_retrieval,smoke_only,test,gt_anchored_10000,gt_anchored,soft_routing_dense_bm25_manifold_feedback,cpu_exact_numpy,weighted_rrf,79,21,79,79,0,1484,1484,0,1.0,1.0,pass,10000,675400,2550,100,10000,10,"1,5,10",3,13|17|19,32,32.0,64,3,1.0,0.01,0.3,4,0.75,0.25,16,0.75,0.35,100,100,100,2.0,0.8,0.8,60,5,1200.0,353.224915109731,53.224915109731,900.0,0.016666666666666666,0.006624613461925077,941.5566666666667,267.9566666666667,0.05063291139240506,0.046694011484823626,0.03375527426160337,0.0759493670886076,0.0865190046486191,0.0344266961355569,0.0020928149436713053,0.02531645569620253,0.0,0.028481012658227847,0.0,0.03644108689442316,0.002757769019573925,0.02531645569620253,0.0,0.028659090159146725,0.0,0.08438818565400845,0.01578758391043857,0.02531645569620253,0.0,0.0379746835443038,0.0,0.3713080168776371,0.6286919831223629,0.08438818565400845,0.0865190046486191,92.946,Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors.
emanual,linucb_soft_manifold,sentence-transformers/all-MiniLM-L6-v2,prequential,evidence_retrieval,heldout_test,test,full,first,soft_routing_dense_bm25_manifold_feedback,cpu_exact_numpy,weighted_rrf,130,2,130,130,0,861,861,0,1.0,1.0,pass,18812,18812,1318,,,10,"1,5,10",3,13|17|19,32,32.0,64,3,1.0,0.01,0.3,4,0.75,0.25,16,0.75,0.35,100,100,100,2.0,0.8,0.8,60,5,1584.0,464.2041142199335,68.20411421993428,1188.0,0.032828282828282825,0.009245076968806115,1722.39898989899,257.64141414141415,0.11538461538461538,0.10029694387576311,0.04871794871794872,0.1692307692307692,0.14128119293974437,0.03368437118437118,0.001113983794678381,0.0,0.0,0.026794871794871795,0.0,0.024772291031367966,0.0010290570744915656,0.0,0.0,0.01537723682334962,0.0,0.1435897435897436,0.009593993299420362,0.0,0.0,0.0846153846153846,1.3877787807814457e-17,0.2641025641025641,0.735897435897436,0.1435897435897436,0.11730666371567162,59.091,
pubmedqa,linucb_soft_manifold,sentence-transformers/all-MiniLM-L6-v2,prequential,evidence_retrieval,full,train,full,first,soft_routing_dense_bm25_manifold_feedback,cpu_exact_numpy,weighted_rrf,1000,0,1000,1000,0,3358,3358,0,1.0,1.0,pass,4348,4348,1000,,,10,"1,5,10",3,13|17|19,32,32.0,64,3,1.0,0.01,0.3,4,0.75,0.25,16,0.75,0.35,100,100,100,2.0,0.8,0.8,60,5,12000.0,3547.74270281669,547.7427028166235,9000.0,0.6596666666666667,0.1189094838647874,435.51099999999997,229.11433333333335,0.977,0.967442471675322,0.663,0.993,0.9863443424492474,0.8466257936507938,0.00012838512859617932,0.709,0.0,0.8459500000000001,0.0,0.7377922681841786,0.0010704667169787827,0.709,0.0,0.7131708037653425,1.1102230246251565e-16,0.992,0.0008164965809277268,0.709,0.0,0.987,0.0,0.6816666666666666,0.31833333333333336,0.992,0.9799504967728043,102.647,"GT is abstract context section-level, not strict answer-supporting sentence evidence."
