arm_count,route_mode,short_mode,num_queries,num_seeds,seeds,selected_policy,calibration_eligible,calibration_hit_delta_pp,calibration_token_saving_pct,test_baseline_hit@10,test_method_hit@10_mean,method_hit@10,test_hit_delta_pp_mean,test_hit_delta_pp_min,test_hit_delta_pp_max,test_hit_delta_ci_low_pp_min,test_hit_delta_ci_high_pp_max,test_token_saving_pct_mean,test_token_saving_pct_min,test_token_saving_pct_max,noninferior_seeds,full_top10_hit@10_mean,full_top10_evidence_recall@10_mean,last_route_true_reward_mean,selected_cluster_hit_rate_mean,avg_confidence_mean,dense_query_rate_mean,dense_saved_rate_mean,linucb_primary_rate_mean,hybrid_lite_rate_mean,full_dense_fallback_rate_mean,avg_source_candidate_cost_mean,n_effective_arms_mean,run_elapsed_sec_marker
8,static_nearest_ensemble,static,417,3,13|17|19,token_budget_r0.98_m4,1,0.18621973929236296,6.761596968629017,0.8585131894484412,0.8697042366107114,0.8697042366107114,1.1191047162270185,0.7194244604316548,1.6786570743405276,-0.9592326139088728,3.597122302158273,3.873311493874639,3.647877201340488,4.207124509471683,3,0.8803131991051454,0.720466885980512,0.912751677852349,0.947986577181208,0.0,1.0,0.0,0.0,0.0,0.0,300.0,8.0,135.069
8,full_multi_route,full,417,3,13|17|19,token_budget_r0.95_m4,0,-3.700743415417188e-15,9.80758992509055,0.8585131894484412,0.8729016786570744,0.8729016786570744,1.4388489208633095,1.1990407673860912,1.6786570743405276,-0.4796163069544364,3.357314148681055,6.228174866286529,5.960993482542354,6.366676980653918,3,0.883668903803132,0.7219463026719742,0.9088366890380314,0.9038031319910514,0.6930456850790262,1.0,0.0,0.0,0.0,0.0,300.0,8.0,295.555
8,gated_cost_aware,gated,417,3,13|17|19,token_budget_r0.85_m4,0,-1.1173184357541888,19.517825051301866,0.8585131894484412,0.8401278976818545,0.8401278976818545,-1.8385291766586729,-2.3980815347721824,-1.1990407673860912,-5.275779376498801,0.9592326139088728,16.900368520401237,15.816090147522765,18.01935427891315,0,0.8680089485458614,0.681641695077532,0.9088366890380314,0.9038031319910514,0.6930456850790262,0.4082774049217002,0.5917225950782997,0.5917225950782997,0.3478747203579418,0.060402684563758385,137.82997762863533,8.0,448.685
16,static_nearest_ensemble,static,417,3,13|17|19,token_budget_r0.85_m8,1,0.18621973929236296,13.278994608618715,0.8585131894484412,0.8665067945643485,0.8665067945643485,0.7993605115907274,0.7194244604316548,0.9592326139088728,-1.1990407673860912,2.6378896882494005,11.495293492965482,11.009280951375278,12.104037025577064,1,0.8797539149888142,0.7163486898386231,0.8825503355704698,0.9121923937360178,0.0,1.0,0.0,0.0,0.0,0.0,300.0,16.0,79.493
16,full_multi_route,full,417,3,13|17|19,token_budget_r0.85_m8,1,0.0,13.666289244981675,0.8585131894484412,0.8665067945643485,0.8665067945643485,0.7993605115907274,0.2398081534772182,1.4388489208633095,-1.6786570743405276,3.117505995203837,10.494563873868124,9.241823709400954,11.91265526234363,1,0.8808724832214766,0.7233881238075872,0.8383668903803132,0.7514914243102163,0.5894864467385406,1.0,0.0,0.0,0.0,0.0,300.0,16.0,179.94
16,gated_cost_aware,gated,417,3,13|17|19,token_budget_r0.85_m8,0,-2.9795158286778407,15.231589445190126,0.8585131894484412,0.841726618705036,0.841726618705036,-1.6786570743405276,-2.6378896882494005,-0.9592326139088728,-5.041966426858503,1.6786570743405276,11.94621664939483,10.858009138520119,13.59432632473343,0,0.8624161073825504,0.6646730394777726,0.8383668903803132,0.7514914243102163,0.5894864467385406,0.6088739746457867,0.39112602535421326,0.39112602535421326,0.459545115585384,0.1493288590604027,156.07009694258014,16.0,272.273
32,static_nearest_ensemble,static,417,3,13|17|19,token_budget_r0.98_m4,0,-0.18621973929236663,8.225543199786046,0.8585131894484412,0.8665067945643485,0.8665067945643485,0.7993605115907274,0.4796163069544364,0.9592326139088728,-1.4388489208633095,2.877697841726619,4.298749824689503,4.246907031683578,4.35479461249696,2,0.8763982102908278,0.7114546668317502,0.8562639821029082,0.8870246085011185,0.0,1.0,0.0,0.0,0.0,0.0,300.0,32.0,50.016
32,full_multi_route,full,417,3,13|17|19,token_budget_r0.98_m4,0,-0.5586592178770962,6.937310508069583,0.8585131894484412,0.8641087130295764,0.8641087130295764,0.5595523581135092,-0.2398081534772182,1.4388489208633095,-2.158273381294964,3.357314148681055,4.676929356827397,3.821414129507672,6.099986739159258,1,0.87751677852349,0.7169214241716269,0.6789709172259508,0.5766219239373602,0.5122618598365326,1.0,0.0,0.0,0.0,0.0,300.0,32.0,140.686
32,gated_cost_aware,gated,417,3,13|17|19,token_budget_r0.85_m4,0,-4.096834264432029,19.566814885911178,0.8585131894484412,0.8137490007993605,0.8137490007993605,-4.476418864908074,-5.995203836930456,-2.6378896882494005,-9.112709832134293,-0.2398081534772182,18.001891443374305,16.946044749607502,18.879999214172415,0,0.8383668903803132,0.61786176877157,0.6789709172259508,0.5766219239373602,0.5122618598365326,0.7376957494407158,0.26230425055928414,0.26230425055928414,0.4668158090976882,0.2708799403430276,178.0947054436987,32.0,224.929
64,static_nearest_ensemble,static,417,3,13|17|19,token_budget_r0.88_m4,1,0.0,16.86062642001785,0.8585131894484412,0.8537170263788969,0.8537170263788969,-0.4796163069544364,-0.7194244604316548,-0.2398081534772182,-2.877697841726619,1.9184652278177456,13.79918721414839,13.604312883807202,14.09954798541635,0,0.8786353467561522,0.7152552033988623,0.8271812080536912,0.8495525727069352,0.0,1.0,0.0,0.0,0.0,0.0,300.0,64.0,37.872
64,full_multi_route,full,417,3,13|17|19,token_budget_r0.85_m8,0,-3.700743415417188e-15,13.21325824891335,0.8585131894484412,0.8625099920063949,0.8625099920063949,0.3996802557953637,-0.2398081534772182,1.4388489208633095,-1.9184652278177456,3.357314148681055,11.191440154589753,10.239824760445371,12.19686291073817,1,0.8791946308724832,0.7212312409394975,0.4854586129753915,0.32550335570469796,0.3941554716321751,1.0,0.0,0.0,0.0,0.0,300.0,64.0,146.302
64,gated_cost_aware,gated,417,3,13|17|19,token_budget_r0.92_m4,0,-4.283054003724392,13.516195389456694,0.8585131894484412,0.820943245403677,0.820943245403677,-3.7569944044764187,-4.07673860911271,-3.357314148681055,-6.954436450839328,-0.9592326139088728,12.470756571892583,8.748225748623572,15.150592399409968,0,0.8366890380313198,0.6244777440710098,0.4854586129753915,0.32550335570469796,0.3941554716321751,0.8985831469052945,0.10141685309470543,0.10141685309470544,0.39690529455630125,0.5016778523489933,218.2401193139448,64.0,265.576
128,static_nearest_ensemble,static,417,3,13|17|19,token_budget_r0.85_m8,1,0.3724394785847296,13.588805322895503,0.8585131894484412,0.8665067945643485,0.8665067945643485,0.7993605115907274,0.0,1.4388489208633095,-2.158273381294964,3.117505995203837,10.514646134737783,9.546168190026217,11.060523459409543,2,0.8825503355704698,0.7199493564990558,0.8478747203579419,0.8691275167785234,0.0,1.0,0.0,0.0,0.0,0.0,300.0,128.0,34.353
128,full_multi_route,full,417,3,13|17|19,token_budget_r0.85_m8,0,-0.3724394785847296,14.136566662417556,0.8585131894484412,0.8705035971223022,0.8705035971223022,1.1990407673860912,0.9592326139088728,1.4388489208633095,-0.7194244604316548,3.357314148681055,10.23360362528467,10.037146725472779,10.60065059976656,3,0.883668903803132,0.7271410209004229,0.16331096196868009,0.12994034302759136,0.33509618840021754,1.0,0.0,0.0,0.0,0.0,300.0,128.0,229.897
128,gated_cost_aware,gated,417,3,13|17|19,token_budget_r0.88_m4,0,-3.538175046554933,18.23621598518308,0.8585131894484412,0.8273381294964028,0.8273381294964028,-3.117505995203837,-3.8369304556354913,-2.158273381294964,-6.474820143884892,0.4796163069544364,15.644736073797946,14.777651717933725,16.78298552276364,0,0.842841163310962,0.6473131351118219,0.16331096196868009,0.12994034302759136,0.33509618840021754,0.9502237136465325,0.049776286353467536,0.049776286353467564,0.28243847874720357,0.6677852348993288,245.85011185682325,128.0,392.793
