source_label,num_runs,hit@10_mean,hit@10_std,evidence_recall@10_mean,mrr@10_mean,ndcg@10_mean,avg_context_tokens@10_mean,median_context_tokens@10_mean,p95_context_tokens@10_mean,context_token_ratio_vs_baseline@10_mean,context_token_delta_vs_baseline@10_mean,hit_delta_vs_baseline@10_mean
dense,1,0.8674496644295302,0.0,0.7025930894139937,0.7080929743261957,0.6486573605022944,1472.3875838926174,1312.0,2908.25,1.0,0.0,0.0
task19_D,3,0.8769574944071589,0.0015818943650705477,0.6889755428620855,0.7064590657291998,0.6320513444173492,1518.4395973154362,1354.3333333333333,2965.6666666666665,1.0312770998116332,46.052013422818845,0.009507829977628631
task19_E,3,0.8864653243847874,0.0039547359126764475,0.7166596627441921,0.7116375483825148,0.6507697998585772,1549.8344519015661,1381.1666666666667,2957.8333333333335,1.0525995117428246,77.44686800894867,0.019015659955257263
task20_S,3,0.8747203579418344,0.0007909471825353,0.6862390455786084,0.7070869287312239,0.6308304067511346,1516.2444071588366,1353.0,2954.5833333333335,1.0297861947125857,43.85682326621926,0.007270693512304249
task25_cluster,3,0.8763982102908278,0.0007909471825353,0.6829437870205345,0.7106803291786511,0.6294654554612698,1550.6515659955257,1392.0,3014.0,1.0531544703032596,78.26398210290836,0.008948545861297563
task26_B,3,0.8579418344519015,0.004185299090351179,0.650619263420843,0.7014783299598734,0.6083229257914343,1517.601230425056,1353.3333333333333,2950.5,1.0307077070107487,45.21364653243851,-0.009507829977628631
task26_E,3,0.866331096196868,0.0034476588383495496,0.6587845895811357,0.7096278985121265,0.6155464276589822,1530.3517897091724,1365.0,2956.0833333333335,1.0393674915835085,57.964205816554944,-0.0011185682326621722
task27_B,3,0.8534675615212528,0.004403807535800771,0.6446983719424997,0.6996338020666878,0.6087435186717103,1479.1728187919464,1320.8333333333333,2953.0,1.0046083211876797,6.785234899328922,-0.013982102908277394
task27_C,3,0.8534675615212528,0.008913522064043193,0.6352076312017588,0.7027664589325662,0.602644005687567,1494.2130872483222,1338.6666666666667,2991.0833333333335,1.0148232052446433,21.825503355704694,-0.01398210290827743
task27_F,1,0.8624161073825504,0.0,0.6597507322288914,0.7054923031852559,0.6171851119161454,1521.4530201342282,1369.5,3024.75,1.0333237231679815,49.06543624161077,-0.005033557046979831
