evidence_recall@10,hit@10,hit_delta_pp_vs_dense,method,mrr@10,ndcg@10,queries,seed
0.739533457780102,0.8976510067114094,0.5033557046979831,learned_full_frozen,0.7363761052519441,0.6713515072041496,596,13
0.7434210876744437,0.9043624161073825,1.1744966442952975,learned_full_frozen,0.7374620485778203,0.6725029735946466,596,17
0.7400135705085372,0.8993288590604027,0.6711409395973145,learned_full_frozen,0.7367263236390752,0.6708311551818653,596,19
0.6485942841647542,0.8422818791946308,-5.033557046979875,learned_gated_frozen,0.6970005060189621,0.6057052070866442,596,13
0.6536218488819164,0.8573825503355704,-3.523489932885915,learned_gated_frozen,0.7016465590710556,0.6069377050870013,596,17
0.6118395120911901,0.8104026845637584,-8.221476510067117,learned_gated_frozen,0.6788524022584423,0.5774731978585149,596,19
0.7485040965745665,0.9077181208053692,1.5100671140939603,static_nearest_full,0.7376524715031424,0.6742870968494997,596,13
0.744523676360925,0.9077181208053692,1.5100671140939603,static_nearest_full,0.7380246617662723,0.672562513441865,596,17
0.7434665446410417,0.9026845637583892,1.0067114093959662,static_nearest_full,0.7369966442953019,0.6723394827221187,596,19
0.7252857554451515,0.8909395973154363,-0.1677852348993314,static_nearest_gated,0.7321022424629806,0.6616573782256255,596,13
0.7186267032743546,0.8926174496644296,0.0,static_nearest_gated,0.7364433525087887,0.6588583169119805,596,17
0.7267778455697923,0.8926174496644296,0.0,static_nearest_gated,0.7389408224139766,0.6646440045811289,596,19
0.7490613227190411,0.9077181208053692,1.5100671140939603,cold_no_feedback_full,0.7380393096836048,0.674640037226321,596,13
0.7475878148696944,0.9010067114093959,0.8389261744966348,cold_no_feedback_full,0.7369207414509426,0.6738133576973516,596,17
0.7413618447175496,0.9043624161073825,1.1744966442952975,cold_no_feedback_full,0.7374880153403641,0.6719272590229634,596,19
0.7490613227190411,0.9077181208053692,1.5100671140939603,cold_no_feedback_gated,0.7380393096836048,0.674640037226321,596,13
0.7475878148696944,0.9010067114093959,0.8389261744966348,cold_no_feedback_gated,0.7369207414509426,0.6738133576973516,596,17
0.7413618447175496,0.9043624161073825,1.1744966442952975,cold_no_feedback_gated,0.7374880153403641,0.6719272590229634,596,19
