scale,method_label,method_run_id,num_queries,method_hit@10,baseline_hit@10,hit_delta_mean,hit_delta_ci_low,hit_delta_ci_high,noninferior_by_ci,token_ratio,token_saving_percent,token_saving_ci_low,token_saving_ci_high,token_saving_wilcoxon_p_greater,method_only_hits,baseline_only_hits,mcnemar_p_two_sided,baseline_run_id,baseline_tokens_mean,budget_ratio,budget_target_run_id,comparison,compressor,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_losses,hit_ties,hit_wins,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_margin,source_group,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_saving_mean
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:sent_mmr_r0.90_l0.70,417,0.8657074340527577,0.8705035971223022,-0.004796163069544364,-0.023980815347721823,0.014388489208633094,False,0.8331870677280439,16.681293227195614,197.26282973621105,295.2377098321342,2.302516451909026e-41,7,9,0.803619384765625,dense,1470.1199040767385,0.9,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_dense,sent_mmr,-0.011498956641523627,-0.051890091002284006,-0.03149777684942656,9,401,7,1224.8848920863309,0.014185794221765444,-0.021664107497885318,0.01,intentweight,-198.73729016786575,-294.37775779376494,-245.23501199040768,6,335,8,0.8177458033573142,245.23501199040768
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:sent_mmr_r0.90_l0.70,417,0.8776978417266187,0.8705035971223022,0.007194244604316547,-0.016786570743405275,0.02877697841726619,False,0.852791008743312,14.720899125668796,176.7300959232614,253.51798561151077,5.014009360933152e-37,14,11,0.6900379657745361,dense,1470.1199040767385,0.9,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_dense,sent_mmr,0.0031672316647353566,-0.04579493462253634,-0.02106850122230921,11,392,14,1253.705035971223,0.02047504853260249,-0.013592616226576188,0.01,intentweight,-176.16474820143887,-254.32194244604318,-216.41486810551558,11,319,11,0.7913669064748201,216.41486810551558
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:sent_mmr_r0.95_l0.70,417,0.86810551558753,0.8705035971223022,-0.002398081534772182,-0.023980815347721823,0.019184652278177457,False,0.885438144329897,11.456185567010301,126.84520383693047,211.57452038369303,1.9989844077389085e-28,10,11,1.0,dense,1470.1199040767385,0.95,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_dense,sent_mmr,-0.0026518714122596852,-0.047496487658358164,-0.02567624359983576,11,396,10,1301.7002398081536,0.027139240988161853,-0.015615304730447572,0.01,intentweight,-124.7180455635492,-211.98093525179857,-168.41966426858514,6,311,9,0.7601918465227818,168.41966426858514
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:sent_mmr_r0.95_l0.70,417,0.8657074340527577,0.8705035971223022,-0.004796163069544364,-0.023980815347721823,0.014388489208633094,False,0.8785821479838184,12.14178520161816,131.00611510791367,231.3386091127098,4.4956642464410545e-29,7,9,0.803619384765625,dense,1470.1199040767385,0.95,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_dense,sent_mmr,-0.010418141938158694,-0.052162063601842806,-0.03149777684942656,9,401,7,1291.621103117506,0.014185794221765444,-0.021664107497885318,0.01,intentweight,-130.04880095923264,-224.8342925659472,-178.49880095923263,4,313,8,0.7601918465227818,178.49880095923263
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:sent_mmr_r0.95_l0.70,417,0.8776978417266187,0.8705035971223022,0.007194244604316547,-0.014448441247002293,0.03117505995203837,False,0.899270846926791,10.072915307320896,105.15269784172662,188.20743405275778,2.142222320945942e-24,14,11,0.6900379657745361,dense,1470.1199040767385,0.95,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_dense,sent_mmr,0.0029488571405899586,-0.045710749022814884,-0.02106850122230921,11,392,14,1322.0359712230215,0.02047504853260249,-0.013592616226576188,0.01,intentweight,-105.30809352517991,-187.68986810551556,-148.08393285371702,8,296,11,0.7290167865707434,148.08393285371702
100k,dense_top10_sent_mmr,dense:sent_mmr_r0.85_l0.70,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.8484063030144853,15.159369698551473,211.83213429256594,235.0303956834532,2.2749229504418563e-70,0,0,1.0,dense,1470.1199040767385,0.85,dense,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1247.2589928057555,0.006368238742339462,-0.0028487267089264256,0.01,dense,-211.39172661870504,-235.16372901678656,-222.86091127098322,0,417,0,1.0,222.86091127098322
100k,dense_top10_sent_mmr,dense:sent_mmr_r0.90_l0.70,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.8978304841445909,10.216951585540912,142.71342925659474,157.9705035971223,2.272663072545563e-70,0,0,1.0,dense,1470.1199040767385,0.9,dense,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1319.9184652278177,0.006368238742339462,-0.0028487267089264256,0.01,dense,-142.5522182254197,-158.28609112709833,-150.20143884892087,0,417,0,1.0,150.20143884892087
100k,dense_top10_sent_mmr,dense:sent_mmr_r0.95_l0.70,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.9467489886467442,5.325101135325583,74.41888489208634,82.48717026378897,2.2619826848817315e-70,0,0,1.0,dense,1470.1199040767385,0.95,dense,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1391.8345323741007,0.006368238742339462,-0.0028487267089264256,0.01,dense,-74.23237410071943,-82.31918465227818,-78.28537170263789,0,417,0,1.0,78.28537170263789
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:sent_mmr_r0.85_l0.70,417,0.86810551558753,0.86810551558753,0.0,0.0,0.0,True,0.8479666831693524,15.203331683064757,197.77679856115108,222.08890887290167,2.2747093817802233e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,1375.6450839328538,0.85,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1166.5011990407675,0.017859997716112824,0.002213409257127611,0.01,intentweight,-197.56492805755394,-221.95887290167866,-209.14388489208633,0,417,0,1.0,209.14388489208633
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:sent_mmr_r0.85_l0.70,417,0.8657074340527577,0.8657074340527577,0.0,0.0,0.0,True,0.8481820241811248,15.181797581887524,196.0982613908873,221.00899280575538,2.274812481421129e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,1365.1966426858514,0.85,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1157.9352517985612,0.005195843325339727,-0.0023017065852786074,0.01,intentweight,-195.10305755395686,-220.29916067146283,-207.26139088729016,0,417,0,1.0,207.26139088729016
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:sent_mmr_r0.85_l0.70,417,0.8776978417266187,0.8776978417266187,0.0,0.0,0.0,True,0.8481909261332033,15.180907386679666,199.82452038369306,227.15377697841726,2.2745915592680074e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,1396.9016786570744,0.85,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1184.8393285371703,-0.005065471432377908,-0.002712272424390104,0.01,intentweight,-199.96852517985613,-227.50011990407674,-212.06235011990407,0,417,0,1.0,212.06235011990407
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:sent_mmr_r0.90_l0.70,417,0.86810551558753,0.86810551558753,0.0,0.0,0.0,True,0.897237659593755,10.276234040624498,133.9488009592326,149.94400479616306,2.2724864980025402e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,1375.6450839328538,0.9,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1234.2805755395684,0.017859997716112824,0.002213409257127611,0.01,intentweight,-133.96306954436452,-150.33231414868106,-141.36450839328538,0,417,0,1.0,141.36450839328538
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:sent_mmr_r0.90_l0.70,417,0.8657074340527577,0.8657074340527577,0.0,0.0,0.0,True,0.8972223149307818,10.277768506921825,132.5726618705036,149.681654676259,2.271875948785642e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,1365.1966426858514,0.9,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1224.8848920863309,0.005195843325339727,-0.0023017065852786074,0.01,intentweight,-132.703896882494,-149.45083932853717,-140.3117505995204,0,417,0,1.0,140.3117505995204
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:sent_mmr_r0.90_l0.70,417,0.8776978417266187,0.8776978417266187,0.0,0.0,0.0,True,0.8974898198823019,10.251018011769808,135.11744604316547,152.56199040767385,2.271405274434539e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,1396.9016786570744,0.9,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1253.705035971223,-0.005065471432377908,-0.002712272424390104,0.01,intentweight,-135.32128297362112,-152.7585731414868,-143.19664268585132,0,417,0,1.0,143.19664268585132
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:sent_mmr_r0.95_l0.70,417,0.86810551558753,0.86810551558753,0.0,0.0,0.0,True,0.9462471498002245,5.375285019977549,70.09112709832134,78.60281774580335,2.2614334944734045e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,1375.6450839328538,0.95,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1301.7002398081536,0.017859997716112824,0.002213409257127611,0.01,intentweight,-70.01906474820144,-78.15875299760191,-73.94484412470024,0,417,0,1.0,73.94484412470024
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:sent_mmr_r0.95_l0.70,417,0.8657074340527577,0.8657074340527577,0.0,0.0,0.0,True,0.94610626977254,5.389373022746002,69.69928057553958,78.22464028776977,2.260606296172429e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,1365.1966426858514,0.95,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1291.621103117506,0.005195843325339727,-0.0023017065852786074,0.01,intentweight,-69.81996402877698,-78.06091127098321,-73.57553956834532,0,417,0,1.0,73.57553956834532
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:sent_mmr_r0.95_l0.70,417,0.8776978417266187,0.8776978417266187,0.0,0.0,0.0,True,0.9464058862710898,5.359411372891021,70.79604316546762,79.54760191846522,2.2613676004715137e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,1396.9016786570744,0.95,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_source,sent_mmr,0.0,0.0,0.0,0,417,0,1322.0359712230215,-0.005065471432377908,-0.002712272424390104,0.01,intentweight,-70.71906474820145,-79.74838129496403,-74.86570743405275,0,417,0,1.0,74.86570743405275
