selector,split,budget_ratio,min_keep,target_coverage,final_hit@10,hit_delta_vs_dense_pp,token_saving_vs_dense_pct,actual_coverage,source_selective_risk,dense_selective_risk,hit_delta_vs_source_pp,num_seeds,token_saving_vs_source_pct
budget_only,calibration,0.75,4,1.0,0.8435754189944135,-1.6759776536312776,28.75052456871945,1.0,0.03410637487070608,0.04329004329004329,-2.979515828677833,3,30.23305668310849
budget_only,calibration,0.75,5,1.0,0.8417132216014898,-1.8621973929236442,28.512972127600314,1.0,0.036243127007458215,0.045454545454545456,-3.1657355679701995,3,30.001690118382704
budget_only,calibration,0.75,6,1.0,0.8417132216014898,-1.8621973929236442,27.036240294691055,1.0,0.036243127007458215,0.045454545454545456,-3.1657355679701995,3,28.554569267010013
budget_only,calibration,0.75,7,1.0,0.845437616387337,-1.4897579143389146,23.238173732118987,1.0,0.03196962273395394,0.04112554112554113,-2.79329608938547,3,24.837197458877252
budget_only,calibration,0.75,8,1.0,0.8472998137802608,-1.3035381750465518,16.64039097225111,1.0,0.029846480483423157,0.03896103896103896,-2.607076350093107,3,18.37887034621936
budget_only,calibration,0.8,4,1.0,0.8491620111731844,-1.117318435754185,24.450636350690417,1.0,0.027723338232892372,0.03679653679653679,-2.4208566108007403,3,26.022174412112292
budget_only,calibration,0.8,5,1.0,0.8491620111731844,-1.117318435754185,24.342383010148595,1.0,0.027723338232892372,0.03679653679653679,-2.4208566108007403,3,25.917041861963238
budget_only,calibration,0.8,6,1.0,0.8491620111731844,-1.117318435754185,23.838671016963893,1.0,0.027723338232892372,0.03679653679653679,-2.4208566108007403,3,25.423926622424972
budget_only,calibration,0.8,7,1.0,0.8491620111731844,-1.117318435754185,21.248026172355956,1.0,0.027723338232892372,0.03679653679653679,-2.4208566108007403,3,22.888723052512
budget_only,calibration,0.8,8,1.0,0.8472998137802608,-1.3035381750465518,16.067492618231178,1.0,0.029846480483423157,0.03896103896103896,-2.607076350093107,3,17.81884251551171
budget_only,calibration,0.85,4,1.0,0.8528864059590316,-0.7448789571694555,20.08748483003974,1.0,0.0234498339593881,0.03463203463203463,-2.0484171322160107,3,21.75151735366183
budget_only,calibration,0.85,5,1.0,0.8528864059590316,-0.7448789571694555,20.082948019493163,1.0,0.0234498339593881,0.03463203463203463,-2.0484171322160107,3,21.74709414810925
budget_only,calibration,0.85,6,1.0,0.8528864059590316,-0.7448789571694555,19.86392088810588,1.0,0.0234498339593881,0.03463203463203463,-2.0484171322160107,3,21.532434768975072
budget_only,calibration,0.85,7,1.0,0.8528864059590316,-0.7448789571694555,18.90350329989957,1.0,0.0234498339593881,0.03463203463203463,-2.0484171322160107,3,20.593299991566358
budget_only,calibration,0.85,8,1.0,0.851024208566108,-0.9310986964618184,15.374368784727082,1.0,0.025586586096140236,0.0367965367965368,-2.234636871508374,3,17.140672919185718
budget_only,calibration,0.88,4,1.0,0.851024208566108,-0.9310986964618221,17.46735071687909,1.0,0.025572976209918885,0.03463203463203463,-2.2346368715083775,3,19.187630104938478
budget_only,calibration,0.88,5,1.0,0.851024208566108,-0.9310986964618221,17.464074131484335,1.0,0.025572976209918885,0.03463203463203463,-2.2346368715083775,3,19.184427793275564
budget_only,calibration,0.88,6,1.0,0.851024208566108,-0.9310986964618221,17.43382872784052,1.0,0.025572976209918885,0.03463203463203463,-2.2346368715083775,3,19.154735839148984
budget_only,calibration,0.88,7,1.0,0.851024208566108,-0.9310986964618221,17.161368050015817,1.0,0.025572976209918885,0.03463203463203463,-2.2346368715083775,3,18.888293176447167
budget_only,calibration,0.88,8,1.0,0.851024208566108,-0.9310986964618221,14.557490841313717,1.0,0.025572976209918885,0.03463203463203463,-2.2346368715083775,3,16.34130221394746
budget_only,calibration,0.9,4,1.0,0.8547486033519553,-0.5586592178770925,15.655398993584202,1.0,0.021313081822635964,0.032467532467532464,-1.862197392923648,3,17.411686265379092
budget_only,calibration,0.9,5,1.0,0.8547486033519553,-0.5586592178770925,15.652122408189458,1.0,0.021313081822635964,0.032467532467532464,-1.862197392923648,3,17.40848395371619
budget_only,calibration,0.9,6,1.0,0.8547486033519553,-0.5586592178770925,15.627926085274401,1.0,0.021313081822635964,0.032467532467532464,-1.862197392923648,3,17.384737788855976
budget_only,calibration,0.9,7,1.0,0.8547486033519553,-0.5586592178770925,15.552438598680045,1.0,0.021313081822635964,0.032467532467532464,-1.862197392923648,3,17.311167524736426
budget_only,calibration,0.9,8,1.0,0.8528864059590316,-0.7448789571694592,13.61963128332508,1.0,0.02343622407316675,0.032467532467532464,-2.0484171322160147,3,15.421343273992298
budget_only,calibration,0.92,4,1.0,0.8547486033519553,-0.5586592178770925,13.991901793174375,1.0,0.021313081822635964,0.0303030303030303,-1.862197392923648,3,15.783465235628283
budget_only,calibration,0.92,5,1.0,0.8547486033519553,-0.5586592178770925,13.991901793174375,1.0,0.021313081822635964,0.0303030303030303,-1.862197392923648,3,15.783465235628283
budget_only,calibration,0.92,6,1.0,0.8547486033519553,-0.5586592178770925,13.98055976680794,1.0,0.021313081822635964,0.0303030303030303,-1.862197392923648,3,15.772360934645292
budget_only,calibration,0.92,7,1.0,0.8547486033519553,-0.5586592178770925,13.969721830502243,1.0,0.021313081822635964,0.0303030303030303,-1.862197392923648,3,15.761757396566619
budget_only,calibration,0.92,8,1.0,0.8547486033519553,-0.5586592178770925,12.70533793567559,1.0,0.021313081822635964,0.0303030303030303,-1.862197392923648,3,14.525787958733897
budget_only,calibration,0.95,4,1.0,0.8621973929236499,0.18621973929236665,11.309386534998357,1.0,0.012779683161848767,0.02380952380952381,-1.1173184357541888,3,13.154484459212393
budget_only,calibration,0.95,5,1.0,0.8621973929236499,0.18621973929236665,11.309386534998357,1.0,0.012779683161848767,0.02380952380952381,-1.1173184357541888,3,13.154484459212393
budget_only,calibration,0.95,6,1.0,0.8621973929236499,0.18621973929236665,11.309386534998357,1.0,0.012779683161848767,0.02380952380952381,-1.1173184357541888,3,13.154484459212393
