dataset,method,model,num_queries,num_skipped_no_gt,num_corpus_chunks,num_total_corpus_chunks,num_total_queries,max_queries,max_corpus,top_k,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,recall@1,recall@10,recall@5,elapsed_sec
banking77,dense,sentence-transformers/all-MiniLM-L6-v2,3080,0,10003,10003,3080,,,10,0.9204545454545454,0.941565914244486,0.9401461038961041,0.9204545454545454,0.8797407300703027,0.8996290465746148,0.9204545454545454,0.9805194805194806,0.9701298701298702,31.568
cuad,dense,sentence-transformers/all-MiniLM-L6-v2,74,26,10000,675400,2550,100,10000,10,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.0062654599528135626,0.00833018422471168,0.013513513513513514,0.013513513513513514,0.013513513513513514,78.099
emanual,dense,sentence-transformers/all-MiniLM-L6-v2,1298,20,18812,18812,1318,,,10,0.03775038520801233,0.10291412918531558,0.08981766820749873,0.03775038520801233,0.06655884389820944,0.05559925766826994,0.03775038520801233,0.2996918335901387,0.1987673343605547,46.231
pubmedqa,dense,sentence-transformers/all-MiniLM-L6-v2,1000,0,4348,4348,1000,,,10,0.709,0.8467690476190477,0.8459500000000001,0.709,0.7396449962999077,0.7131708037653424,0.709,0.993,0.987,53.697
